,id,ticker,title,category,content,date,provider,url,article_id
1326,222841,ES,Aqua America To Rename Itself  Gets Nod To Buy Peoples Gas,opinion,"Aqua America Inc    NYSE WTR   announced that it has received approval from the Pennsylvania Public Utility Commission to complete the acquisition of Peoples Gas  a natural gas distribution utility  In October 2018  the company had entered into a deal with Peoples to acquire the latter in an all cash transaction that reflects an enterprise value of  4 275 billion Aqua America also made an announcement to rename itself to Essential Utilities  Inc    Essential   that will take effect on Monday  Feb 3  Peoples will become a subsidiary of Essential  Essential s common stock will begin trading under the New York Stock Exchange under the ticker symbol WTRG on Feb  3 Aqua America s GainThe combination will create a utility  which has 99  regulated water and gas distribution  This deal is expected to be accretive to earnings from the first full year after the closing of the same and over the long term  People s rate base is expected to improve 8 10  annually  Rising usage on natural gas also works in favor of Aqua America Utilities Diversify Operation The above transaction clearly indicates the gradual diversification by utilities from its core business to other lines of utility operation  This acquisition will create a company  which will deliver high quality water and natural gas services to customers  In a way  both the companies have the expertise to manage extensive pipelines  as both water and natural gas are distributed to customers through pipelines  Combination of the expertise of the companies in this field will improve the quality of services Similar deals have already taken place in the Utility sector and we expect more to take place in the future as well  In December 2017  electric utility Eversource Energy   NYSE ES   had forayed into the water business through the acquisition of Aquarion Water Company  This will help the company to explore and benefit from the long term opportunity that the water and wastewater service business presently offers Consolidation in Water SpaceConsolidation is quite essential for the fragmented water industry  as nearly 50 000 water and 15 000 wastewater operators are providing services in the United States  According to an American Water Works report  more than 2 trillion gallons of treated water is lost per year due to leakage from aging pipes The highly fragmented water industry creates operational challenges in meeting increasing water and wastewater service requirement  Hence  water utilities are actively acquiring small water and wastewater service units  and making required investments to upgrade the quality of services Aqua America is following the acquisition route to expand operations  During the five year period ended Dec 31  2018  the company had expanded utility operations by completing 64 water and wastewater system acquisitions  Another water utility American Water Works   NYSE AWK   is quite active in making acquisitions  From 2015 to Oct 30  2019  the company had closed 81 deals and added nearly 126 000 customers to the existing customer base Price PerformanceShares of Aqua America have outperformed the  in the past six months 
Zacks Rank   Key PickAqua America currently carries a Zacks Rank  3  Hold   A better ranked water utility is AquaVenture Holdings Ltd    NYSE WAAS    sporting a Zacks Rank  1  Strong Buy   You can see  AquaVenture Holdings delivered average positive earnings surprise of 15 6  in the last four quarters  The Zacks Consensus Estimate for 2020 has moved up 1 8  in the past 60 days 7 Best Stocks for the Next 30 DaysJust released  Experts distill 7 elite stocks from the current list of 220 Zacks Rank  1 Strong Buys  They deem these tickers  Most Likely for Early Price Pops  Since 1988  the full list has beaten the market more than 2X over with an average gain of  24 6  per year  So be sure to give these hand picked 7 your immediate attention ",2020-01-17,Zacks Investment Research,https://www.investing.com/analysis/aqua-america-to-rename-itself-gets-nod-to-buy-peoples-gas-200499552,200499552
1332,222847,ES,Notable earnings after Wednesday s close,news,"AAC  ACXM  ADSW  AEGN  ALIM  ALL  ANSS  AR  ARC  AREX  ARI  ARRS  ATRC  AWK  AXGN  BBRG  BFAM  BGC  BLDP  BOJA  BXP  CACI  CAKE  CAVM  CBPO  CCRN  CF  CFMS  CHDN  CLVS  CMPR  CNAT  CSGS  CSU  CTRP  CWST  CYH  CZR  DENN  DNB  DWCH  DXCM  EEP  EGOV  EPE  EQIX  ERII  ES  ESIO  ESS  EXEL  EXR  FATE  FB  FEYE  FICO  FIT  FLS  FLT  FMI  FOE  FOXF  FRAC  FRT  GERN  GLUU  GPOR  GPP  GPRE  GPRO  GXP  HABT  HASI  HBI  HBM  HGV  HIIQ  HIVE  HOS  HR  HRTG  HST  HUBS  HURN  INOV  IRTC  ITRI  JCAP  JRVR  JUNO  KEX  KHC  KMT  KTWO  LBTYA  LNC  LOPE  LPI  LPSN  LQ  LSI  MANT  MDU  MET  MN  MRO  MUR  MUSA  MWA  MX  NBIX  NGVT  NLY  NMIH  NNBR  NOVT  NUS  NVTR  NWE  OCLR  OMF  OSUR  OTTR  OXY  PDM  PEI  PI  PKD  PQ  PRU  PUMP  PXD  QCOM  QDEL  QRVO  QTWO  QUOT  RAIL  REG  RGLD  RIG  RXN  RYAM  RYN  SEP  SGMS  SHAK  SWM  SYMC  TCAP  TCO  TDOC  THG  TS  TSLA  TTMI  ULTI  VIAV  WMB  WMGI  WPX  WSR  WSTL  WTI  WTS  XPO  YELP  ZEN
For Seeking Alpha s full earnings season calendar  click here 
Now read ",2017-10-31,Seeking Alpha,https://www.investing.com/news/stock-market-news/notable-earnings-after-wednesdays-close-761381,761381
1334,222849,ES,The Big Squeeze  This election year  it s all about the money,news,"By James Oliphant MIDDLETOWN  CONN    Two years ago  Judy Konopka and Craig Diangelo lost their jobs in the IT department of what was then known as  Northeast Utilities   NYSE ES   a regional electricity provider  when the company decided to replace about 220 employees with guest workers from India  In order to receive a more lucrative separation package  they had to train their foreign replacements both here and overseas  Both had trouble finding new work  Konopka  56  is still looking  Diangelo  64  is working as a contractor for a company that provides no benefits  making substantially less than he did before  He views himself as a victim of globalization  a casualty of offshoring and he credits Donald Trump  the presumptive Republican presidential nominee who has cast himself as the champion of displaced and disaffected U S  workers  for bringing the issue to light   I ll vote for him   says Diangelo  over dinner at a Thai restaurant on this town s Main Street  Two others at the table murmur in assent  He continues  his voice rising   I wasn t planning on retiring early  I wasn t planning on making  35 000 less  I ve had to cut back a lot  I basically live paycheck to paycheck    I could never vote for Hillary Clinton   Diangelo says  citing Clinton s support of the North American Free Trade Agreement  passed while her husband  Bill  was president  as well as her advocacy of the proposed Trans Pacific Partnership  a trade pact that s still being negotiated by the Obama administration   Challenged by Bernie Sanders  Clinton has since retracted her support of TPP   Even Konopka  who favors Clinton  she calls Trump  the biggest idiot    has to admit Clinton s support of trade deals such as NAFTA gives her pause  When Northeast Utilities fired her after 21 years   I felt betrayed   Konopka took advantage of a federal trade assistance program to improve her skills in web design  then discovered she couldn t compete with designers outside the country who were willing to work for much less  Now  to get by  she sells vintage books on the web   It s starting to get really scary   she says  This presidential election is  purportedly  the Year of the Angry Voter  with images of scuffles at Trump rallies occupying cable news screens  But as befitting someone who lives in a place called Middletown  Konopka is more typical of voters  consumed by a stomach churning uncertainty  a vague sense of something lost  and an inescapable belief that an array of powerful forces corporations  politicians  government aren t looking out for them  Economists and pundits have been struggling to explain why  with unemployment below 5 percent and a bounty of positive economic indicators  voters seem so dismayed  so distrustful  It might be something as simple as bargaining power  In his best known book  The Art of the Deal  Trump advises every negotiator to  use your leverage   But increasingly  U S  workers  white and blue collar alike  feel they have none  They ve seen their power erode as they are tossed into a global labor pool  as companies consolidate and shed jobs to please Wall Street  as unions wither  state budgets tighten  technology advances and iconic brands such as Nabisco pack up and move to Mexico  The squeeze is on   There s a feeling among workers that not only are they replaceable  but that they will be replaced   says Gary Chaison  a professor of industrial relations at Clark University in nearby Worcester  Massachusetts   That there is no security anymore  that someone is making a profit by letting them go    Trump   he adds   has tapped into that very well   According to Reuters Ipsos polling  71 percent of Trump supporters either have had to take a lower paying job in the last few years  have a family member who has had to do so  or have a family member whose home has been threatened by foreclosure  In a sign of how widespread the phenomenon has become  63 percent of Clinton supporters reported the same dismal tally   People feel more insecure about trade than terrorism   Chaison tells me   Everyone knows someone who has lost their job   What bothers Diangelo most is that he was let go by a company that still valued his skill just not him   The sad part is that my job is still there   he says   It didn t go away  I went away   CANDIDATES IN HARD HATS None of this should feel particularly new  The United States has been bleeding middle class workers especially in the industrial and manufacturing sectors as long as Bruce Springsteen has been around to sing about it  Candidates adorned with hard hats vowing to bring back factory jobs have become a set piece of modern politics  The United States has lost more than 5 million manufacturing jobs in the past 15 years as the trade deficit has mushroomed  according to the Economic Policy Institute  a liberal think tank in Washington  Wage growth in almost all sectors has flatlined over that time  including for the bottom 70 percent of fouryear college graduates  and growth overall has been anemic  at under 2 percent  And while the 9 million jobs vaporized in the flash of the Great Recession have been recovered  the majority of them are of lesser quality than the ones they replaced  Perhaps most fundamentally  the relationship between employee and employer has shifted  Workers  share of the pie has decreased substantially since the 1970s  when the country s corporate and industrial base began to erode  Last year  workers  share dropped to 75 5 percent of corporate income  even as technology has made workforces more productive and efficient  U S  corporate profits  meantime  returned to pre recession levels in 2012  Workers  sense that the recovery is only partial  It helps employers more than it helps workers   Chaison says  If workers  sense of slippage seems familiar  the way their discontent is rippling through our politics feels newly transformative  Voters threw out the Republicans running Congress in 2006  then two years later elected the first African American president  an outsider who vowed reform  Souring on him  they replaced Democrats then controlling Congress with another set of Republicans in 2010 and 2014  making governance as unstable as the business sector  In a period of war  terrorism and economic chaos  all that churn might best be viewed as a deeply frustrated electorate trying to use what little leverage they have to change a system they consider to be otherwise unaccountable  Trump has been the main beneficiary of that frustration  He makes those in the crowd feel like they matter  that they finally have a bully of their own who can push back at what they view as an alliance of unprincipled corporate culture and an enabling government   You re looking at a situation where the jobs are being ripped out of our states  out of our country  like candy from a baby   Trump said at a rally this spring  It has been Trump  along with Democrat Sanders  who has pushed the issue of job losses to countries such as China  Mexico and India to the forefront  Trump has threatened to slap a tax on imports and tear up trade deals  In Indiana earlier this year  he ripped air conditioner manufacturer Carrier for announcing it would lay off 2 100 workers and move its operations to Mexico  He gave Nabisco the same treatment  pledging he would no longer eat Oreos  He has slammed companies such as Apple  NASDAQ AAPL  and Boeing  NYSE BA  for their overseas operations  as well  Few presidential candidates have such temerity to challenge well known American brands  but clearly it is resonating   They might not like everything he says  but they believe he says what he thinks   Lewis Gossett  president of the South Carolina Manufacturers Alliance  told me last summer   I think we re repeating a time in history when the very rich are removed from the very poor    TWO TYPES OF CEO MINDSETS  Michael Smith is one of the Americans Trump rallies for  Smith was among 600 Nabisco employees laid off at the bakery on Chicago s South Side earlier this year  after the company announced it was transferring some work to Mexico  He got the news at 3 a m   It was   Smith tells me   a dark night when all your livelihood passes in front of you  and you feel like you ve been given the royal shaft   Smith operated the machines that wrapped Oreo cookies and Ritz crackers  With overtime  he could clear  85 000 a year  He s 59 and wasn t thinking he would have to re enter the job market  The day before  Smith had shown up at a shareholders meeting in Chicago to confront Irene Rosenfeld  the chief executive of Mondelez International  the holding company that oversees the Nabisco brand  about the move to Mexico  While sympathetic  Rosenfeld said it was her duty to maximize the corporation s value to its shareholders worldwide by cutting costs   There are two types of CEO mindsets   Smith responded   those who care about shareholders and those who care about the shareholders and the people   In our conversation  Smith didn t begrudge the company s legal right to relocate the jobs  but he questions a CEO who earned more than  40 million in compensation over the last two years exhorting the virtues of cost cutting to a room full of laid off blue collar workers   That s not good citizenship   he says   Wealth comes from the workers  That profitability comes from us   Clinton met with a small group of the Nabisco workers in March  the day before the Illinois primary  But the visit didn t leave Smith with much hope that as president she could do much either for the workers  situation or to reverse the demands of a globalized economy  In part  that s due to Clinton s support of NAFTA  which Smith terms an  infection   but also because of the lobbying might of Mondelez  a  30 billion company  and other big corporations  Smith is the unusual American voter who says he hasn t decided between Clinton and Trump  He ll focus on the election later  First  he has to keep his household afloat and his daughter in school at Columbia College in Chicago  He has six months  salary to cushion him  He s trying to stay optimistic about finding work  saying his wife and daughter are counting on him  But  he concedes   I think I have been a little bit in denial  Even people of faith have bouts of depression   PINK SLIPS Angela Valero gives a one word reply when I ask her about a potential Clinton Trump matchup   Ugh   I might as well be asking about who s going to win the next regatta on Mars  so far is the election from her daily concerns  Valero s dream job was to be a corrections officer  She was finally hired on by the state of Connecticut last fall  The single mother of an 8 year old girl thought that  at last  she had a reliable  stable position with benefits  But after completing an academy training course and being posted as a guard at the state maximum security facility in nearby Uncasville  she found out this spring that she was being laid off  a consequence of a decision made by Connecticut s Democratic governor  Dannel Malloy  and the state legislature to not raise taxes on the wealthy to cover a budget shortfall  Lawmakers worried that the state s richest residents would relocate to Florida  which has no state income tax  or other states with lower taxes  During the downturn  Connecticut lost a bevy of high paying jobs in the financial services sector in the corporate hub of Stamford and elsewhere  The jobs created during the recovery were less lucrative  resulting in lower tax revenue  In addition  the state was spooked when  General Electric   NYSE GE   responding to an effort by the legislature to raise business taxes  announced it was relocating its headquarters from Fairfield to Boston  Aetna  NYSE AET   the health insurer based in Hartford  also threatened to leave the state  That shelved any notion of new taxes  The state looked to trim its public workforce instead   Easy targets   says Lori Pelletier  president of the state AFL CIO  Rape counselors  child service workers  prison guards began receiving pink slips  Ultimately  2 500 or more state workers could be let go  Pelletier contrasted that with the 200 jobs GE is moving to Boston  something that drew substantial media attention  The state of Massachusetts and the city of Boston helped recruit GE with a generous benefit package  including  25 million in property tax relief for a corporation that critics have long held pays little in U S  taxes   Angela last year paid more taxes than GE   Pelletier says   And she s the one losing her job   Valero tells me she has little faith that anyone in Washington can help her  She doesn t sleep more than four hours a night  kept up by worrying about paying the electric bill and keeping her house  She has no idea whether she ll ever be recalled to work  Throughout the interview  she stays stoic  determined  like the corrections office she was trained to be  Only at the end of our conversation does she slip a bit   I held back the tears   she says with relief  CULLING AND CUTTING Ron Ozer greets me at the door with the sheepishness of someone who isn t used to being at home during the workday  Ozer  53  was laid off from DuPont  NYSE DD  Co  in January after a 23 year career  A Ph D in chemical engineering  he has more than 20 patents to his name  He worked on long term projects at the DuPont Experimental Station in Wilmington  Delaware  one of the more storied research facilities in the country  where products such as nylon  Lycra and Kevlar were created   Some of the great developments in American industry came out of that site   Ozer says   It was a time when America was growing so dramatically   But a lack of growth and pressure from investors forced DuPont to announce a merger with another giant   Dow Chemical   NYSE DOW   In advance of the merger  it has begun to shed jobs  In Delaware alone  DuPont plans to dump 1 700 workers many in the area of long term research  which can be expensive without yielding immediate rewards to shareholders  Ozer s group was eviscerated  The  130 billion merger of DuPont and Dow blends two U S  companies that date back to the 19th century  Barry Lynn  an economist at the New America think tank  says that industry consolidation chills the labor market  sapping demand for skilled workers such as Ozer  Dominant companies can use their market power to charge customers more or make suppliers pay less all without having to grow and create jobs to survive  Indeed  the push from Wall Street is to cull and cut  not grow  And when companies do expand today it s largely through acquisition  not investment   That s a huge amount of the energy that s behind Trump   Lynn says   the sense of power being consolidated and being out of control and harming me and my family and my community   Ozer will try to take advantage of his contacts at DuPont to become a consultant  but admits that s a gamble  Asked if he thinks he can replicate the six figure salary he enjoyed at DuPont  he laughs   I m not confident of that   His chief concern is his two daughters  both of whom are out of college  In order to give his youngest a leg up in the market  he sent her to private Haverford College in Pennsylvania  tuition   46 000  going deep into debt to do so   I have a lot of possibilities  but I need things to start turning into dollars soon   he says  OUTSOURCING AND GLOBALIZATION For Sara Blackwell  representing U S  workers displaced by the federal H1 B visa program began as a gig  Now  it s a full blown cause  The Tampa lawyer has been giving away clients who would distract her from her work  She jokes she s stopped sleeping and exercising  Recently  she launched a website called ProtectUSworkers com   I speak to an average of 10 people a day who are victims of this   she tells me   The more I learn about this  the more I have to fight   She began by representing IT workers at Walt Disney World in Florida who were replaced by guest workers from India brought in on temporary visas by outsourcing firms that contracted with Disney  She has filed a long shot conspiracy lawsuit in federal court  Blackwell contends that the practice of outsourcing low end  back office IT jobs to cut costs has become endemic  Globalization  she says  is systematically lowering the standard of living of American workers   It s a race to the bottom   she says  The Disney case garnered the attention of some in the U S  Senate  including Jeff Sessions  a Republican from Alabama who now is at the forefront of a fight against the American tech industry  which wants to expand the guest worker program citing a lack of domestic qualified engineers and programmers  But those tech companies are at the back of the line  According to Ron Hira  a professor at Howard University who tracks applications  outsourcing firms have been crowding out tech companies in the race to acquire the highly coveted H1 B visas  which are capped at 85 000 a year  Sessions  who is also a fierce opponent of immigration reform  was one of the first U S  politicians to embrace Trump and Blackwell has spoken out against the program at several Trump rallies  She also has consulted with the outsourced employees who worked at Northeast Utilities in Connecticut  including Craig Diangelo  Part of Diangelo s frustration and part of what is driving him toward Trump is that Washington has done so little to curb what he views as abuses of the H1 B program  There is a greater push now on Capitol Hill to broaden the program rather than rein it in   There s nobody to help us   he tells me   There s nobody to say you can t do this   Richard Blumenthal  a U S  senator from Connecticut  has been part of efforts to expand the program  but also to reform it   It s a desperately serious problem   he says  He told me that even though there is some bipartisan consensus on reform  efforts still aren t moving forward  consumed by the same paralysis that s stalling everything else   There are powerful forces against us   Blumenthal says   including the companies that exploit these programs   
To Diangelo  that s the dilemma of the modern  middle class voter  He worked hard for years  lost his job when his only transgression was being too old and making too much money  was humiliated when he had to train his replacement  and then watched how state and federal politicians have been able to do nothing to help him  Why shouldn t he support Donald Trump  What s worth preserving  He s a tech worker  sipping Pinot Grigio over pad thai  He s no militant or conspiracist  Yet     There is going to be an uprising   he says   People are starting to say   I ve had enough of this  I ve really had enough   ",2016-08-02,Reuters,"https://www.investing.com/news/politics-news/the-big-squeeze:-this-election-year,-it’s-all-about-the-money-418039",418039
1335,222850,ES,Notable earnings after Wednesday s close,news,AAC  AEL  AFG  AGII  AIG  ALB  ANDE  ANIK  ANSS  ARRS  ATO  ATSG  AUY  AWK  BEAT  BGC  BKCC  BKFS  BKH  BREW  BRKR  CACI  CAKE  CAR  CATM  CBL  CBPO  CCRN  CECO  CENT  CERS  CF  CLR  CLVS  CMP  CODI  CONE  CRUS  CSGS  CSII  CTL  CW  CXO  CXW  DATA  EPE  EQC  ERII  ES  ETE  ETP  EVTC  EXTR  EYES  EZPW  FB  FCPT  FGL  FIT  FIVN  FNF  FORM  FOXF  FRT  FTK  GIL  GKOS  GLUU  GMED  GTE  HABT  HBM  HGV  HHC  HI  HIL  HIVE  HOS  HR  HRTG  IAC  INN  INOV  IO  ITRI  JBSS  JONE  JRVR  KAMN  KEYW  KHC  KND  LGCY  LHCG  LNC  LNT  LPI  LQ  LSI  MANT  MASI  MATX  MDU  MET  MFC  MGNX  MITT  MN  MNR  MTDR  MTGE  MULE  MUR  MX  NGVT  NLY  NSA  NSIT  NUS  NVDQ  NXPI  NYMT  OHI  OMF  OSUR  OUT  PDLI  PK  PPC  PQ  PRU  PRXL  PXD  QRVO  QTWO  RAIL  REN  REXR  RICE  RIG  RMP  RUBI  RYN  SQ  SRC  SSRI  STAA  STMP  SUN  SWM  TCAP  TEP  TGB  THG  TIVO  TPC  TRNC  TROX  TSLA  TSLX  TTEK  TTMI  TVIA  TWO  VVUS  WMB  WMC  WMGI  WPX  WSR  WTI  WTR  XPER  XPO Now read  Are Tesla s Earnings A Trap ,2017-05-02,Seeking Alpha,https://www.investing.com/news/stock-market-news/notable-earnings-after-wednesday’s-close-479531,479531
1336,222851,ES,Notable earnings after Thursday s close,news,ABAX  ACHC  ACTG  AFL  AIV  AJG  ALDW  ALGN  AMSF  AMZN  ATEN  ATR  ATRC  AUY  BIDU  BJRI  BOFI  BOJA  BOOM  BVN  BYD  CAA  CERN  CLD  CNXN  COLM  CPT  CRAY  CUBE  CUBI  CUZ  CVA  CXP  CY  DECK  DGII  DLR  EA  ECHO  ECOL  EGHT  EGO  EHTH  EIX  ELLI  EMN  ENVA  ES  ESS  EXAC  EXPE  FE  FET  FHB  FII  FIX  FLEX  FLS  FND  FSLR  FTV  GHL  GIMO  GSIT  HIG  HTH  HURN  IMPV  INT  INTC  ISBC  ITGR  KLAC  KNL  KTOS  KWR  LEG  LMAT  LOGM  LPLA  MAT  MATW  MHK  MITK  MOBL  MSCC  MSTR  MTD  MULE  NATI  NOV  NR  NUVA  OFC  OMCL  PDFS  PEB  PFG  PFPT  PLT  POWI  PRSS  QGEN  RARE  RCII  RGA  RSG  SAM  SBCF  SBUX  SGEN  SIVB  SKYW  SNMX  SPSC  SSD  SSNC  SYK  TACO  TCO  TEAM  TFSL  TNDM  TVTY  UCTT  UNM  VCRA  VDSI  VR  VRSN  VVI  WDC  WIX  WRI  WSFS  XPER For Seeking Alpha s full earnings season calendar  click here  Now read ,2017-07-26,Seeking Alpha,https://www.investing.com/news/stock-market-news/notable-earnings-after-thursday’s-close-510607,510607
135604,357119,ES,Massachusetts power outages may last for days after massive storm,news,Eversource Energy  ES  0 2   says it has restored power to more than 200K customers in Massachusetts and has brought in out of state workers to help fix remaining power outages  and expects most of the work to be completed by Tuesday night  ES says some areas were so badly damaged that entire sections of the electrical system are being rebuilt   National Grid   LON NG   NGG  0 6    another large utility in the state  says it expects to get power back to the hardest hit areas by midnight Tuesday  At least eight people reportedly died in last week s nor easter  which  wreaked havoc  on power grids in the area  uprooting trees and toppling electric poles Now read ,2018-03-05,Seeking Alpha,https://www.investing.com/news/stock-market-news/massachusetts-power-outages-may-last-for-days-after-massive-storm-1324982,1324982
135605,357120,ES,Eversource Energy upgraded to Buy at Janney after pullback,news,Eversource  ES  0 6   is upgraded to Buy from Neutral with a  63 price target at Janney Montgomery Scott  seeing the shares as attractive following a meaningful pullback  While ES  has certainly seen some project development setbacks   Janney says the Northern Pass Project opportunity still remains active and the Federal Energy Regulatory Commission may increase the allowable return on equity on transmission projects at some point Also  ES s bid for Connecticut Water Service could  if successful  provide additional investments not yet baked in  Janney says Now read ,2018-06-22,Seeking Alpha,https://www.investing.com/news/stock-market-news/eversource-energy-upgraded-to-buy-at-janney-after-pullback-1504551,1504551
135606,357121,ES,NiSource closes  12  after biggest gas pipeline accident since 2010,news,NiSource  NYSE NI  shares sank nearly 12  in today s trade after a series of gas explosions rocked a residential area near Boston due to excessive pressurization of a gas main and sparking investor fears of lawsuits and government fines  NiSource s Columbia Gas subsidiary has provided little information on the cause of the incident  and Massachusetts Gov  Baker has placed rival utility Eversource  NYSE ES  in charge of the response to the explosion  replacing Columbia Gas  Thousands of people remain unable to return to their homes while crews visited homes of 8 600 affected customers to shut off gas meters and conduct safety inspections  If NiSource is found liable  it could face substantial fines  for example  Consolidated Edison  NYSE ED  paid a  153M fine after a year long investigation into a 2014 gas pipeline explosion in New York  and PG E paid  1 6B in civil and criminal fines related to a 2010 pipeline explosion near San Francisco  The Massachusetts natural gas distribution system is one of the oldest in the U S   with the age of some of the piping more than a century old  Now read ,2018-09-14,Seeking Alpha,https://www.investing.com/news/stock-market-news/nisource-closes-12-after-biggest-gas-pipeline-accident-since-2010-1611934,1611934
135864,357379,ES,American Electric Gains From Steady Capital Expenditure ,opinion,American Electric Power Company  Inc  s   NYSE AEP   ongoing investments in transmission projects and expanding renewable portfolio bode well for its earnings in the future For 2019  earnings estimates inched up 0 2  to  4 18 per share in the past 30 days   Additionally  long term earnings growth of the company is pegged at 5 6   The company posted an average positive earnings surprise of 5  in the last four quarters In the past 12 months  shares of the company have returned 20 9  compared with the  s growth of 10 7  What s Driving the Stock The company had a strong liquidity position of  2 6 billion as of Sep 30  supported by its revolving credit facility  This enables the company to finance its upcoming initiatives  Courtesy of a solid financial position  the company is able to reward shareholders via dividend payouts American Electric has a stable earnings base of approximately 5 4 million customers spread across 11 states  This provides stability to the company s revenue stream and insulates it from lower sales in any particular service area To drive earnings  American Electric plans to invest approximately  33 billion over the 2019 2023 period in its core regulated operations  contracted renewables and wires  This indicates 37 5  increase from the previous capital expenditure strategy  which will enable American Electric to achieve long term organic growth of 5 7  The company s investment strategy also includes notable investments in renewable generation projects across the United States  Evidently  its latest plan includes capital expenditure of  2 2 billion in contracted renewables over the 2019 2023 period  of which  1 5 billion has already been spent However  stringent environmental regulations and dependence on regulatory commissions for rate relief at regular intervals are major headwinds Zacks RankAmerican Electric carries a Zacks Rank  3  Hold   You can see  Stocks to ConsiderSome better ranked stocks from the same industry are Eversource Energy   NYSE ES    FirstEnergy Corporation   NYSE FE   and Fortis Inc   TSX FTS    All the three stocks hold a Zacks Rank  2  Buy  Long term earnings growth of Eversource  FirstEnergy and Fortis is pegged at 5 6   6  and 5 7   respectively Eversource  FirstEnergy and Fortis delivered an average positive earnings surprise of 2 39   2 87  and 4 14  in the last four quarters  respectively Just Released  Zacks  7 Best Stocks for TodayExperts extracted 7 stocks from the list of 220 Zacks Rank  1 Strong Buys that has beaten the market more than 2X over with a stunning average gain of  24 5  per year These 7 were selected because of their superior potential for immediate breakout ,2019-11-20,Zacks Investment Research,https://www.investing.com/analysis/american-electric-gains-from-steady-capital-expenditure-200487153,200487153
135865,357380,ES,FirstEnergy s Focus On Modernization  Steady Outlay Bode Well,opinion,FirstEnergy Corporation s   NYSE FE   efforts to expand its regulated generation mix have provided stability to the company s earnings trajectory Earnings estimates for the company been revised upward in the past 30 days  reflecting analysts  optimism in the stock  The Zacks Consensus Estimate for 2019 and 2020 earnings have both inched up 0 4  to  2 51 and  2 47 per share  respectively Let s take a look at the factors that are driving the Zacks Rank  2  Buy  utility company  You can see  Systematic InvestmentsThe company aims to spend nearly  6 2  6 7 billion to strengthen its distribution network in the 2018 2021 time period Based on this capital plan  the company expects Regulated Distribution s rate base growth rate at approximately 5  from 2018 through 2021 The company through its Energizing the Future plan aims to upgrade and expand its regulated transmission capabilities  This includes Regulated Transmission operation and the company has plans to invest  4 8 billion in capital from 2018 to 2021  Additionally  FirstEnergy targets to invest  1 2 billion annually through 2021  These investments are expected to result in Regulated Transmission rate base growth of around 11  through 2021  The company expects to recover more than 80  of these capital investments Focus on ModernizationFirstEnergy s modernization drive will boost its service reliability and lead to customer retention  In Ohio  the company has started to implement the  516 million three year Grid Modernization program  which was approved by the Public Utilities Commission in July  This includes installation of 700 000 smart meters Earnings Surprise Trend   Long Term GrowthFirstEnergy has surpassed the Zacks Consensus Estimates for earnings in the last four quarters  the average being 2 87   The company s long term  3 5 years  earnings growth rate is pegged at 6  Dividend Yield   Return on Equity  ROE The company is rewarding shareholders through dividend payouts since 2011  Currently  the company has a dividend yield of 3 27  compared with the Zacks S P 500 composite s 1 82  and the industry s 3 01  FirstEnergy has an ROE of 19 21   higher than the  s average of 9 47  and Zacks S P 500 composite s 17 41   This indicates the company s efficiency in utilizing shareholders  funds Price MovementIn the past 12 months  FirstEnergy s shares have rallied 24 9  compared with the industry s growth of 17 6  Stocks to ConsiderSome better ranked stocks from the same industry are Eversource Energy   NYSE ES    American Electric Power Company  Inc   NYSE AEP   and Fortis Inc   TSX FTS    All the three stocks hold a Zacks Rank  2  Buy  Long term earnings growth of Eversource  American Electric Power Compan and Fortis is pegged at 5 6   5 6  and 5 7   respectively Eversource  American Electric Power Compan and Fortis delivered an average positive earnings surprise of 2 39   5  and 4 14  in the last four quarters  respectively Just Released  Zacks  7 Best Stocks for TodayExperts extracted 7 stocks from the list of 220 Zacks Rank  1 Strong Buys that has beaten the market more than 2X over with a stunning average gain of  24 5  per year These 7 were selected because of their superior potential for immediate breakout ,2019-11-20,Zacks Investment Research,https://www.investing.com/analysis/firstenergys-focus-on-modernization-steady-outlay-bode-well-200487149,200487149
