,id,ticker,title,category,content,date,provider,url,article_id
204753,426269,GOLD,Barrick Gold sees higher Q4 gold production on Nevada boost,news,"Barrick Gold  NYSE GOLD  says it expects Q4 gold production to exceed Q3 levels  due to a strong performance from Turquoise Ridge and its other mines in Nevada 
Preliminary Q4 production totaled 1 44M oz  of gold  at an average market price of  1 481 oz   10  higher than 1 31M oz  produced in Q3 and 14  above the prior year quarter  while copper output gained 4 5  Q Q and 7 3  Y Y to 117M lbs 
Barrick also says it expects a Q Q decrease in total cash costs per oz  of gold and all in sustaining costs per oz  of 1  3  and 6  8   respectively 
For the full year  Barrick says it produced 5 5M oz  of gold  at the upper end of the 5 1M 5 6M oz  guidance range  and 432M lbs  of copper  above the top end of guidance of 375M 430M lbs ",2020-01-16,Seeking Alpha,https://invst.ly/pit1t,2060946
204754,426270,GOLD,Barrick Gold reshapes Tanzania operations with formal deal,news,"Barrick Gold  GOLD  0 9   signs agreements with Tanzania aimed at ending a long running tax dispute  providing the government with stakes in three gold mines whose production is among the country s biggest export earners 
Tanzania s Foreign Affairs Minister says the government will own 16  undiluted shares in a new joint venture company with Barrick  as well as a 16  stake in the Bulyanhulu  North Mara and Buzwagi gold mines 
Barrick and the government had agreed in October to settle the dispute in a deal including payment of  300M to settle outstanding tax and other disputes  lifting of the concentrate export ban  and the sharing of future economic benefits from mines on a 50 50 basis ",2020-01-24,Seeking Alpha,https://invst.ly/pmfw8,2067225
204755,426271,GOLD,Freeport CEO  looking forward  to deals once expansion projects done,news,"By Ernest Scheyder
 Reuters    Freeport McMoran Inc  N FCX   the world s largest publicly traded copper producer  would consider acquisitions  mergers or other deals once three ongoing expansion projects finish by 2022  Chief Executive Richard Adkerson said in an interview on Tuesday 
Demand for copper is projected to surge this decade because of the rising popularity of electric vehicles  which use twice as much copper as internal combustion engines  That  in turn  is expected to fuel an M A wave across the sector 
Despite that  Phoenix  Arizona based Freeport s shares are worth half what they were in 2010  dragged down by uncertainty over the company s stake in a major Indonesian mine and debt from an ill fated oil and gas venture 
But those issues are largely behind the company  which is about to open a copper mine in the United States  is expanding Indonesia s Grasberg mine and has launched an analytics program to boost production in Peru 
Those projects should double the company s cash flow and boost the company s stock price  giving the company ammunition to consider deals  Adkerson told Reuters 
 I m looking forward to having a new experience in my career toward accessing alternatives and deciding which way we go   said Adkerson  an accountant by training who became CEO in 2003 
Those alternatives could include buying part or all of another company  building new mines or other deals  he said 
 We don t have a clear directive now on what that direction could be  but we will be attractively situated and will have an opportunity to add value through investments   said Adkerson 
According to recent news reports   Barrick Gold Corp   TO ABX  CEO Mark Bristow has spoken favorably of Freeport s assets and a potential combination 
Adkerson declined to comment  A Barrick spokeswoman declined to comment 
Adkerson  73  said he has no plans to retire and is in good health 
 This is not a time that I m thinking about walking away   he said 
Adkerson called the outbreak of a deadly coronavirus in China a  real black swan event   The term is a reference to the book  Black Swan   which looks at the potentially catastrophic effects of unpredictable events 
Copper prices  have dropped more than 10  this month on concerns the virus could affect the global economy  Copper prices are closely linked to global economic health because the metal is used for construction and manufacturing 
Freeport s stock dropped more than 9  last Thursday due in part to virus concerns even as the company posted better than expected quarterly results 
Its shares were 2 5  higher at  11 175 in afternoon trading  along with a broad rally in global equity markets as investors took a less pessimistic view of the potential economic fallout from the coronavirus outbreak ",2020-01-28,Reuters,https://www.investing.com/news/commodities-news/freeport-ceo-looking-forward-to-deals-once-expansion-projects-done-2069710,2069710
204756,426272,GOLD,Acacia seeks stay of international arbitration against Tanzania,news,By Barbara Lewis and Yadarisa Shabong LONDON  Reuters    Acacia Mining said on Wednesday it was seeking a stay of international arbitration proceedings against Tanzania  a step that could ease tensions between the two sides locked in a dispute following a  190 billion tax bill  Adding to pressure on Acacia  the company said late on Tuesday it had been notified of an imminent ban on the use of a storage dam that would prevent its North Mara gold mine   its main source of revenue   from operating  The offer to postpone arbitration  which was scheduled to start on Monday  precedes a looming July 19 deadline for Acacia s majority owner Barrick Gold Corp  holder of a 63 9  stake  to make a firm bid to buy out Acacia  Acacia and other shareholders have been opposing the offer  saying it is too cheap  International arbitration is generally a last resort for mining companies in disputes with governments   But some of Acacia s shareholders have said it has a good chance of winning  which would increase the value of the company and could be preferable to accepting too low an offer from Barrick  Barrick declined to comment on Wednesday  It has been leading negotiations with Tanzania over a  190 billion tax bill   about four times the country s gross domestic product  The bill was handed to Acacia in 2017 for allegedly under reporting output  Acacia denies the allegation   If the Tanzanian government agrees to the stay  Acacia would expect the arbitration hearing to be postponed to provide time for the government of Tanzania to complete its settlement discussions with Barrick Gold Corp   Acacia said in a statement  ENVIRONMENTAL RULES Tanzanian allegations that Acacia has broken environmental regulations have ratcheted up the pressure on Acacia  Late on Tuesday  Acacia said the Tanzanian National Environment Management Council issued a notice for Acacia s North Mara mine to prevent it using its tailings storage facility by 6 a m  local time on Saturday on the grounds the mine had breached environment rules  In a statement  Acacia said it would request any investigation reports or data upon which the North Mara notice is based   Acacia s North Mara mine was issued with an Environmental Protection Order and fine in May 2019 for alleged deficiencies at a tailings storage facility   But Acacia says it has never received any reports that would justify the ban on use  It said the North Mara technical team has been working  constructively and collaboratively  with the Tanzanian government  Analysts at Berenberg  which rates Acacia  hold   said the postponement request should be received positively by Tanzania  But it said the risk for Acacia is a prolonged outage at North Mara  which would have a  very significant  impact on finances given the mine makes up 70  of group revenue  and cannot operate without a tailings dam   Acacia s share price was 0 5  lower at 180 6 pence at 1115 GMT ,2019-07-17,Reuters,https://www.investing.com/news/stock-market-news/acacia-seeks-stay-of-international-arbitration-against-tanzania-1925729,1925729
204757,426273,GOLD,Barrick Gold Agrees to Buy Out Acacia Mining  Ending Standoff,news," Bloomberg     Barrick Gold Corp  NYSE GOLD  agreed to buy out minority shareholders in Acacia Mining PLC  LON ACAA   ending a standoff between the two companies in a plan aimed at resolving the unit s long running dispute with Tanzania s government 
The two companies had been debating the value of Acacia since Barrick s informal offer in May to buy the roughly 36  stake in the company it doesn t already own  Acacia has been locked in a public battle with Tanzania since 2017 and the agreement with Barrick follows days after the government ordered Acacia to stop using a tailings facility at a core gold mine 
Acacia s shares rallied as much as 18  on the news and traded at 219 4 pence at 9 09 a m  in London  The stock had gained 1 8  this year through Thursday 
Today s news suggests Barrick Chief Executive Officer Mark Bristow was forced to shift his position that he wouldn t raise the bid  In an interview with Bloomberg News in June  Bristow said he had no intention of raising the offer  But the CEO faced shareholder pressure in recent months  with Odey Asset Management opposing the valuation 
Still  the new bid gives Acacia shareholders a significant premium  Since mid 2017  Acacia shares have traded below Barrick s current offer for all but a handful of days 
Acacia is fully satisfied with the final terms  said acting Chief Executive Officer Peter Geleta 
 Given all the circumstances this is possibly the best outcome   he said by phone 
A successful deal would close the nearly decade long chapter of Acacia s life as a public miner  after the unit was spun out in 2010 as  African Barrick Gold   Since then it s fended off challenges spanning an infiltration by criminal gangs  to invasion by hundreds of intruders armed with machetes and hammers and mining tax changes 
Two years ago  Tanzania imposed an export ban on Acacia and handed the miner a  190 billion tax bill  Since then  the company s position in the country has deteriorated further  with the government saying in May it would no longer allow Acacia to manage its mines in the country and will only work with Barrick 
The dispute with Tanzania has had a crippling effect of Acacia s business    forcing the company to stockpile output and curb production    and its shares dropped 50  since the start of 2017 before Thursday s announcement 
Barrick has led discussions with the government in an effort to solve the impasse  while Acacia moved ahead separately with arbitration proceedings 
In a 2017 meeting between President John Magufuli and Barrick Executive Chairman John Thornton  it was tentatively agreed that Acacia would pay  300 million to the government to settle tax claims and would split future returns from operations with the country  At the time  Acacia criticized the move and blamed Barrick for its worsening relationship with Tanzania after Thornton took over negotiations ",2019-07-19,Bloomberg,https://www.investing.com/news/stock-market-news/barrick-gold-agrees-to-buy-out-acacia-mining-ending-standoff-1928371,1928371
204758,426274,GOLD,Barrick Gold plans to sell Tongon gold mine in Ivory Coast   BBG,news," Reuters     Barrick Gold Corp   TO ABX   N GOLD  is looking to sell its Tongon gold mine in the Ivory Coast and is working with Bank of Nova Scotia  TO BNS  to identify buyers  Bloomberg said  on Thursday 
Barrick Gold plans to start a formal sale process in the near term for all or a part of its stake  the report said  citing people familiar with the matter 
The Tongon mine  located north of the Ivory Coast s port city of Abidjan  is expected to produce 250 000 ounces to 270 000 ounces of gold in 2019 
The company is also working with  Scotiabank  to sell its Massawa gold project in Senegal and plans to divest its Lumwana copper mine in Zambia  according to the report 
Lumwana is expected to produce 210 million pounds to 240 million pounds of copper in 2019  while Massawa feasibility project is being progressed toward a final development decision 
Barrick and Scotiabank were not immediately available for comment ",2019-08-08,Reuters,https://www.investing.com/news/stock-market-news/barrick-gold-plans-to-sell-tongon-gold-mine-in-ivory-coast--bbg-1950008,1950008
204761,426277,GOLD,Canada stocks higher at close of trade  S P TSX Composite up 0 27 ,news,"Investing com   Canada stocks were higher after the close on Monday  as gains in the Energy  Industrials and Financials sectors led shares higher 
At the close in Toronto  the S P TSX Composite gained 0 27  to hit a new 3 months high 
The best performers of the session on the S P TSX Composite were  SNC Lavalin Group Inc    TO SNC   which rose 6 30  or 2 19 points to trade at 36 95 at the close  Meanwhile   New Gold Inc   TO NGD  added 6 03  or 0 070 points to end at 1 230 and  First Majestic Silver  Corp   TO FR  was up 5 09  or 0 44 points to 9 08 in late trade 
The worst performers of the session were Cronos Group Inc  TO CRON   which fell 7 32  or 2 1100 points to trade at 26 7000 at the close   Aphria Inc   TO APHA  declined 4 36  or 0 580 points to end at 12 730 and Barrick Gold Corporation  TO ABX  was down 3 09  or 0 53 points to 16 60 
Rising stocks outnumbered declining ones on the Toronto Stock Exchange by 612 to 474 and 126 ended unchanged 
The S P TSX 60 VIX  which measures the implied volatility of S P TSX Composite options  was up 2 01  to 13 73 
Gold Futures for April delivery was down 0 23  or 3 10 to  1329 70 a troy ounce  Elsewhere in commodities trading  Crude oil for delivery in April fell 3 21  or 1 84 to hit  55 42 a barrel  while the May Brent oil contract unchanged 0 00  or 0 00 to trade at  64 94 a barrel 
CAD USD was up 0 05  to 0 7583  while CAD EUR fell 0 02  to 0 6671 
The US Dollar Index Futures was down 0 06  at 96 305 ",2019-02-25,Investing.com,https://www.investing.com/news/stock-market-news/canada-stocks-higher-at-close-of-trade-sptsx-composite-up-027-1790004,1790004
204762,426278,GOLD,Canada stocks lower at close of trade  S P TSX Composite down 0 94 ,news,"Investing com   Canada stocks were lower after the close on Friday  as losses in the Healthcare  Energy and IT sectors led shares lower 
At the close in Toronto  the S P TSX Composite declined 0 94  
The best performers of the session on the S P TSX Composite were OceanaGold Corporation  TO OGC   which rose 4 32  or 0 180 points to trade at 4 350 at the close  Meanwhile  Franco Nevada Corporation  TO FNV  added 3 59  or 3 53 points to end at 101 94 and Barrick Gold Corporation  TO ABX  was up 3 38  or 0 60 points to 18 36 in late trade 
The worst performers of the session were  Lundin Mining  Corporation  TO LUN   which fell 8 08  or 0 525 points to trade at 5 975 at the close  BRP Inc  TO DOO  declined 7 53  or 2 90 points to end at 35 61 and  MEG Energy Corp   TO MEG  was down 6 56  or 0 38 points to 5 41 
Falling stocks outnumbered advancing ones on the Toronto Stock Exchange by 708 to 356 and 144 ended unchanged 
The S P TSX 60 VIX  which measures the implied volatility of S P TSX Composite options  was up 9 36  to 13 91 a new 1 month high 
Gold Futures for April delivery was up 0 46  or 5 95 to  1313 25 a troy ounce  Elsewhere in commodities trading  Crude oil for delivery in May fell 1 92  or 1 15 to hit  58 83 a barrel  while the May Brent oil contract fell 1 43  or 0 97 to trade at  66 89 a barrel 
CAD USD was down 0 41  to 0 7453  while CAD EUR rose 0 25  to 0 6595 
The US Dollar Index Futures was up 0 14  at 96 118 ",2019-03-22,Investing.com,https://www.investing.com/news/stock-market-news/canada-stocks-lower-at-close-of-trade-sptsx-composite-down-094-1815837,1815837
204763,426279,GOLD,Barrick CEO Expects to Raise  1 5 Billion in Asset Sales,news," Bloomberg     Barrick Gold Corp  NYSE GOLD   which completed its acquisition of  Randgold Resources   LON RRS  Ltd  at the beginning of the year  has identified  1 5 billion in assets the miner intends to sell  Chief Executive Officer Mark Bristow said 
 Our focus is realizing  1 5 billion through next year   Bristow said Wednesday in an interview in Toronto  The assets will be sold once they are optimized enough to create sufficient value for shareholders  he said 
The gold sector has been anticipating a wave of asset sales in the wake of Barrick s  5 4 billion acquisition of Randgold and a second mega merger that created Newmont Goldcorp Corp  The newly combined giants were expected to put several unloved mines up for sale  leaving lots of room for maneuvering by company executives who have missed out on the dealmaking 
The objective is for the sale process to be well advanced by mid 2020  Barrick said in its first quarter earnings statement  its first results since its acquisition of Randgold was completed 
 It s not a fire sale  it s a considered process   Bristow said in a separate interview with Bloomberg TV   We ll work with those stakeholders  and we will let the market know when we re ready to let them know once we ve got a way forward for each of those assets  
Barrick climbed 1 8 percent to  12 95 at 9 43 a m  in New York  That pared the shares  decline this year to 4 3 percent 
Barrick will focus on finding the right buyers for its assets and is willing to help them manage the mines during a transition period  if required  Bristow told BTV  Some of the assets Barrick is selling are in countries that the company still wants to invest in  he says 
In the meantime  the Toronto based miner also won t hesitate to  pick up other assets  that may be available 
Barrick said its joint venture agreement with Newmont is expected to close by the end of the quarter  In March  Barrick withdrew a  17 8 billion hostile bid for rival Newmont after negotiating the joint venture combining most of their assets in Nevada  Barrick has a 61 5 percent stake in the JV to Newmont Goldcorp s 38 5  
Barrick also said it will declare a dividend of 4 cents a share ",2019-05-08,Bloomberg,https://www.investing.com/news/stock-market-news/barrick-ceo-expects-to-raise-15-billion-in-asset-sales-1860878,1860878
204764,426280,GOLD,World Bank court orders Pakistan pay  5 8 billion damages to Tethyan Copper,news,"By Dave Sherwood
SANTIAGO  Reuters    A World Bank arbitration court has ordered the Pakistani government pay damages of  5 8 billion to Tethyan Copper  a joint venture between Chile s  Antofagasta  Plc  L ANTO  and Canada s Barrick Gold  TO ABX   the Chilean miner said late on Friday 
Tethyan Copper discovered vast mineral wealth more than a decade ago in Reko Diq  at the foot of an extinct volcano near Pakistan s frontier with Iran and Afghanistan  The deposit was set to rank among the world s biggest untapped copper and gold mines 
The company said it had invested more than  220 million by the time Pakistan s government  in 2011  unexpectedly refused to grant them the mining lease needed to keep operating 
The World Bank s International Centre for Settlement of Investment Disputes  ICSID  ruled against Pakistan in 2017  but until now had yet to determine the damages owed to Tethyan 
Tethyan board chair William Hayes said in a statement the company was still  willing to strike a deal with Pakistan   but added that  it would continue protecting its commercial and legal interests until the dispute was over  
The Reko Diq mine has become a test case for Prime Minister Imran Khan s ability to attract serious foreign investment to Pakistan as it struggles to stave off an economic crisis that has forced it to seek an International Monetary Fund bailout 
Pakistan s military sees Reko Diq as a strategic national asset and had taken a key role in its development amid the dispute with Antofagasta and Barrick  sources familiar with the situation told Reuters earlier this year ",2019-07-13,Reuters,https://www.investing.com/news/stock-market-news/world-bank-court-orders-pakistan-pay-58-billion-damages-to-tethyan-copper-1922829,1922829
