,id,ticker,title,category,content,date,provider,url,article_id
4351,225866,GPAGF,China and Mexico to hold high level trade discussions next week,news,"By Anthony Esposito
MEXICO CITY  Reuters    A high level delegation of Chinese and Mexican business and government representatives are scheduled to meet in Mexico City on Tuesday and Wednesday to discuss trade and foreign investment  industry executives said 
The meetings are set to take place as the United States and China are in the throes of a trade war  which has made Mexico an increasingly attractive destination for Chinese companies to explore setting up shop 
Bosco de la Vega  head of Mexico s national farm council  CNA  said he had received an invitation from Mexico s Economy Ministry and would attend 
 CNA is looking to open new markets  lower tariffs on some products and establish phytosanitary measures  We want more trade with China   he said 
This will be the seventh round of meetings of the so called High Level Business Group  aimed at deepening trade and economic ties between Mexico and China  The last meeting took place in November 2018 in Shanghai 
Among the topics scheduled to be discussed are trade facilitation and foreign direct investment  as well as cooperation in energy  infrastructure  telecommunications  and financial services  said one of the people familiar with the meetings 
Representatives from Huawei Technologies  which was placed on a U S  trade blacklist earlier this year over security concerns  have been invited  according to a list of invitees seen by Reuters 
The Bank of China  SS 601988   Industrial and Commercial Bank of China  HK 1398   China Development Bank  China National Offshore Oil Corporation  and China Huaneng Group among others  have also been invited to the event 
China s ambassador to Mexico was also invited  The embassy did not respond to a request for comment 
Representatives from Mexico s Grupo Bimbo  MX BIMBOA   Gruma  MX GRUMAB  and Grupo Alfa  as well as magnate Carlos Slim  the country s richest man  have also been asked to attend  A spokesperson for Slim could not confirm if he had received an invitation 
Mexico s Economy Minister Graciela Marquez  Foreign Minister Marcelo Ebrard and Finance Minister Arturo Herrera are also scheduled to participate in the meetings 
The ministries did not respond to requests for comment ",2019-12-06,Reuters,https://www.investing.com/news/commodities-news/china-and-mexico-to-hold-highlevel-trade-discussions-next-week-2036147,2036147
4357,225872,GPAGF,Mexico stocks higher at close of trade  S P BMV IPC up 0 84 ,news,"Investing com   Mexico stocks were higher after the close on Tuesday  as gains in the Consumer Staples  Industrials and Financial Services sectors led shares higher 
At the close in Mexico  the S P BMV IPC gained 0 84  
The best performers of the session on the S P BMV IPC were Grupo Aeroportuario Del CentroNorte  MX OMAB   which rose 4 12  or 5 180 points to trade at 131 060 at the close  Meanwhile  Gruma SAB de CV  MX GRUMAB  added 3 71  or 8 35 points to end at 233 61 and Alfa  S A B  De C V   MX ALFAA  was up 3 46  or 0 800 points to 23 930 in late trade 
The worst performers of the session were Grupo  Elektra   S A B  De C V   MX ELEKTRA   which fell 1 60  or 13 31 points to trade at 817 06 at the close  Alpek  S A B  De C V   MX ALPEKA  declined 1 28  or 0 410 points to end at 31 580 and  Alsea   S A B  De C V   MX ALSEA  was down 1 05  or 0 640 points to 60 400 
Rising stocks outnumbered declining ones on the Mexico Stock Exchange by 153 to 133 and 10 ended unchanged 
Gold Futures for December delivery was up 0 40  or 4 80 to  1193 40 a troy ounce  Elsewhere in commodities trading  Crude oil for delivery in November rose 0 52  or 0 39 to hit  74 68 a barrel  while the December Brent oil contract rose 1 08  or 0 91 to trade at  84 82 a barrel 
USD MXN was up 0 44  to 19 0256  while EUR MXN rose 0 49  to 21 8741 
The US Dollar Index Futures was down 0 10  at 95 34 ",2018-10-09,Investing.com,https://www.investing.com/news/stock-market-news/mexico-stocks-higher-at-close-of-trade-spbmv-ipc-up-084-1637691,1637691
4358,225873,GPAGF,Mexico stocks higher at close of trade  S P BMV IPC up 0 50 ,news,"Investing com   Mexico stocks were higher after the close on Monday  as gains in the Consumer Staples  Industrials and Materials sectors led shares higher 
At the close in Mexico  the S P BMV IPC gained 0 50  
The best performers of the session on the S P BMV IPC were Gruma SAB de CV  MX GRUMAB   which rose 3 19  or 7 18 points to trade at 232 45 at the close  Meanwhile  Alfa  S A B  De C V   MX ALFAA  added 3 05  or 0 710 points to end at 23 990 and Alpek  S A B  De C V   MX ALPEKA  was up 2 92  or 0 880 points to 30 990 in late trade 
The worst performers of the session were  Grupo Cementos  De Chihuahua  MX GCC   which fell 1 83  or 2 100 points to trade at 112 480 at the close   Grupo LALA SA de CV   MX LALAB  declined 1 46  or 0 29 points to end at 19 64 and Grupo  Elektra   S A B  De C V   MX ELEKTRA  was down 1 41  or 11 03 points to 772 81 
Falling stocks outnumbered advancing ones on the Mexico Stock Exchange by 156 to 132 and 11 ended unchanged 
Gold Futures for December delivery was up 0 70  or 8 50 to  1230 50 a troy ounce  Elsewhere in commodities trading  Crude oil for delivery in November rose 0 45  or 0 32 to hit  71 66 a barrel  while the December Brent oil contract rose 0 42  or 0 34 to trade at  80 77 a barrel 
USD MXN was down 0 01  to 18 8563  while EUR MXN rose 0 14  to 21 8331 
The US Dollar Index Futures was down 0 18  at 94 77 ",2018-10-15,Investing.com,https://www.investing.com/news/stock-market-news/mexico-stocks-higher-at-close-of-trade-spbmv-ipc-up-050-1644995,1644995
4359,225874,GPAGF,Mexico stocks higher at close of trade  S P BMV IPC up 0 97 ,news,"Investing com   Mexico stocks were higher after the close on Tuesday  as gains in the Telecoms Services  Consumer Staples and Materials sectors led shares higher 
At the close in Mexico  the S P BMV IPC gained 0 97  
The best performers of the session on the S P BMV IPC were Becle SA  MX CUERVO   which rose 3 23  or 0 950 points to trade at 30 320 at the close  Meanwhile  Grupo Aeroportuario del Pacifico SAB De CV Class B  MX GAPB  added 2 52  or 4 81 points to end at 195 82 and Grupo Bimbo  S A B  De C V   MX BIMBOA  was up 2 46  or 0 920 points to 38 260 in late trade 
The worst performers of the session were  Infraestructura Energetica Nova SAB   MX IENOVA   which fell 2 46  or 2 25 points to trade at 89 20 at the close  Gruma SAB de CV  MX GRUMAB  declined 1 41  or 3 29 points to end at 230 01 and  Banco Del Bajio SA  Institution De Banca Multiple  MX BBAJIOO  was down 0 85  or 0 400 points to 46 580 
Rising stocks outnumbered declining ones on the Mexico Stock Exchange by 168 to 109 and 8 ended unchanged 
Gold Futures for December delivery was down 0 20  or 2 40 to  1227 90 a troy ounce  Elsewhere in commodities trading  Crude oil for delivery in November rose 0 54  or 0 39 to hit  72 17 a barrel  while the December Brent oil contract rose 1 00  or 0 81 to trade at  81 59 a barrel 
USD MXN was down 0 45  to 18 7576  while EUR MXN fell 0 48  to 21 7126 
The US Dollar Index Futures was up 0 01  at 94 78 ",2018-10-16,Investing.com,https://www.investing.com/news/stock-market-news/mexico-stocks-higher-at-close-of-trade-spbmv-ipc-up-097-1646877,1646877
4386,225901,GPAGF,Mexico stocks higher at close of trade  S P BMV IPC up 0 02 ,news,"Investing com   Mexico stocks were higher after the close on Wednesday  as gains in the Consumer Staples  Healthcare and Materials sectors led shares higher 
At the close in Mexico  the S P BMV IPC rose 0 02  
The best performers of the session on the S P BMV IPC were Gruma SAB de CV  MX GRUMAB   which rose 1 89  or 4 18 points to trade at 225 92 at the close  Meanwhile  Wal   Mart De Mexico  SAB De CV  MX WALMEX  added 1 43  or 0 710 points to end at 50 300 and  Arca Continental   S A B  De C V   MX AC  was up 1 17  or 1 48 points to 128 31 in late trade 
The worst performers of the session were  VOLARIS A   MX VOLARA   which fell 2 72  or 0 31 points to trade at 11 10 at the close   GMexico Transportes  SA de CV  MX GMXT  declined 2 30  or 0 740 points to end at 31 420 and Gentera SAB de CV  MX GENTERA  was down 2 11  or 0 320 points to 14 840 
Falling stocks outnumbered advancing ones on the Mexico Stock Exchange by 158 to 130 and 9 ended unchanged 
Gold Futures for June delivery was down 0 68  or 9 00 to  1324 00 a troy ounce  Elsewhere in commodities trading  Crude oil for delivery in June rose 0 49  or 0 33 to hit  68 03 a barrel  while the June Brent oil contract rose 0 22  or 0 16 to trade at  74 02 a barrel 
USD MXN was up 0 08  to 18 8334  while EUR MXN fell 0 44  to 22 9192 
The US Dollar Index Futures was up 0 49  at 91 00 ",2018-04-25,Investing.com,https://www.investing.com/news/stock-market-news/mexico-stocks-higher-at-close-of-trade-spbmv-ipc-up-002-1414614,1414614
4387,225902,GPAGF,Mexico stocks lower at close of trade  S P BMV IPC down 0 22 ,news,"Investing com   Mexico stocks were lower after the close on Friday  as losses in the Healthcare  Industrials and Financial Services sectors led shares lower 
At the close in Mexico  the S P BMV IPC declined 0 22  to hit a new 1 month low 
The best performers of the session on the S P BMV IPC were Grupo Televisa SAB Unit  MX TLVACPO   which rose 2 18  or 1 44 points to trade at 67 39 at the close  Meanwhile   Fomento Economico Mexicano UBD   MX FMSAUBD  added 1 59  or 2 73 points to end at 174 49 and  Arca Continental   S A B  De C V   MX AC  was up 1 29  or 1 61 points to 126 52 in late trade 
The worst performers of the session were Gruma SAB de CV  MX GRUMAB   which fell 2 54  or 5 79 points to trade at 221 91 at the close   GMexico Transportes  SA de CV  MX GMXT  declined 2 50  or 0 750 points to end at 29 220 and Grupo Aeroportuario del Pacifico SAB De CV Class B  MX GAPB  was down 2 43  or 4 62 points to 185 60 
Rising stocks outnumbered declining ones on the Mexico Stock Exchange by 174 to 112 and 12 ended unchanged 
Shares in GMexico Transportes SA de CV  MX GMXT  fell to all time lows  falling 2 50  or 0 750 to 29 220  
Gold Futures for June delivery was up 0 21  or 2 80 to  1315 50 a troy ounce  Elsewhere in commodities trading  Crude oil for delivery in June rose 2 00  or 1 37 to hit  69 80 a barrel  while the July Brent oil contract rose 1 83  or 1 35 to trade at  74 97 a barrel 
USD MXN was up 1 02  to 19 2529  while EUR MXN rose 0 72  to 23 0222 
The US Dollar Index Futures was up 0 18  at 92 45 ",2018-05-04,Investing.com,https://www.investing.com/news/stock-market-news/mexico-stocks-lower-at-close-of-trade-spbmv-ipc-down-022-1432390,1432390
4388,225903,GPAGF,Mexico stocks higher at close of trade  S P BMV IPC up 0 78 ,news,"Investing com   Mexico stocks were higher after the close on Friday  as gains in the Materials  Telecoms Services and Financial Services sectors led shares higher 
At the close in Mexico  the S P BMV IPC added 0 78  
The best performers of the session on the S P BMV IPC were Grupo Mexico  S A B  De C V   MX GMEXICOB   which rose 7 30  or 3 620 points to trade at 53 200 at the close  Meanwhile  Gruma SAB de CV  MX GRUMAB  added 4 26  or 8 92 points to end at 218 07 and Grupo Televisa SAB Unit  MX TLVACPO  was up 3 15  or 2 10 points to 68 70 in late trade 
The worst performers of the session were  Infraestructura Energetica Nova SAB   MX IENOVA   which fell 3 41  or 2 84 points to trade at 80 50 at the close   Alsea   S A B  De C V   MX ALSEA  declined 2 17  or 1 420 points to end at 63 990 and Grupo Bimbo  S A B  De C V   MX BIMBOA  was down 1 92  or 0 730 points to 37 330 
Rising stocks outnumbered declining ones on the Mexico Stock Exchange by 161 to 122 and 13 ended unchanged 
Shares in Grupo Bimbo  S A B  De C V   MX BIMBOA  fell to 3 years lows  falling 1 92  or 0 730 to 37 330  
Gold Futures for June delivery was down 0 53  or 6 90 to  1293 20 a troy ounce  Elsewhere in commodities trading  Crude oil for delivery in July fell 1 97  or 1 32 to hit  65 72 a barrel  while the August Brent oil contract fell 1 15  or 0 89 to trade at  76 67 a barrel 
USD MXN was up 0 12  to 19 9344  while EUR MXN fell 0 19  to 23 2419 
The US Dollar Index Futures was up 0 22  at 94 16 ",2018-06-01,Investing.com,https://www.investing.com/news/stock-market-news/mexico-stocks-higher-at-close-of-trade-spbmv-ipc-up-078-1477670,1477670
4389,225904,GPAGF,Mexico stocks higher at close of trade  S P BMV IPC up 0 34 ,news,"Investing com   Mexico stocks were higher after the close on Tuesday  as gains in the Healthcare  Consumer Goods   Services and Financial Services sectors led shares higher 
At the close in Mexico  the S P BMV IPC gained 0 34  
The best performers of the session on the S P BMV IPC were Cemex SAB de CV  MX CMXCPO   which rose 4 37  or 0 550 points to trade at 13 150 at the close  Meanwhile  Kimberly   Clark De Mexico A  MX KIMBERA  added 3 82  or 1 190 points to end at 32 370 and Alpek  S A B  De C V   MX ALPEKA  was up 1 98  or 0 560 points to 28 870 in late trade 
The worst performers of the session were  VOLARIS A   MX VOLARA   which fell 2 54  or 0 27 points to trade at 10 37 at the close  Gruma SAB de CV  MX GRUMAB  declined 1 45  or 3 45 points to end at 234 03 and  Alsea   S A B  De C V   MX ALSEA  was down 1 28  or 0 850 points to 65 800 
Falling stocks outnumbered advancing ones on the Mexico Stock Exchange by 167 to 156 and 12 ended unchanged 
Gold Futures for August delivery was down 0 66  or 8 40 to  1260 50 a troy ounce  Elsewhere in commodities trading  Crude oil for delivery in August rose 3 97  or 2 70 to hit  70 78 a barrel  while the September Brent oil contract rose 2 60  or 1 94 to trade at  76 49 a barrel 
USD MXN was up 0 21  to 19 9325  while EUR MXN fell 0 21  to 23 2231 
The US Dollar Index Futures was up 0 43  at 94 35 ",2018-06-26,Investing.com,https://www.investing.com/news/stock-market-news/mexico-stocks-higher-at-close-of-trade-spbmv-ipc-up-034-1508315,1508315
4390,225905,GPAGF,Mexico stocks higher at close of trade  S P BMV IPC up 0 33 ,news,"Investing com   Mexico stocks were higher after the close on Thursday  as gains in the Healthcare  Consumer Goods   Services and Consumer Staples sectors led shares higher 
At the close in Mexico  the S P BMV IPC gained 0 33  
The best performers of the session on the S P BMV IPC were Grupo  Elektra   S A B  De C V   MX ELEKTRA   which rose 4 12  or 21 64 points to trade at 546 32 at the close  Meanwhile  Kimberly   Clark De Mexico A  MX KIMBERA  added 3 31  or 1 060 points to end at 33 110 and Gruma SAB de CV  MX GRUMAB  was up 2 85  or 6 66 points to 240 68 in late trade 
The worst performers of the session were  Nemak SAB de CV   MX NEMAKA   which fell 1 54  or 0 21 points to trade at 13 44 at the close   Grupo LALA SA de CV   MX LALAB  declined 1 48  or 0 30 points to end at 20 00 and  Grupo Financiero Inbursa   SAB De CV  MX GFINBURO  was down 1 22  or 0 340 points to 27 640 
Falling stocks outnumbered advancing ones on the Mexico Stock Exchange by 205 to 113 and 12 ended unchanged 
Gold Futures for August delivery was down 0 53  or 6 70 to  1249 40 a troy ounce  Elsewhere in commodities trading  Crude oil for delivery in August rose 0 71  or 0 52 to hit  73 28 a barrel  while the September Brent oil contract rose 0 09  or 0 07 to trade at  77 53 a barrel 
USD MXN was down 2 28  to 19 7193  while EUR MXN fell 2 22  to 22 7979 
The US Dollar Index Futures was up 0 02  at 95 04 ",2018-06-28,Investing.com,https://www.investing.com/news/stock-market-news/mexico-stocks-higher-at-close-of-trade-spbmv-ipc-up-033-1511944,1511944
4392,225907,GPAGF,Mexico stocks higher at close of trade  S P BMV IPC up 0 56 ,news,"Investing com   Mexico stocks were higher after the close on Wednesday  as gains in the Consumer Goods   Services  Telecoms Services and Industrials sectors led shares higher 
At the close in Mexico  the S P BMV IPC added 0 56  
The best performers of the session on the S P BMV IPC were Megacable Holdings  S A B  De C V   MX MEGACPO   which rose 3 99  or 3 290 points to trade at 85 650 at the close  Meanwhile  Grupo Televisa SAB Unit  MX TLVACPO  added 2 50  or 1 86 points to end at 76 24 and Grupo Bimbo  S A B  De C V   MX BIMBOA  was up 2 10  or 0 780 points to 37 850 in late trade 
The worst performers of the session were  Mexichem   S A B  De C V   MX MEXCHEM   which fell 0 68  or 0 390 points to trade at 57 150 at the close  Gruma SAB de CV  MX GRUMAB  declined 0 57  or 1 41 points to end at 244 92 and  Arca Continental   S A B  De C V   MX AC  was down 0 53  or 0 64 points to 120 84 
Rising stocks outnumbered declining ones on the Mexico Stock Exchange by 103 to 67 and 16 ended unchanged 
Gold Futures for August delivery was up 0 37  or 4 60 to  1258 10 a troy ounce  Elsewhere in commodities trading  Crude oil for delivery in August rose 0 26  or 0 19 to hit  74 33 a barrel  while the September Brent oil contract rose 0 53  or 0 41 to trade at  78 17 a barrel 
USD MXN was down 0 12  to 19 4397  while EUR MXN fell 0 15  to 22 6584 
The US Dollar Index Futures was down 0 14  at 94 19 ",2018-07-04,Investing.com,https://www.investing.com/news/stock-market-news/mexico-stocks-higher-at-close-of-trade-spbmv-ipc-up-056-1517882,1517882
