,id,ticker,title,category,content,date,provider,url,article_id
105939,327454,IGT,Exclusive  Billionaire founder fights back for control of Japan s Universal,news,"By Emi Emoto and Nathan Layne TOKYO NEW YORK  Reuters    Nearly three months after his ouster from the board at  Universal Entertainment  Corp  T 6425   billionaire Kazuo Okada is fighting back to try to regain control of the  2 2 billion Japanese gaming group  At a news conference in Tokyo on Thursday  Okada is expected to say he has reinstalled himself as director of Okada Holdings Ltd  the Hong Kong parent of Universal  according to a person close to the 74 year old tycoon   That development  which the person said was made possible by a recent change of heart by Okada s daughter to support her father  marks a significant step in his effort to wrest back control of Universal itself   Winning back the gaming empire he founded five decades ago is just the latest challenge Okada faces in a chequered career He is locked in a legal battle with former associate Steve Wynn  and has been subject to a slew of tax  gaming and law enforcement probes  including those related to a  2 4 billion casino in the Philippines   But his ouster from Universal in June was more personal   His son  daughter and wife voted him out of Okada Holdings in May  replacing him with two directors friendly to Universal s board  which then dismissed him based on allegations he misappropriated  20 million in company funds  Okada has denied wrongdoing   Universal did not respond to questions about the changes at Okada Holdings  It has also declined to make its president  Jun Fujimoto  available for interview   People familiar with the matter say Fujimoto largely engineered the boardroom coup that ousted Okada   How the battle for Universal shakes out could alter the course of a long running dispute between Universal and Wynn Resorts  O WYNN   say people familiar with the litigation strategy on both sides   Writing to a Universal shareholder in June  Fujimoto said Okada was  unfit  to represent a public company  echoing Wynn s reasoning for dismissing Okada as a director of Wynn Resorts in 2012   Okada says he is worried Fujimoto will settle with Wynn to access more than  2 billion held in escrow while the suit is ongoing  The money is owed to a Universal subsidiary  and not Okada  who wants a trial    This is what scares me most   Okada told Reuters in an interview on July 13   It s natural for them to think that getting the money is the smart thing to do   CHANGING SIDES  Okada says his son Tomohiro and daughter Hiromi turned against him partly because they were not being paid the full dividends on their stakes in Okada Holdings  a problem he blamed on subordinates   Contacted by phone  Tomohiro declined to comment  Hiromi could not be reached for comment   Okada managed to get Hiromi back on his side over a series of meetings this summer  the person close to Okada said  but his relationship with Tomohiro remains strained  Okada owns 46 4 percent of Okada Holdings   With support from his daughter s 9 8 percent holding  Okada last month submitted a filing to Hong Kong s corporate registry seeking to reinstate himself as director  Tomohiro  who owns 43 5 percent  is contesting the move  and the registry has not made any documents public  citing  issues with the company    Even if Okada takes back control of Okada Holdings  re establishing himself at Universal is not a given  some legal experts say  noting the Universal board could fight him in court  citing the misappropriation allegations   Okada wrote to the Universal board last month demanding a special shareholders  meeting to install a new board  including himself  Okada Holdings  which owns two thirds of Universal  has the right to call such a meeting under Japanese corporate law  HIGH STAKES For Okada  the stakes go beyond his position at Universal  He also owns Aruze Gaming America  a slot machine maker that competes globally with International Game Technology Plc  N IGT  and others   Okada s ability to defend himself against Universal s allegations could impact Aruze Gaming America s licenses to operate in the United States   Gaming regulators in Nevada  Mississippi and Louisiana told Reuters that they were investigating Universal s allegations against Okada    I m concerned   said Allen Godfrey  executive director of the Mississippi Gaming Commission  referring to Universal s allegations that Okada committed fraud against the company    But there are always two sides to every story  The dust hasn t settled on this yet    
Okada and Universal sued Reuters for defamation in Tokyo in2012 for its reporting on a  40 million payment made by a Universal affiliate in 2010 to a Philippine consultant  Three courts found the case had no merit  including Japan s Supreme Court  which rejected a final appeal in July ",2017-09-13,Reuters,https://www.investing.com/news/stock-market-news/exclusive-billionaire-founder-fights-back-for-control-of-japans-universal-528661,528661
105940,327455,IGT,Jefferies sees upside on International Gaming,news,Jefferies initiates coverage on International Game Technology  IGT  1   with a Buy rating  The investment firm assigns a price target of  33 on the gaming technology supplier to rep  20  upside potential  Shares of IGT have traded in a range of  17 25 to  29 89 over the last 52 weeks  Now read ,2018-02-20,Seeking Alpha,https://www.investing.com/news/stock-market-news/jefferies-sees-upside-on-international-gaming-1281300,1281300
105941,327456,IGT,After Hours Gainers   Losers  09 12 2018 ,news,Top Gainers  PI  33 9   BXG  11 9   TLRD  4 8   BRFS  2 5   GSKY  2 4  Top Losers  PVTL  21 8   PGNX  17 7   IGT  5 5   SFUN  3 2   MPWR  3 1  Now read ,2018-09-12,Seeking Alpha,https://www.investing.com/news/stock-market-news/after-hours-gainers--losers-09122018-1608295,1608295
105942,327457,IGT,Zacks com Featured Highlights Include  DaVita  Kraton  ADT  Universal Forest Products And International Game,opinion,For Immediate ReleaseChicago  IL   August 8  2019   Stocks in this week s article are DaVita Inc    NYSE DVA    Kraton Corporation   NYSE KRA    ADT Inc    NYSE ADT    Universal Forest Products  Inc    NASDAQ UFPI   and International Game Technology PLC   NYSE IGT   5 Value Picks Boasting Strikingly Low EV EBITDA RatiosThe price to earnings  P E  ratio  given its apparent simplicity  is preferred by many investors while uncovering stocks that are trading at attractive prices  A widely favored approach by value investors is to chase stocks that have a low P E ratio  However  even this widely popular valuation metric is not without its pitfalls Is EV EBITDA a Better Alternative to P E While P E enjoys huge popularity in the value investing world  a more complicated valuation metric called EV EBITDA works even better  The ratio offers a clearer picture of a firm s valuation and earnings potential  EV EBITDA  also referred to as enterprise multiple  determines the total value of a firm  while P E just considers its equity  is essentially the enterprise value  EV  of a stock divided by its earnings before interest  taxes  depreciation and amortization  EBITDA   EV is the sum of a company s market capitalization  its debt and preferred stock minus cash and cash equivalents  Simply put  it is the total value of a company EBITDA  the other constituent  is a true reflection of a company s profitability as it strips out non cash expenses like depreciation and amortization that reduce net earnings  It is also often used as a proxy for cash flows Just like P E  the lower the EV EBITDA ratio  the more appealing it is  A low EV EBITDA ratio could be a sign that a stock is potentially undervalued However  unlike P E ratio  EV EBITDA takes into account the debt on a company s balance sheet  For this reason  EV EBITDA is usually used to value possible acquisition targets  Stocks with a low EV EBITDA multiple could be seen as potential takeover candidates Another limitation of P E is that it can t be used to value a loss making entity  A firm s earnings are also subject to accounting estimates and management manipulation  On the other hand  EV EBITDA is difficult to manipulate and also can be used to value entities that have negative net earnings but are positive on the EBITDA  is also a useful yardstick in measuring the value of firms that are highly leveraged and have a high degree of depreciation  Moreover  it can be used to compare companies with different levels of debt Then again  EV EBITDA has its flaws too  It varies across industries  a high growth industry normally has higher multiple and vice versa  and is typically not appropriate while comparing stocks in different industries given their diverse capital expenditure requirements Thus  instead of just relying on EV EBITDA  you can club it with the other major ratios such as price to book  P B   P E and price to sales  P S  to achieve the desired results For the rest of this Screen of the Week article please visit Zacks com at  Disclosure  Officers  directors and or employees of Zacks Investment Research may own or have sold short securities and or hold long and or short positions in options that are mentioned in this material  An affiliated investment advisory firm may own or have sold short securities and or hold long and or short positions in options that are mentioned in this material About Screen of the WeekZacks com created the first and best screening system on the web earning the distinction as the   1 site for screening stocks  by Money Magazine   But powerful screening tools is just the start  That is why Zacks created the Screen of the Week to highlight profitable stock picking strategies that investors can actively use Strong Stocks that Should Be in the NewsMany are little publicized and fly under the Wall Street radar  They re virtually unknown to the general public  Yet today s 220 Zacks Rank  1  Strong Buys  were generated by the stock picking system that has more than doubled the market from 1988 through 2016  Its average gain has been a stellar  25  per year  Follow us on Twitter   Join us on Facebook  NASDAQ FB    Zacks Investment Research is under common control with affiliated entities  including a broker dealer and an investment adviser   which may engage in transactions involving the foregoing securities for the clients of such affiliates Contact  Jim GiaquintoCompany  Zacks comPhone  312 265 9268Email  Visit  Zacks com provides investment resources and informs you of these resources  which you may choose to use in making your own investment decisions  Zacks is providing information on this resource to you subject to the Zacks  Terms and Conditions of Service  disclaimer   Past performance is no guarantee of future results  Inherent in any investment is the potential for loss  This material is being provided for informational purposes only and nothing herein constitutes investment  legal  accounting or tax advice  or a recommendation to buy  sell or hold a security  No recommendation or advice is being given as to whether any investment is suitable for a particular investor  It should not be assumed that any investments in securities  companies  sectors or markets identified and described were or will be profitable  All information is current as of the date of herein and is subject to change without notice  Any views or opinions expressed may not reflect those of the firm as a whole  Zacks Investment Research does not engage in investment banking  market making or asset management activities of any securities  These returns are from hypothetical portfolios consisting of stocks with Zacks Rank   1 that were rebalanced monthly with zero transaction costs  These are not the returns of actual portfolios of stocks  The S P 500 is an unmanaged index  Visit  for information about the performance numbers displayed in this press release ,2019-08-07,Zacks Investment Research,https://www.investing.com/analysis/zackscom-featured-highlights-include-davita-kraton-adt-universal-forest-products-and-international-game-200453167,200453167
105943,327458,IGT,MGM Resorts  MGM  Sells Properties In A Move To Free Capital ,opinion,"MGM Resorts   NYSE MGM   announced on Tuesday that they would be selling their Circus Circus Las Vegas property for  825 million to an affiliate of Treasure Island owner  Phil Ruffin  The gaming giant also announced that they would be putting their landmark Las Vegas property  the Bellagio  into a joint venture controlled by Blackstone Group   NYSE BX    MGM will receive a 5  stake in the venture   4 2 billion in cash  and will continue to operate the hotel and casino  which it will rent from the venture for  245 million a year  The transaction valued the Bellagio hotel at  4 25 billion 
Paul Salem  chairman of MGM s real estate committee  stated   We want to make sure   if and when the next recession comes   we have a fortress balance sheet   The company has been evaluating potential property deals to raise cash and pay down debt since its board of directors formed a real estate committee in January  The sale will free up cash  offering MGM flexibility to operate in new and different ways  said MGM Resorts Chairman and CEO Jim Murren  Murren said he would be open to using the newly acquired capital to expand their sports gambling initiatives 
Sports Gambling 
MGM s CEO made it clear that he is keeping his sights set on the future of the industry and sees sports gambling as a potentially lucrative market  Ever since the Supreme Court overturned a ruling that banned sports betting in every US state except Nevada  casino and gaming companies like Caesars Entertainment   NASDAQ CZR    Scientific Games   NASDAQ SGMS    and International Game Technology   NYSE IGT   have all been scrambling to position themselves in the emerging market 
Scientific Games has made deals with Wynn Resorts   NASDAQ WYNN   and Caesars in the US  and recently won a joint venture bid in Turkey  International Game Technology has struck deals with FanDuel and DraftKings  along with a smaller agreement with Boyd Gaming   NYSE BYD    However  IGT s biggest deal yet was its agreement to provide a sports betting platform for MGM Resorts in Las Vegas and New Jersey 
MGM believes that involving itself with actual sports leagues is the best way to incorporate itself in sports gambling  In April 2018  MGM made a deal with the NBA that will allow MGM to use the league s data and images in its wagering  In addition to forming partnerships with the major sports leagues  MGM has even made an agreement with popular sports bar Buffalo Wild Wings  which will bring sports betting into the restaurants  MGM is using its sports betting venture  Roar Digital  which is half owned by GVC Holdings  to bring BetMGM to venues across the U S 
Bottom Line 
MGM Resorts  latest move to sell its two properties shows that they are willing to free up capital in order to make investments in areas they believe will be the future of the industry  The company is clearly gearing up for an arms race between the gaming and gambling industry s titans for control of the emerging sports gambling market 
MGM is looking to expand their sports gambling presence past their casinos through the latest deal they made with Buffalo Wild Wings  The Buffalo Wild Wings deal puts MGM in a position to snag market share in areas where there are no casinos  MGM sits at a Zacks Rank  3  Hold  
Free  Zacks  Single Best Stock Set to DoubleToday you are invited to download our just released Special Report that reveals 5 stocks with the most potential to gain  100  or more in 2020  From those 5  Zacks Director of Research  Sheraz Mian hand picks one to have the most explosive upside of all This pioneering tech ticker had soared to all time highs and then subsided to a price that is irresistible  Now a pending acquisition could super charge the company s drive past competitors in the development of true Artificial Intelligence  The earlier you get in to this stock  the greater your potential gain ",2019-10-16,Zacks Investment Research,https://www.investing.com/analysis/mgm-resorts-mgm-sells-properties-in-a-move-to-free-capital-200474214,200474214
105944,327459,IGT,Las Vegas Sands  LVS  Q3 Earnings   Revenues Lag Estimates,opinion,Las Vegas Sands Corp    NYSE LVS   reported third quarter 2019 results  wherein both earnings and revenues missed the respective Zacks Consensus Estimate for the second straight quarter  Moreover  both the metrics also declined year over year Adjusted earnings came in at 75 cents per share  which missed the Zacks Consensus Estimate by a penny and declined 2 6  year over year  The bottom line was impacted by higher interest expenses  In the reported quarter  interest expense  net of amounts capitalized  improved to  137 million compared with  126 million in the year ago quarter Net revenues totaled  3 250 million  which lagged the consensus mark of  3 314 million and declined 2 6  on a year over year basis  The top line was negatively impacted by decline in casino  and convention  retail and other revenues Las Vegas Sands Corp  Price  Consensus and EPS Surprise    Asian OperationsLas Vegas Sands  Asia business includes the following resorts The Venetian MacaoNet revenues declined 0 7  year over year to  851 million  Casino and rooms revenues came in at  689 and  58 million  respectively  flat year over year  However  food and beverage  and convention  retail and other revenues declined 19  and 24 1  year over year to  17 million and  22 million  respectively  Mall revenues improved 8 3  year over year to  65 million Adjusted property EBITDA were down 0 6  year over year to  342 million in the quarter under review While non rolling chip drop improved 7 6   rolling chip volume declined 20 6  Sands Cotai CentralNet revenues decreased 9 3  year over year to  487 million owing to a 10 3  decline in casino revenues  4 7  fall in rooms revenues and 4  decrease in food and beverage  Moreover  mall revenues remained flat year over year  while convention  retail and other revenues declined 50  Adjusted property EBITDA was  169 million  down 10 1  year over year Both non rolling chip drop and rolling chip volume declined 2 5  and 56 8   respectively The Parisian MacaoRevenues amounted to  381 million  reflecting year over year decrease of 2 1   The downside can primarily be attributed to a decline of 2 8  in casino revenues  However  rooms and food and beverage revenues were up 10  and 5 9   respectively Adjusted property EBITDA decreased 1 6  year over year to  120 million Non rolling chip drop improved 7 3   while rolling chip volume declined 24 8  The Plaza Macao and Four Seasons Hotel MacaoNet revenues jumped 17 4  to  196 million on a 25 9  and 16 7  improvement in casino  and food and beverage revenues  respectively  However  revenues from mall declined 6 1  year over year  Casino revenues were flat in the reported quarter Adjusted property EBITDA jumped 41 5  to  75 million Rolling chip volume decreased 35 2  while non rolling chip drop advanced 23 4  Sands MacaoRevenues were up 6 9  year over year to  171 million on account of an 8 9  increase in casino revenues Adjusted property EBITDA rose 26 8  to  52 million While rolling chip volume declined 39 2   non rolling chip drop improved 6 6  Marina Bay Sands  SingaporeNet revenues rose 3 5  year over year to  793 million due to an impropvement of 3 9  in casino revenues  Meanwhile  convention  retail and other revenues declined 22 6   Mall revenues were up 4 5  year over year Adjusted property EBITDA of  435 million in the third quarter increased 3 8  While non rolling chip drop rose 4 6   rolling chip volume improved 2 4  Domestic OperationsLas VegasNet revenues from Las Vegas operations  which comprise The Venetian Las Vegas and The Palazzo including the Sands Expo and Convention Center  increased 7 1  to  406 million on an 17  and 10  rise in casino  and food and beverage revenues  respectively  Rooms revenues also increased 4 3   However  convention  retail and other revenues remained flat year over year Adjusted property EBITDA in the reported quarter totaled  93 million  surging 22 4  on a year over year basis Table games drop were down 6 7   while slot handle advanced 6 8  Operating ResultsOn a consolidated basis  adjusted property EBITDA came in at  1 28 billion in the third quarter  flat year over year  Las Vegas operating properties  Sands Macao and The Plaza Macao and Four Seasons Hotel Macao adjusted EBITDA improved in the quarter  while The Venetian Macao and The Parisian Macao witnessed decline in adjusted EBITDA Balance SheetAs of Sep 30  2019  unrestricted cash balances amounted to  3 82 billion  Total debt outstanding  excluding finance leases  amounted to  11 93 billion In the reported quarter  capital expenditures totaled  303 million  This was primarily due to construction  development and maintenance activities of  183 million in Macao   36 million at Marina Bay Sands and  84 million in Las Vegas Quarterly dividend paid by the company was 77 cents per share  while it repurchased  100 million of its common stock Las Vegas Sands  which shares space with MGM Resorts International   NYSE MGM   and Caesars Entertainment Corporation   NASDAQ CZR    has a Zacks Rank  3  Hold   You can see A Key PickA top ranked stock in the same space include International Game Technology PLC   NYSE IGT    carrying a Zacks Rank  2  Buy  International Game Technology s long term earnings are expected to improve by 10  Today s Best Stocks from ZacksWould you like to see the updated picks from our best market beating strategies  From 2017 through 2018  while the S P 500 gained  15 8   five of our screens returned  38 0    61 3    61 6    68 1   and  98 3  This outperformance has not just been a recent phenomenon  From 2000   2018  while the S P averaged  4 8  per year  our top strategies averaged up to  56 2  per year ,2019-10-23,Zacks Investment Research,https://www.investing.com/analysis/las-vegas-sands-lvs-q3-earnings--revenues-lag-estimates-200477578,200477578
105945,327460,IGT,Factors Setting The Tone For Planet Fitness  PLNT  Q3 Earnings,opinion,Planet Fitness  Inc    NYSE PLNT   is scheduled to report third quarter 2019 results on Nov 7  In the last reported quarter  the company s earnings missed the Zacks Consensus Estimate by 9 8  Q3 ExpectationsThe Zacks Consensus Estimate for third quarter earnings is pegged at 35 cents  which calls for a rise from 28 cents reported in the prior year quarter  In the past 30 days  the company s earnings estimates have remained stable  The consensus mark for revenues is pegged at  162 5 million  suggesting an increase of 18 9  from the year ago quarter s reported figure Factors at PlayPlanet Fitness  third quarter performance is likely to have benefited from robust performance in the franchise  equipment and corporate owned store segments  The Zacks Consensus Estimate for franchise  equipment and corporate owned store segment revenues is pegged at  54 million   56 million and  39 2 million  suggesting year over year rise of 28 6   20 6  and 10 7   respectively Moreover  higher demand  increase in net member  higher average royalty rate  consistent focus on strategic partnership and international expansion are likely to get reflected in the company s third quarter 2019 results Planet Fitness  Inc  Price and EPS Surprise     What Does the Zacks Model SayOur proven model does not conclusively predict an earnings beat for Planet Fitness this time around  The combination of a positive  and a Zacks Rank  1  Strong Buy   2  Buy  or 3  Hold  increases the odds of an earnings beat  But that s not the case here  You can uncover the best stocks to buy or sell before they re reported with our  Planet Fitness has a Zacks Rank  5 and an Earnings ESP of  1 28  Stocks Poised to Beat Earnings EstimatesHere are some stocks from the  sector that investors may consider as our model shows that these have the right combination of elements to post an earnings beat Lululemon Athletica Inc    NASDAQ LULU   has a Zacks Rank  2 and an Earnings ESP of  1 54   You can see  International Game Technology PLC   NYSE IGT   has a Zacks Rank  3 and an Earnings ESP of  20 00  Ralph Lauren Corporation   NYSE RL   has a Zacks Rank  3 and an Earnings ESP of  0 21  Just Released  Zacks  7 Best Stocks for TodayExperts extracted 7 stocks from the list of 220 Zacks Rank  1 Strong Buys that has beaten the market more than 2X over with a stunning average gain of  24 5  per year These 7 were selected because of their superior potential for immediate breakout ,2019-11-05,Zacks Investment Research,https://www.investing.com/analysis/factors-setting-the-tone-for-planet-fitness-plnt-q3-earnings-200482841,200482841
105946,327461,IGT,What s In Store For Asure Software  ASUR  In Q3 Earnings ,opinion,Asure Software   NASDAQ ASUR   is set to release its third quarter 2019 results on Nov 11 The Zacks Consensus Estimate for third quarter earnings is pegged at 8 cents  unchanged over the past 30 days and indicating a decline of 42 9  from the figure reported in the year ago quarter The Zacks Consensus Estimate for revenues is currently pegged at  25 3 million  indicating 7 9  increase from the figure reported in the year ago quarter The company s earnings beat the Zacks Consensus Estimate in three of the trailing four quarters  the average positive surprise being 23 1  In the second quarter  Asure Software reported earnings of 8 cents per share  down 43  on a year over year basis  However  the figure beat the Zacks Consensus Estimate by 14 3  Revenues grew 13 8  year over year to  24 8 million and were consistent with the consensus mark  Notably  recurring revenues accounted for 82 2  of total revenues Asure Software Inc Price and EPS Surprise   Let us see how things have shaped up prior to this announcement Factors to ConsiderAsure Software s third quarter results are expected to benefit from significant growth in recurring revenues  expanded clientele  and increased upsell and cross sell opportunities Increased adoption of the company s human capital management and workspace solutions is expected to have aided the top line in the quarter to be reported Further  the company expanded its cloud based Time and Attendance solutions with the addition of the Time Clock Basic and Time Clock Elite series during the to be reported quarter The cost effective and easy to use Time Clock basic series is expected to have attracted small and medium sized businesses in the to be reported quarter Moreover  the Time Clock elite series is likely to have been adopted by businesses of all sizes due to employee self service features like requesting time off  viewing schedules and accruals and easy room scheduling The introduction of the TC series  Basic and Elite  is expected to have boosted Asure s customer base in the third quarter What Our Model SaysAccording to the Zacks model  the combination of a Zacks Rank  1  Strong Buy   2  Buy  or 3  Hold  and a positive  increases the odds of an earnings beat Asure Software has a Zacks Rank  3 and an Earnings ESP of 0 00   which makes surprise prediction difficult  You can uncover the best stocks to buy or sell  before they are reported  with our  Stocks With a Favorable CombinationHere are some companies  which  per our model  have the right combination of elements to post an earnings beat in their upcoming release Momo   NASDAQ MOMO   has an Earnings ESP of  3 94  and a Zacks Rank  3  You can see  Viacom   NASDAQ VIAB   has an Earnings ESP of  0 22  and a Zacks Rank  3 International Game Technology   NYSE IGT   has an Earnings ESP of  20 00  and a Zacks Rank  3 Wall Street s Next Amazon  NASDAQ AMZN Zacks EVP Kevin Matras believes this familiar stock has only just begun its climb to become one of the greatest investments of all time  It s a once in a generation opportunity to invest in pure genius ,2019-11-06,Zacks Investment Research,https://www.investing.com/analysis/whats-in-store-for-asure-software-asur-in-q3-earnings-200483535,200483535
105947,327462,IGT,YY Gears Up To Report Q3 Earnings  What s In The Cards ,opinion,"YY  Inc    NASDAQ YY   is set to report third quarter 2019 results on Nov 12 The Zacks Consensus Estimate for third quarter earnings has been steady at 75 cents over the past seven days For the third quarter of 2019  YY expects revenues between RMB 6 57 billion and RMB 6 77 billion  indicating growth of 60 2 65 1  from the year ago period reported figure The consensus mark for revenues is currently pegged at  949 5 million  which implies growth of 59  from the figure reported in the year ago quarter The company missed the Zacks Consensus Estimate in two of the trailing four quarters  delivering an average negative surprise of 4 1  In the last reported quarter  YY reported adjusted earnings of 75 cents per American depositary shares  which missed the Zacks Consensus Estimate by 17 cents Net revenues increased 66 8  to RMB 6 29 billion   917 million  from the year ago quarter Let s see how things have shaped up prior to this announcement YY Inc  Price and EPS Surprise   Key Factors to Consider
YY made significant progress on multiple fronts in the third quarter  It made Likee  YY s video creation and sharing platform  short term video content available on its instant messaging platform  IMO  This is likely to have converted a major portion of its IMO users into short form video users Notably  Likee s monthly average user count increased exponentially in the second quarter and this momentum is expected to have continued in the to be reported quarter Additionally  the introduction of other services like group chats  mini games and live streaming is likely to have helped in improving loyalty and attracting users to the instant messaging service Moreover  on the monetization front  there has been an encouraging trend in IMO s advertising business  which is expected to have aided top line growth Furthermore  YY continued to fortify its live streaming leadership in the developed world through BIGO Live  As a result  revenues generated in developed markets are expected to have increased HAGO s  game oriented social media platform  user base is expected to have grown rapidly with the addition of game titles and social features like chat rooms and karaoke  As a result  the average user time spent on a daily basis is expected to have increased What Our Model SaysAccording to the Zacks model  the combination of a Zacks Rank  1  Strong Buy   2  Buy  or 3  Hold  and a positive  increases the odds of an earnings beat YY has a Zacks Rank  3 and an Earnings ESP of 0 00   which makes surprise prediction difficult  You can uncover the best stocks to buy or sell before they re reported with our  Stocks to ConsiderHere are some companies  which  per our model  have the right combination of elements to post an earnings beat this quarter Twin River Worldwide Holdings  Inc    NYSE TRWH   has an Earnings ESP of  13 25  and a Zacks Rank  2  You can see Spectrum Brands Holdings Inc    NYSE SPB   has an Earnings ESP of  2 60  and a Zacks Rank  3 International Game Technology   NYSE IGT   has an Earnings ESP of   20 00  and a Zacks Rank  3    Today s Best Stocks from Zacks Would you like to see the updated picks from our best market beating strategies  From 2017 through 2018  while the S P 500 gained  15 8   five of our screens returned  38 0    61 3    61 6    68 1   and  98 3  This outperformance has not just been a recent phenomenon  From 2000   2018  while the S P averaged  4 8  per year  our top strategies averaged up to  56 2  per year ",2019-11-07,Zacks Investment Research,https://www.investing.com/analysis/yy-gears-up-to-report-q3-earnings-whats-in-the-cards-200483871,200483871
105963,327478,IGT,European stocks rise on China GDP  eyes on Yellen  Dax up 0 54 ,news,"Investing com   European stocks were higher on Wednesday  supported by the release of upbeat Chinese growth data and as markets awaited additional comments by Federal Reserve Chairwoman Janet Yellen later in the day 
During European morning trade  the DJ Euro Stoxx 50 gained 0 41   France s CAC 40 advanced 0 71   while Germany s DAX climbed 0 54  
Market sentiment found support after official data earlier showed that China gross domestic product expanded by 2  in the second quarter  compared to expectations for 1 8  growth  after a rate of 1 4  growth in the first quarter 
On Tuesday  Ms  Yellen said interest rates could rise sooner if the labor market was to improve more quickly than expected  However  the Fed chair also said that if the economic recovery disappoints monetary policy would remain accommodative 
The remarks came during testimony to the Senate Banking Committee in Washington 
Ms  Yellen said the economy is continuing to improve but added that the recovery is not yet complete and reiterated that rates are likely to remain on hold for a considerable period after the bank s quantitative easing program ends 
Financial stocks were broadly higher  as French lenders Societe Generale  PARIS SOGN  and BNP Paribas  PARIS BNPP  gained 0 89  and 0 62   while Germany s Deutsche Bank  XETRA DBKGn  advanced 0 64  
Among peripheral lenders  Italy s Intesa Sanpaolo  MILAN ISP  added 0 18   while Spanish banks BBVA  MADRID BBVA  and Banco Santander  MADRID SAN  rose 0 27  and 0 77  respectively 
Elsewhere  Italian gaming business Gtech  MILAN GTCH  surged 3 31  after agreeing to buy International Game Technology  NYSE IGT  for  4 7 billion 
In London  commodity heavy FTSE 100 climbed 0 52   supported by gains in the mining sector 
Shares in Bhp Billiton  LONDON BLT  gained 0 43  and Glencore Xstrata  LONDON GLEN  advanced 0 89   while rivals Rio Tinto  LONDON RIO  and Vedanta Resources  LONDON VED  jumped 1 72  and 1 64  respectively 
Rio Tinto earlier announced that iron ore production increased by 11  in the second quarter 
In the financial sector  stocks were also mostly higher  Lloyds Banking  LONDON LLOY  edged up 0 14  and HSBC Holdings  LONDON HSBA  climbed 0 68   while Barclays  LONDON BARC  rallied 1 10   The Royal Bank of Scotland  LONDON RBS  underperformed on the other hand  down 0 16  
Meanwhile  Meggitt  LONDON MGGT  led gains on the index  up 7 78   amid reports United Technologies  NYSE UTX  could be gearing up to launch a  5 billion cash bid for the engineering company 
In the U S   equity markets pointed to a higher open  The Dow 30 futures pointed to a 0 16  rise  S P 500 futures signaled a 0 05  uptick  while the Nasdaq 100 futures indicated a 0 15  gain 
Later in the day  the U S  was to release reports on producer price inflation and industrial production ",2014-07-16,Investing.com,"https://www.investing.com/news/stock-market-news/european-stocks-rise-on-china-gdp,-eyes-on-yellen;-dax-up-0.54-295284",295284
