,id,ticker,title,category,content,date,provider,url,article_id
6714,228229,IX,Orix reports 9M results,news,Orix   NYSE IX   9M net income of  236 2BRevenue of  1 796 2B   18 2  Y Y Press ReleaseNow read ,2019-01-28,Seeking Alpha,https://www.investing.com/news/stock-market-news/orix-reports-9m-results-1759330,1759330
6715,228230,IX,Muted Lending  High Costs To Mar Hexindai  HX  Q1 Earnings,opinion,Hexindai Inc    NASDAQ HX   is slated to announce first quarter fiscal 2020  ended Jun 30  2019  results on Sep 18  before market open  The company s quarterly earnings and revenues are expected to decline year over year The China based company s fourth quarter fiscal 2019 results reflected impact from an increase in expenses along with lower revenues and loans The Zacks Consensus Estimate for earnings for the fiscal first quarter indicates a 100  plunge from the year ago reported number  Also  the consensus estimate for sales is  8 42 million  suggesting a decline of 83 7  Hexindai Inc  Sponsored ADR Price and Consensus   Before we take a look at what our quantitative model predicts  let s check the factors that are expected to influence fiscal first quarter results Factors at PlayLower Loans Volume  Heightened trade tensions with the United States are likely to have resulted in slowdown in consumer demand during the to be reported quarter  Thus  loan balance is likely to decrease Revenues Might Decline  With lower loan origination volume  the company s loan facilitation income and other service income are likely to decline  thereby affecting top line growth Asset Quality Likely to Deteriorate  The company s asset quality is likely to have worsened in the to be reported quarter  The key reason being Hexindai primarily caters to demands of the middle class in China  who are often considered as risky borrowers  and are more exposed to any economic downturn than larger companies Slight rise in expenses  Hexindai has been facing rise in operating expenses over the past several quarters  The same trend is likely to have persisted in the to be reported quarter as the company continues to invest in expansion strategies Earnings WhispersNow  let s check what our quantitative model predicts According to our quantitative model  it cannot be conclusively predicted if Hexindai will be able to beat the Zacks Consensus Estimate this time  This is because it does not have the right combination of the two key ingredients   a positive  and Zacks Rank  3  Hold  or better   to be confident of an earnings surprise call You can uncover the best stocks to buy or sell before they re reported with our  Earnings ESP  The Earnings ESP for Hexindai is 0 00  Zacks Rank  It has a Zacks Rank of 3  While this increases the predictive power of the ESP  we also need a positive Earnings ESP to be sure of an earnings surprise call Stocks to ConsiderGlobe Life Inc    NYSE GL   has been witnessing upward estimate revisions over the past 60 days  Moreover  this Zacks Rank  2  Buy  stock has rallied 25 8  so far this year  You can see Orix Corp Ads   NYSE IX   has been witnessing upward estimate revisions over the past 60 days  Additionally  the stock has risen 10 1  so far this year  It currently carries a Zacks Rank  2 Houlihan Lokey  Inc    NYSE HLI   earnings estimates have remained stable over the past 30 days  The company s shares have gained 26 4  so far this year  At present  it carries a Zacks Rank of 2 5 Stocks Set to DoubleZacks experts released their picks to gain  100  or more in 2020  One is a famous cutting edge food company that is  hiding in plain sight   Swamped with competitors and ignored by Wall Street  its stock price floundered  Now  suddenly  it acquired a company that gives it an advantage none of its peers have ,2019-09-17,Zacks Investment Research,https://www.investing.com/analysis/muted-lending-high-costs-to-mar-hexindai-hx-q1-earnings-200465270,200465270
6716,228231,IX,Nikkei set to rise on U S  data  Toyota in focus,news,"TOKYO  Aug 5  Reuters    Japan s Nikkei average is likely to
extend gains on Wednesday from a 10 month closing high set the
previous day after U S  economic data pointed to a sustained
recovery from the recession and buoyed Wall Street 
 Toyota Motor Corp will be in focus after the world s biggest
automaker forecast a slightly shallower annual loss  but slipped
to its third straight quarterly loss as sales sank in Japan 
Europe and the United States 
  The market will get solid support by growing optimism about
the economic recovery and the bottoming out of corporate earnings
prospects   said Hiroichi Nishi  general manager of equity
marketing at Nikko Cordial Securities 
  But profit taking pressure is likely to emerge  keeping the
market within a narrow range  after Japanese stocks scored fresh
highs yesterday and ahead of important U S  economic indicators
such as the jobs data  
 The U S  economy is expected to have lost 320 000 nonfarm
payroll jobs in July  a hefty number but still an improvement
over last month s drop of 467 000  The unemployment rate is
expected to have risen to 9 6 percent  The figures will be
released on Friday 
 Market players said Toyota shares may face profit taking as
immediate trading factors have run their course with its earnings
report out of the way and as the stock had already gained
sharply 
 Nikkei futures traded in Chicago rose 0 9 percent from their
Osaka close on Tuesday  pointing to a higher start 
 Market participants expect the benchmark Nikkei to move
between 10 300 and 10 550 on Wednesday  It inched up 0 2 percent
the previous day to end at 10 375 01  its highest close since
Oct  6 
 The S P 500 Index rose 0 3 percent on Tuesday after data
showing U S  consumers spent more in June  though partly because
of rising gasoline prices  and contracts to buy used houses rose
more than expected and for a fifth straight month 
 Japanese companies scheduled to announce results later in the
day include Nikon Corp and Orix Corp 
STOCKS TO WATCH
    Toshiba Corp
 Toshiba plans to set up a joint venture in China to make
small and midsize LCDs for mobile phones in the first half of
next year  the Nikkei business daily said on Wednesday 
    Sony Corp
 Sony will begin selling this month the cheapest digital book
reader for the United States  taking rival Amazon com Inc head on
in the small but fast growing market for electronic readers 
    Elpida Memory Inc
 Elpida reported a bigger than expected quarterly loss as PC
chip prices stayed weak and absorbed losses at its joint venture
in Taiwan  but nudged up its annual output forecast 
   Fast Retailing
 The company said on Tuesday same store sales at its Uniqlo
casual clothing chain in Japan fell 4 2 percent in July  the
first drop in nine months  hit by unseasonably rainy weather 
   ABC Mart
 The shoe retailer said its July same store sales rose 2 7
percent  as its sports shoes sales campaign drove up customer
traffic 
  Reporting by Aiko Hayashi  Editing by Chris Gallagher ",2009-08-04,Reuters,https://www.investing.com/news/equities-news/nikkei-set-to-rise-on-u.s.-data;-toyota-in-focus-76460,76460
6717,228232,IX,Nikkei likely to slip  eyes on Honda after earnings,news,"TOKYO  Oct 28  Reuters    Japan s Nikkei stock average is
likely to slip on Wednesday after weaker than expected U S 
consumer confidence data prompted investors to take profits in
U S  equities 
 Honda Motor Co will be in focus after it surprised with a
near tripling of its annual profit forecasts that some said may
yet be conservative  bumping it further ahead of rivals thanks to
a dominant motorcycle business and line up heavy in small cars 
 Market watchers said they were keen to see if Honda s
earnings would provide firm support for the market 
  The falls in New York indexes  in some cases for the third
day in the row  raise the possibility of a true correction  with
concern growing that it means a correction for share markets
around the world   said Yutaka Miura  senior technical analyst at
Mizuho Securities 
  Trade today is likely to be a tug of war between this
concern on the one hand and good factors for individual shares 
such as the Honda results  
 The Dow Jones industrial average eked out a slim gain after
IBM raised its share repurchase plan to  9 2 billion and shares
of Exxon Mobil and Chevron rose  but the S P 500 and Nasdaq
posted their third straight day of losses 
 The Conference Board s index of consumer confidence fell to
47 7 in October  weaker than forecast and showing that consumers
were increasingly concerned about job market conditions 
 The benchmark Nikkei is likely to move between 10 100 to
10 300  market players said  It closed at 10 212 46 on Tuesday 
marking its biggest one day percentage loss in three weeks 
 In a sign the market is likely to open lower  Nikkei futures
traded in Chicago closed at 10 160  down 0 9 percent from the
Osaka close 
STOCKS TO WATCH
    Canon Inc  Ricoh Co
 Office equipment makers Canon and Ricoh posted sharp falls in
quarterly profit on sluggish copier demand as firms rein in
spending  boding ill for rivals such as Xerox Corp and Konica
Minolta Holdings 
    Chuo Mitsui Trust Holdings  Sumitomo Trust
 Sumitomo Trust and Chuo Mitsui Trust are in merger talks  two
sources familiar with the matter said on Tuesday  bringing
together two struggling trust banks to better compete in Japan s
lucrative asset management industry 
    Monex Group
 Monex  Japan s No  3 internet securities firm  and No  7 Orix
Securities are in talks to merge  a source said on Wednesday  The
source s comments come after the Nikkei business daily said the
two firms were aiming for a merger next spring 
 The new firm would become Japan s second largest internet
securities firm  the Nikkei added 
    Itochu Corp
 Trading house Itochu s net profit for the April September
first half is likely down about 64 percent  at about 50 billion
yen  the Nikkei business daily said on Wednesday 
 Itochu will likely maintain its forecast for a 21 percent
decline in full year profit for the year ending next March  the
Nikkei added 
    Shimano Inc
 The bicycle parts maker cut its full year operating profit
forecast by 18 percent  citing a slow recovery in demand  The
firm said it now expects 20 billion yen in operating profit for
2009  down from 24 5 billion yen in the previous forecast 
    Toshiba Corp
 Toshiba said it now expects to have earned a first half
operating profit instead of a loss  thanks to cost cuts  but it
kept its annual outlook unchanged 
 Toshiba said it now expects to have earned an operating
profit of 2 billion yen   21 7 million  in April September
instead of a previously forecast loss of 30 billion yen 
    Hitachi Construction Machinery Co
 Japan s No 2 earth moving equipment maker returned to profit
in July September and said a recovery in demand was underway 
though it kept its full year earnings outlook unchanged 
    Nissan Motor Co
 Partners Nissan and Renault SA are considering production of
batteries for electric vehicles in France  Chief Executive Carlos
Ghosn said on Tuesday 
   Oki Electric
 Oki revised up its first half earnings outlook for
April September to a smaller operating loss of 1 6 billion yen
from a previous forecast for a 5 billion yen loss on a
weaker than expected yen and cost cuts 
  DeNA Co Ltd
 DeNA said it bought the U S  and China units of Cayman based
mobile phone software company IceBreaker Inc to shore up its
social networking services abroad 
  Reporting by Elaine Lies  Editing by Edwina Gibbs  ",2009-10-27,Reuters,"https://www.investing.com/news/equities-news/nikkei-likely-to-slip,-eyes-on-honda-after-earnings-98066",98066
6718,228233,IX,Nikkei dips 0 2 pct  Orix and ANA slide,news,"  Orix  ANA fall after sources say they will issue shares
   ANA announces details of public offering after close
   After close  Shinsei and Aozora say to merge at 1 1 ratio
   Construction machinery makers rise after China PMI
   Reaction to tankan business sentiment survey mixed
 By Masayuki Kitano
 TOKYO  July 1  Reuters    Japan s Nikkei average slipped 0 2
percent on Wednesday  with Orix Corp and All Nippon Airways
sliding after sources said the firms were set to announce large
public share offerings 
 But construction machinery makers such as Komatsu gained
after China s official purchasing managers  index  PMI  for June
showed the country s economic recovery is on more solid ground 
 Response to the Bank of Japan s quarterly survey of business
confidence was mixed  with some analysts saying it had no impact
on the market  but others  noting lagging capital spending 
saying it was slightly negative 
 The Nikkei had risen around 1 percent at one stage but
quickly shed its gains in the afternoon 
  It seems there was some large lot selling in futures   said
a portfolio manager at a Japanese asset management firm 
 While the reason for such selling was unclear  such moves
may reflect profit taking or hedge selling by institutional
investors  the portfolio manager said 
 The Nikkei fell 18 51 points to 9 939 93  beginning the new
quarter on a negative note 
 In the April June quarter  the benchmark index jumped 23
percent for its best quarterly gain in about 14 years 
 The broader Topix index shed 0 2 percent or 1 46 points to
928 30 on Wednesday 
 The BOJ s tankan corporate survey showed that confidence
among big manufacturers pulled back from a record low hit three
months ago  as exports and output improved from a severe
downturn late last year 
 But it also showed that big firms plan to cut capital
spending  a key driver of the economy  by 9 4 percent in the
financial year to March 2010  against the market s median
forecast for a 6 9 percent fall 
  Basically  the tankan showed that things aren t all that
good in the near term but seemed encouraging for the longer
term  making its overall impact neutral   said Kenichi Hirano 
operating officer at Tachibana Securities 
 PUBLIC OFFERINGS
 Orix fell 4 8 percent to 5 530 yen after three sources said
Japan s biggest leasing firm and a major property investor plans
to raise about 100 billion yen   1 billion  through a public
share offering 
 Five sources said All Nippon Airways  Japan s No  2 airline 
plans to raise more than 150 billion yen   1 6 billion  in a
public share offering  sending its shares tumbling 5 9 percent
to 317 yen 
 ANA said after the close that it would raise up to 182 6
billion yen   1 9 billion  in a public offering to use for
capital spending including new planes  adding that it had raised
its order for Boeing Co 787 Dreamliner airplanes to 55 from 50 
 Whether there will be more public offerings hinges on what
firms think of the economic outlook  said Shoji Hirakawa  chief
strategist of equities research at UBS Securities Japan 
 If companies think the economy will recover  they may feel
the need to raise money for capital spending  he said 
  The impact on the market is positive   Hirakawa said about
the public offerings   They are doing this because the economy
has improved enough or share prices have risen sufficiently to
conduct financing  
 Construction machinery makers rose after the China PMI data 
with Komatsu rising 1 8 percent to 1 519 yen and Hitachi
Construction Machinery gaining 1 6 percent to 1 600 yen 
 Brokerage CLSA s China Purchasing Managers  Index rose in
June to an 11 month high of 51 8 and China s official purchasing
managers  index for June also showed China s economic recovery
is on more solid ground 
  Since Japan exports a lot to China  such data is positive
for Japanese shares   said Hideyuki Ishiguro  a supervisor in
Okasan Securities  investment strategy department 
 Shinsei Bank and Aozora Bank said after the market close
that the two banks would merge at a ratio of 1 1 
 The incoming head of the bank to be formed by the merger 
Norito Ikeda  said the new entity will apply for more public
money if necessary 
 Aozora is majority owned by United States based Cerberus
Capital Management  while Shinsei is about one third owned by
U S  buyout firm JC Flowers and Co 
 Before the announcement  Shinsei rose 1 3 percent to 157 yen
and Aozora gained 1 3 percent to 151 yen 
 Trade was active  with 2 3 billion shares changing hands on
the Tokyo exchange s first section compared with last week s
daily average of 2 2 billion 
 Declining shares outnumbered advancing ones 845 to 716 
  Additional reporting by Takeshi Yoshiike and Elaine Lies 
Editing by Joseph Radford ",2009-07-01,Reuters,"https://www.investing.com/news/equities-news/nikkei-dips-0.2-pct,-orix-and-ana-slide-67990",67990
6719,228234,IX,Moneygram And Walmart Launch Money Transfer Platform ,opinion,"Moneygram International Inc    NASDAQ MGI   recently joined forces with Wal Mart Stores Inc    NYSE WMT   to introduce a new state of the art online money transfer platform  Walmart moneygram com  The new platform would offer customers better features and easier online money transfer experience The upgraded website makes use of Moneygram s new cutting edge MTaaS  Money Transfer as a Service  platform  The online money transfer platform offers third party solution to strategic business partners who seek to connect with customers through a more user friendly site that can be branded and updated easily  The new website will provide various innovative features to customers  which include guest sending  transfer tracking and many more  The site can also be used to remit money to any of Moneygram s estimated 350 000 locations as well as bank accounts worldwide This ultra modern online money transfer platform is a strategic extension of the two decade long  successful relationship between Moneygram and Walmart  The companies have joined forces time and again to serve customers with smooth  convenient and premium quality financial services  Moneygram s chief marketing officer and Walmart s senior leader  Juan Agualimpia  called the new offering  a testament to our combined commitment to our customers  Walmart remains focused on maximizing customer value though the fastest and cheapest services  Hence  the partnership with Walmart is expected to provide Moneygram with a new digital experience of providing flawless solutions to customers shopping at Walmart  We expect the aforesaid deal to further strengthen Momeygram s customer base and assure long term growth for the Zacks Rank  3  Hold  miscellaneous financial service provider  It also reflects Moneygram s consistent investments for digitalization MONEYGRAM INTL Price
    Stocks That Warrant a LookInvestors can also look at some better ranked stocks from the same space like Euronet Worldwide Inc    NASDAQ EEFT   and ORIX Corporation   NYSE IX    Both the stocks carry Zacks Rank  2  Buy  Confidential from ZacksBeyond this Analyst Blog  would you like to see Zacks  best recommendations that are not available to the public  Our Executive VP  Steve Reitmeister  knows when key trades are about to be triggered and which of our experts has the hottest hand ",2016-09-06,Zacks Investment Research,https://www.investing.com/analysis/moneygram-and-walmart-launch-money-transfer-platform-200152204,200152204
6721,228236,IX,UPDATE 5 Monex buys Orix unit to form No 2 Japan online broker,news,"  Deal priced at estimated  246 million
   Aimed at cutting systems  other costs
   Orix to replace Citi as top stockholder of Monex
   Monex shares drop 4 6 pct  Orix falls 2 5 pct
  Updates value based on closing share price 
 By Yumiko Nishitani and Nathan Layne
 TOKYO  Oct 28  Reuters    Monex Group Inc  Japan s No  3
online broker  will buy the securities unit of Orix Corp for
about  246 million in stock  in a deal that will create the
country s second largest online broker 
 By forming a broker with more than 2 1 trillion yen   23
billion  in client assets in over 1 3 million securities
accounts  the two will be able to cut systems and other costs
and beef up product and service line ups  they said in a
statement 
 The move may signal the start of consolidation in Japan s
decade old online brokerage industry after the global economic
crisis poured cold water on a stock trading boom among
individual investors  triggering fierce price competition 
  With the retail investor business shrinking  even online
brokers are now seeking to achieve economies of scale and offer
better services through expensive system upgrades  so that they
can win a larger share of the market   said Katsuhiko Hiroshige 
general manager of equities at Bansei Securities 
 Monex will issue 673 0002 new shares to leasing and real
estate giant Orix  giving it a 22 5 percent stake and making it
the broker s top shareholder ahead of Citigroup  whose ownership
will drop to 20 6 percent from 26 3 percent 
 The deal would be worth 22 5 billion yen based on Monex s
closing stock price of 33 450 yen 
 Retail investors  trading turnover on Japan s three major
exchanges  the Tokyo  Osaka and Nagoya bourses  fell by a third
to 178 trillion yen in 2008  outpacing a 23 percent fall in
trading by all investors 
  Day trading by individuals has calmed down substantially 
because of a slump in new listings  especially for start ups 
since 2006    and also due to the recent market crash and the
economic slowdown   said Yuri Yoshida  an analyst at Standard  
Poor s 
 Price cuts remain a key way for online brokers to remain
competitive 
 Matsui Securities  Japan s second largest online brokerage 
currently does not charge for cash trading up to 100 000 yen per
day for stocks and mutual funds  Monex charges 1 050 yen and
Orix Securities charges 200 yen 
 Shares of Monex Group tumbled 4 6 percent to 33 450 yen 
while those of Orix Corp fell 2 5 percent to 5 870 yen 
 Matsui fell 1 6 percent to 660 yen  while Kabu com
Securities  majority owned by Mitsubishi UFJ Financial Group 
gained 2 6 percent to 96 700 yen 
 Softbank  whose online brokerage unit SBI Securities is
expected to keep the top spot in the industry after the
Monex Orix deal  fell 3 5 percent to 2 100 yen 
  Editing by Edwina Gibbs ",2009-10-27,Reuters,https://www.investing.com/news/equities-news/update-5-monex-buys-orix-unit-to-form-no.2-japan-online-broker-98070,98070
6731,228246,IX,Should You Dump PRA Group  PRAA  Stock After A Weak Q2 ,opinion,On Aug 10  2016  Zacks Investment Research downgraded PRA Group Inc    NASDAQ PRAA   to a Zacks Rank  4  Sell  Why the Downgrade PRA Group has been witnessing sharp downward estimate revisions over the last 7 days  With respect to the surprise trend  the company missed estimates in three of the last four quarters with an average negative surprise of 6 72  The company s second quarter 2016 earnings per share of 83 cents were in line with the Zacks Consensus Estimate but declined 23  from the year ago quarter  Total revenue declined 3 8  year over year  mainly due to two non accrual portfolios in Italy  These added cash collections of  6 7 million to principal amortization Cash collections dipped 0 6   mainly due to lower collections at Americas Insolvency and America Core in the second quarter Additionally  revenues from finance receivables income as well as other revenues decreased Added to its woes  operating expenses rose 4 7  year over year on higher legal collection fees  agency fees  outside fees and services  communication  rent and occupancy expenses  depreciation   amortization and other operating expenses  The company has experienced negative operating leverage in the last few years due to the global economic crisis  Also  rise in borrowing costs and increasing leverage resulted in a 53  hike in interest expenses Given the highly fragmented and competitive nature of the accounts receivable management industry  PRA Group faces ample challenges in acquiring defaulted consumer receivables and obtaining placement of fee for service receivables The Zacks Consensus Estimate for both 2016 and 2017 moved down as most of the estimates were revised lower over the last 30 days  The same moved down 2 08  to  3 29 per for 2016 and 1 8  to  3 80 per share for 2017 PRA GROUP INC Price and Consensus   Stocks to ConsiderSome better ranked stocks from the finance sector are Euronet Worldwide  Inc   NASDAQ EEFT    ORIX Corporation   NYSE IX   and Credit Acceptance Corp   NASDAQ CACC    Both Euronet and ORIX hold Zacks Rank  2  Buy   while Credit Acceptance sports Zacks Rank  1  Strong Buy  Want the latest recommendations from Zacks Investment Research  Today  you can download 7 Best Stocks for the Next 30 Days ,2016-08-11,Zacks Investment Research,https://www.investing.com/analysis/should-you-dump-pra-group-(praa)-stock-after-a-weak-q2-200147740,200147740
6732,228247,IX,LendingClub  LC  Increases 7  Despite Continued Troubles,opinion,On the day when the peer to peer online lender  LendingClub Corporation   NYSE LC   tried to alleviate investors  concerns by making organizational changes  new revelations indicated more troubles down the road for the company Organizational Changes  CEO Appointment   Job CutsLendingClub announced the appointment of Scott Sanborn as its CEO and President and Hans Morris was named the Chairman  Earlier  Morris was assigned the role of Executive Chairman on a temporary basis following the sudden resignation of the company s founder Renaud Laplanche as the chairman and CEO in May Further  as LendingClub expects loan originations in the second quarter 2016 to be just two thirds of the first quarter level  it is trimming its workforce by 12  With investors gradually returning to the LendingClub  the company intends to spend roughly  9 million as investor incentive in the second quarter  Moreover  incremental expenses of  15  20 million will be incurred for employee retention and severance  Further  given the growth slowdown at its Springstone unit  the company will incur  20  40 million goodwill write down Despite these streamlining plans  LendingClub doesn t expect revenues and profits to improve before the first half of 2017 Questionable Business PracticesThough LendingClub is striving hard to regain investors  confidence  new information revealed that the company s had launched an internal probe into irregularities related to loans earlier this year Now the latest revelation says that its former CEO Laplanche  along with his three family members took loans amounting to  772 800 from the company in Dec 2009 to inflate loan volume  This happened just before LendingClub had announced a capital rising from third parties  Loan volume remain the primary metric to the gauge the online lenders  value  Notably  the loans were repaid in full LendingClub s business practices related to the valuation of assets held by six private funds managed by the online lender s LC Advisors LLC unit also came under a probe  Internal review revealed that valuation of these funds was not according to the  generally accepted accounting principles and impacted net asset values and monthly return figures for the LCA funds  Nonetheless  LendingClub has since hired an independent valuation firm to provide services to LC Advisors  Moreover  the company has made several changes to enhance  governance of the funds  A Bumpy Road AheadWhile organizational changes announced by LendingClub are a step in the right direction to regain investors  confidence  the new revelation pertaining to questionable business practices extends its troubles Lending Club s CEO and President Scott Sanborn said   We have demonstrated the power of the Lending Club marketplace model to generate attractive  risk adjusted returns to investors  We are working closely with investors to rebuild confidence and are encouraged to see them returning to the platform  Notably  investors cheered the company s efforts to regain foothold  with LendingClub shares climbing 7 2   However  the stock is down nearly 60  year to date  LENDINGCLUB CP Price   Currently  LendingClub carries a Zacks Rank  4  Sell   Some better ranked finance stocks include Euronet Worldwide  Inc    NASDAQ EEFT    ORIX Corporation   NYSE IX   and First Horizon National Corporation   NYSE FHN   each  holding a Zacks Rank  2  Buy  ,2016-06-29,Zacks Investment Research,https://www.investing.com/analysis/lendingclub-(lc)-increases-7-despite-continued-troubles-200139109,200139109
6733,228248,IX,Why ORIX  IX  Is Such A Great Value Stock Pick Right Now,opinion,Value investing is always a very popular strategy  and for good reason  After all  who doesn t want to find stocks that have low PEs  solid outlooks  and decent dividends Fortunately for investors looking for this combination  we have identified a strong candidate which may be an impressive value  ORIX Corporation   NYSE IX   ORIX in FocusIX may be an interesting play thanks to its forward PE of 7 12  its P S ratio of 0 86  and its decent dividend yield of 1 5   These factors suggest that ORIX is a pretty good value pick  as investors have to pay a relatively low level for each dollar of earnings  and that IX has decent revenue metrics to back up its earnings ORIX CORP ADR PE Ratio  TTM    But before you think that ORIX is just a pure value play  it is important to note that it has been seeing solid activity on the earnings estimate front as well  For current year earnings  the consensus has gone up by 3 9  in the past 30 days  thanks to 1 upward revision in the past one month compared to none lower This estimate strength is actually enough to push IX to a Zacks Rank  2  Buy   suggesting it is poised to outperform  So really  ORIX is looking great from a number of angles thanks to its PE below 20  a P S ratio below one  and a strong Zacks Rank  meaning that this company could be a great choice for value investors at this time ,2016-07-01,Zacks Investment Research,https://www.investing.com/analysis/why-orix-(ix)-is-such-a-great-value-stock-pick-right-now-200139597,200139597
