,id,ticker,title,category,content,date,provider,url,article_id
209190,430706,MPC,Marathon backs CEO amid calls for his ouster,news," Reuters    Marathon Petroleum Corp  NYSE MPC  said on Friday the company s board supports Gary Heminger as the chief executive officer after a report that two shareholders were calling for his ouster 
 The board of directors is firmly and unanimously supportive of Gary Heminger as MPC s chairman and CEO  and his track record of delivering value to shareholders and all of the company s constituencies   the company said in a statement 
The shareholders  Paul Foster and Jeff Stevens  sent a letter to the company on Thursday evening calling for the CEO s removal  the Wall Street Journal reported early on Friday 
The shareholders also backed a proposal by hedge fund Elliott Management Corp to split Marathon into three units  the Journal reported citing a copy of the letter 
The shareholders  who are former board members of refiner Andeavor  which Marathon acquired last year  own about 1 7  of Marathon  the Journal said 
Elliott was not immediately available for a Reuters request for comment after regular U S  business hours  while Foster and Stevens could not be reached 
Elliott on Wednesday urged the energy company to split into three companies for retail  refining and midstream assets  saying it would boost shareholder value by as much as  40 billion 
Marathon had responded to the hedge fund s proposal stating it was focused on increasing shareholder value and would  thoroughly evaluate  Elliott s proposal 
Heminger s membership of Marathon s board of directors is due up for shareholder vote in 2020  according to Marathon s 2019 proxy statement ",2019-09-27,Reuters,https://www.investing.com/news/stock-market-news/marathon-backs-ceo-amid-calls-for-his-ouster-1987622,1987622
209191,430707,MPC,Elliott ranks as busiest activist hedge fund in third quarter  again,news,BOSTON  Reuters    Elliott Management  Paul Singer s  35 billion hedge fund  kept up its blistering pace of pushing for corporate changes during the third quarter  outspending all rivals with campaigns at AT T  NYSE T  and Marathon Petroleum Corp  NYSE MPC    data released on Friday showed  The firm committed  5 2 billion in new capital during July  August and September  making it the busiest activist both by capital committed and number of campaigns launched  according to data compiled by Lazard  This year Elliott has committed  8 4 billion in 14 campaigns  That easily outpaces Carl Icahn s Icahn Associates  which has committed  2 6 billion in three campaigns  and Daniel Loeb s Third Point  which put  2 4 billion to work in three campaigns  Starboard Value has launched 11 campaigns this year  committing  2 3 billion in cash  Thanks to Elliott s activities  the pace of activism overall was higher in the third quarter of 2019 than a year earlier with  11 billion deployed in capital compared with  8 7 billion last year  Europe became the favorite hunting ground as activists launched a record 20 campaigns at companies like EssilorLuxottica and Scout24  While activists traditionally push for strategic reviews  demands for mergers and acquisitions have never been higher  Lazard said  noting that nearly half of all campaigns this year have had an M A thesis ,2019-10-11,Reuters,https://www.investing.com/news/stock-market-news/elliott-ranks-as-busiest-activist-hedge-fund-in-third-quarter-again-1995109,1995109
209192,430708,MPC,San Francisco Area Fuel Tank Fire Contained  Shelter Order Ends,news," Bloomberg     An explosion and fire at a San Francisco area fuel terminal spewed black smoke high in the air  snarling rush hour traffic and prompting local officials to ask residents to take shelter on Tuesday  before the emergency situation eased early on Wednesday 
The fire that affected two tanks at Nustar Energy LP s Selby Terminal in Crockett  about 25 miles  40 kilometers  northeast of San Francisco  has now been contained  the Contra Costa Country fire department said on Twitter  The tanks held  very low volumes of ethanol  comprising less than 1  of their capacity  NuStar said earlier in a statement  All operations have been suspended and product shipments into and out of the facility have halted  All personnel are safe and accounted for 
A shelter in place order has been lifted for all areas affected areas near the Nustar facility  the Contra Costa County health department said in a tweet  Since there is no longer any imminent danger to the public  a section of Interstate 80 near the terminal that had been closed in both directions has now re opened  the California Highway Patrol said in a tweet 
The blaze comes less than a day after an earthquake forced Marathon Petroleum Corp  NYSE MPC   to shut units at its nearby Martinez refinery  threatening to push up gasoline prices that had just eased from the highest level in seven years  Disruptions at California refineries sent retail pump prices in the state well above  4 a gallon 
Two tanks were burning as of late Tuesday afternoon and three other tanks  holding ethanol and jet fuel  were threatened and being doused with water  Steve Hill  a spokesman for the Contra Costa Fire Protection District  said in a televised press conference  He corrected an earlier statement saying three tanks were burning 
The two burned tanks contained a combined 250 000 gallons of ethanol  The blaze spread to 15 acres of nearby vegetation  a brush fire that was put out  Hill said  A shelter in place order was in force and between 12 and 20 nearby residents were evacuated 
The incident also comes a week after the state s utility PG E Corp  shut power to 738 000 homes and businesses to prevent wildfires similar to those that devastated the state last year  causing dozens of fatalities 
Phillips 66 s Rodeo refinery wasn t affected by the blaze  the company said in a tweet  Some early initial reports indicated the fire was at the refinery  located close to the NuStar terminal 
Nustar operates about 9 800 miles of pipeline and 74 terminal and storage facilities that store and distribute crude oil  refined products and specialty liquids  Its San Francisco area facility has a capacity of about 3 million barrels of gasoline  diesel  jet fuel and ethanol  according to the company s website 
 Updates with lifting of shelter in place order  re opening of highway in third paragraph  ",2019-10-16,Bloomberg,https://www.investing.com/news/commodities-news/san-franciscoarea-fuel-tank-fire-contained-shelter-order-ends-1996943,1996943
209205,430721,MPC,House Democrats ask Marathon Petroleum to detail White House talks on vehicle rules,news,"By David Shepardson
WASHINGTON  Reuters    Three key U S  House of Representatives Democrats on Wednesday asked Marathon Petroleum Corp  NYSE MPC  to disclose any communications between the White House and federal agencies on the Trump administration s proposal to freeze fuel efficiency standards at 2020 levels through 2026 
Energy and Commerce Committee Chairman Frank Pallone and two subcommittee chairs asked Marathon in a letter for all documents it exchanged between the National Highway Traffic Safety Administration  Environmental Protection Agency and White House  and to disclose if the oil company was involved in the controversial rule s development 
The proposal s preferred option  announced in August 2018 but not finalized  would boost U S  oil consumption by about 500 000 barrels a day by the 2030s 
Marathon did not immediately respond to a request for comment 
The letter  also signed by Representatives Paul Tonko and Jan Schakowsky  said the oil industry  stands to profit significantly from the proposed rollback   It also seeks details of Marathon s social media efforts related to the proposed regulation 
Pallone said Wednesday  the oil industry is the only winner  from the revised rules 
In April  EPA Administrator Andrew Wheeler denied the rules were written at the behest of oil industry lobbyists   This has nothing to do with the oil industry  We re not doing this for the oil industry  I m not doing this for the oil industry   Wheeler told Reuters 
The Trump administration said in August that the freeze would save automakers more than  300 billion in regulatory costs and reduce the projected cost of a new vehicle by  1 850 
Deputy National Highway Traffic Safety Administration chief Heidi King said at a congressional hearing that the agencies are still reviewing more than 650 000 comments and that the agency plans to finalize the rule  soon  
The Democrats also seek records from the American Fuel   Petrochemical Manufacturers trade group and other groups ",2019-06-19,Reuters,https://www.investing.com/news/stock-market-news/house-democrats-ask-marathon-petroleum-to-detail-white-house-talks-on-vehicle-rules-1902304,1902304
209220,430736,MPC,Marathon  Galveston Bay workers to resume contract talks  official,news,"HOUSTON  Reuters    Union workers at Marathon Petroleum  NYSE MPC  Corp s Galveston Bay Refinery are preparing to resume negotiations with the company after rejecting the last contract offer  a United Steelworkers  USW  official said 
The Galveston Bay Refinery  located in Texas City  Texas  was the site of a bitter strike in 2015  which began over a breakdown in national contract talks but lasted almost five months because of disagreements on local terms 
On Monday  Marathon spokesman Sid Barth said   Negotiations continue  operations continue  
No date has been set for the talks  said David Jankowski  vice president of USW Local 13 1  which represents workers at the refinery 
 We re waiting on the company for dates and times   Jankowski said 
The Galveston Bay workers rejected Marathon s contract offer in voting last week 
One reason for the overwhelming vote against Marathon s offer was a proposed change in leadership on the production units to salaried staff from hourly chief operators  Jankowski said 
Marathon is also seeking changes in time off and sick leave 
Negotiators for the USW International union reached agreement on Jan  31 with Shell  LON RDSa  Oil Co  representing oil companies  on wages increases and benefits for 30 000 refinery  chemical plant  pipeline and terminal workers represented by the union  including the hourly employees at the Galveston Bay Refinery 
That agreement  which provides an 11 percent pay raise over its three year length  will be paired with the agreement on local issues at Galveston Bay to make the contract for workers at the refinery ",2019-02-11,Reuters,https://www.investing.com/news/stock-market-news/marathon-galveston-bay-workers-to-resume-contract-talks-official-1776517,1776517
209221,430737,MPC,U S  Renewable Fuel Standard is not working  Marathon CEO,news,HOUSTON  Reuters    The U S  Renewable Fuel Standard  RFS  laws are not working and there is an  opportunity for a reset  of the standard in Washington  Marathon Petroleum Corp  NYSE MPC  Chief Executive Gary Heminger said on Tuesday  The RFS requires refineries to blend fuels with ethanol to reduce pollution  or pay for credits to subsidize those that do that blending   Heminger said that the standard has caused very volatile prices of those credits  and that it needs reform   The Trump Administration has attempted to reform the standard  but has maintained much of the existing framework of the law due to support from corn producers in Iowa and other farming states ,2019-03-12,Reuters,https://www.investing.com/news/commodities-news/us-renewable-fuel-standard-is-not-working-marathon-ceo-1805105,1805105
209222,430738,MPC,IMO 2020 fuel switch won t be shock to globe s refiners  Marathon CEO,news,HOUSTON  Reuters    Marathon Petroleum Corp  NYSE MPC  Chief Executive Gary Heminger said the switch to ultra low sulfur diesel fuel for ships scheduled for Jan  1  2020 would not be a shock to the global oil refining industry   Speaking at the CERAWeek energy conference  Heminger said he expected U S  refiners would begin building an inventory of the new diesel fuel for ships by the middle of 2019 to be prepared for the change in marine fuels mandated by the International Maritime Organization  IMO  ,2019-03-12,Reuters,https://www.investing.com/news/stock-market-news/imo-2020-fuel-switch-wont-be-shock-to-globes-refiners-marathon-ceo-1805111,1805111
209223,430739,MPC,Marathon Petroleum s midstream units to merge in  9 billion deal,news," Reuters    U S  oil refiner Marathon Petroleum Corp  NYSE MPC  said on Wednesday MPLX would buy Andeavor Logistics LP for  9 billion  merging its two midstream units that transport  store and market crude oil and refined products through pipelines  terminals and trucking operations 
In October  the refiner said it planned to assess options for the two master limited partnerships  which could include either one buying the other 
Under the terms of the agreement  Andeavor shareholders will receive 1 135 common units of MPLX for each common unit held and Marathon will receive 1 0328 MPLX common units for each ANDX common unit held 
The deal has a total enterprise value of  14 billion 
By buying rival Andeavor last year for over  23 billion  the refiner gained more exposure to the areas where Andeavor Logistics held its assets  including the Bakken region and the largest oilfield in the United States  the Permian basin 
Mike Hennigan will remain President of the combined entity and lead all midstream activities  the company said ",2019-05-08,Reuters,https://www.investing.com/news/stock-market-news/marathon-petroleums-midstream-units-to-merge-in-9-billion-deal-1860538,1860538
209234,430750,MPC,Marathon Petroleum Earnings  Revenue miss in Q3,news,"Investing com   Marathon Petroleum  NYSE MPC  reported third quarter earnings  that missed analyst s expectations on Thursday and revenue that fell short of forecasts 
The firm reported earnings per share of  1 7 on revenue of  23 1B  Analysts polled by Investing com expected EPS of  1 72 on revenue of  23 84B  That compared to EPS of  1 77 on revenue of  19 39B in the same period a year earlier  The company had reported EPS of  2 27 on revenue of  22 45B in the previous quarter 
For the year  Marathon Petroleum shares are up 6 77   outperforming the S P 500 which is up 1 04  year to date 
Marathon Petroleum follows other major Energy sector earnings this month
 On Thursday  Royal Dutch Shell  LON RDSa  ADR reported third quarter EPS of  0 68 on revenue of  100 2B  compared to forecasts of EPS of  1 48 on revenue of  92 05B 
PetroChina ADR earnings beat analyst s expectations on Tuesday  with third quarter EPS of  1 65 on revenue of  86 19B  Investing com analysts expected EPS of  1 55 on revenue of  91 07B
Stay up to date on all of the upcoming earnings reports by visiting Investing com s earnings calendar",2018-11-01,Investing.com,https://www.investing.com/news/stock-market-news/marathon-petroleum-earnings-revenue-miss-in-q3-1669620,1669620
209246,430762,MPC,In Response to Trump  Saudis Ramp Up Oil Exports Into the U S ,news," Bloomberg     Saudi Arabia has markedly increased oil exports to America  a sign OPEC s leading producer is responding to pressure from U S  President Donald Trump to cool down the energy market 
While the export boost started earlier this year  it accelerated over the past three months after Trump repeatedly    both through private diplomacy and public Twitter harangues    asked the Saudis to lift production to keep energy prices in check 
Saudi oil shipments into the U S  reached a four week average of one million barrels a day last week for the first time since late 2017  according to government data  and are up roughly 250 000 barrels a day since late May 
 The Middle East producers are becoming much more aggressive  wanting to bring their barrels back into this market   Gary Heminger  the chief executive of Marathon Petroleum Corp  NYSE MPC    the second largest U S  refiner by distillation capacity  said at an investor conference earlier this week 
The increase in Saudi exports into the U S  equates to almost half the overall output increase the kingdom has implemented since late May after the Organisation of Petroleum Exporting Countries and allies including Russia agreed in June to boost output 
Saudi oil shipments into the U S  plunged to a 30 year low in October last year  This prompted talk that America s freedom from Saudi oil    a rhetorical aspiration for generations of American politicians  from Jimmy Carter to George W  Bush    was within reach  even if it was largely the choice of supplier rather than customer 
In late October  the four week average of U S  imports of Saudi crude hit a low of 506 000 barrels a day  compared with last week s four week average surge to 1 009 000 barrels a day  according to government data 
OPEC Undertaking
Last year  the Saudi export drop was part of a wider undertaking by OPEC to fight a global glut that weighed on oil prices  Because the U S  is the most transparent oil market  with the government publishing weekly data about the size of crude stockpiles  the Saudis specifically targeted the American market trying to reduce the inventories 
Saudi Arabia has been able to entice U S  refiners to buy more crude in part by lowering the price it charges to customers in America  In June  Riyadh sold its flagship export grade    Arab Light    at just 60 cents a barrel above a basket of crude pumped in the U S  Gulf of Mexico  down from  1 30 a barrel in late 2017  The kingdom lowered even more the price of its lower quality crude    Arab Medium and Arab Heavy 
The surge in Saudi exports has returned Riyadh to the second position in the ranking of top U S  crude oil suppliers  which it briefly lost to Iraq and Mexico in late 2017 and early 2018  Historically  the American market has long been Saudi Arabia s most prized  both for economic and political reasons  Aramco  the kingdom s state owned company  controls the largest refinery in the U S   the Motiva plant in Port Arthur  Texas 
Traditional Diet
Motiva cut its imports of Saudi crude sharply last year  at one point even importing more Iraqi crude than Saudi  But in recent months the company  owned 100 percent by Aramco  has returned to a more traditional diet  According to data from the U S  Energy Information Administration  Motiva bought more than 70 percent of its crude from Saudi Arabia 
As Saudi Arabia has regained its market share in the U S   Iraq  the Middle East s number two exporter  lost out  The four week average of Iraqi shipments into the U S  has dropped to less than 400 000 barrels a day  down from 500 000 to 800 000 in late 2007 and early 2008  Kuwait has also lost market share 
In ramping up shipments into the U S   the Saudis also appear to be responding to American lawmakers threats to resurrect the so called  No Oil Producing and Exporting Cartels Act   or NOPEC  which proposes making the cartel subject to the Sherman antitrust law  used more than a century ago to break up the oil empire of John Rockefeller ",2018-09-07,Bloomberg,https://www.investing.com/news/commodities-news/in-response-to-trump-saudis-ramp-up-oil-exports-into-the-us-1601743,1601743
