,id,ticker,title,category,content,date,provider,url,article_id
217093,438609,MRO,Middle East tensions have put a floor under oil prices  says Marathon Oil CEO,news,Marathon Oil Chairman and CEO Lee Tillman said that while oil prices may not be spiking in response to Thursday s airstrike in Iraq  ongoing tensions in the Middle East will support higher oil prices going forward He attributed the lack of a stronger initial price reaction to the United States  surge in production  I think the dampening effect     is really the impact of the U S  energy renaissance   he said Tuesday on CNBC s  Power Lunch  from the Goldman Sachs energy conference in Miami Beach  Florida   We make up about 8  of the global supply today  and those are reliable  highly secure barrels that the market is counting on  and I do believe that s reduced this risk premium from returning back into the market  That said  he argued that U S  West Texas Intermediate crude prices will  likely  end the year higher since tensions are  likely going to persist  which  creates a bit of a floor under oil and gas pricing  Tillman s comments come as oil prices spiked more than 3  on Friday following Thursday s killing of Iran s top commander Qasem Soleimani  But since then some of the enthusiasm has faded  On Monday oil settled little changed  and on Friday prices declined 1  Marathon focuses on oil and gas exploration and production  and is a player in the U S  shale industry  with operations focused on Texas  New Mexico  Oklahoma and North Dakota  The company also has sites in Equatorial Guinea The stock has shed 12  over the last year  underperforming the energy sector s 0 6  decline  and the S P 500 s 27  gain Correction  An earlier version of this article said that the company currently has interests in the United Kingdom   CNBC s Stefanie Kratter contributed reporting ,2020-01-07,CNBC,https://invst.ly/pf19h,2054365
217094,438610,MRO,Marathon Oil misses Q4 number amid lower oil and gas prices,news,"Marathon Oil  NYSE MRO   2 6  after hours following its Q4 earnings miss and 31  Y Y drop in revenues  as weaker oil and gas prices more than offset strong U S  shale production 
Marathon says its Q4 average realized prices for crude oil and condensate in the U S  fell 2 1  to  54 83 bbl 
Q4 total production rose marginally to 413K boe day  with U S  output increasing 9  Y Y on a divestiture adjusted basis to 328K boe day 
For 2020  Marathon plans a total capital budget of  2 4B  down 11  from 2019  including a development capital budget of  2 2B  9  below the previous year  with 6  U S  oil production growth at the midpoint of guidance 
For Q1  Marathon forecasts U S  oil production of 192K 202K boe day 
The company adds that 2020 international gas production will be slowed by scheduled maintenance activity in Equatorial Guinea during Q4 ",2020-02-13,Seeking Alpha,https://invst.ly/puehq,2083490
217098,438614,MRO,Is A Beat In Store For Marathon Oil s  MRO  Q4 Earnings ,opinion,Marathon Oil Corporation   NYSE MRO   is scheduled to release fourth quarter 2019 results on Feb 12  after the closing bell The current Zacks Consensus Estimate for the to be reported quarter s earnings is 8 cents per share on revenues of  1 27 billion Against this backdrop  let s delve into the factors that might have impacted the company s performance in the December quarter As far as earnings surprises are concerned  this Houston  Texas based Marathon Oil boasts an excellent record  having surpassed the Zacks Consensus Estimate in all the trailing four quarters  the average being 197 8   This is depicted in the graph below Marathon Oil Corporation Price and EPS Surprise   Factors at PlayStrong operational performance at Marathon Oil s US resource basin division  which is responsible for more than three fourth of the total production  is likely to have contributed to the fourth quarter bottom line  In the previous three month period  the company s output of oil and natural gas increased 11 5  from the prior year s corresponding period  a trend that most likely continued in the fourth quarter as well owing to focused capital spending  Evidently  the Zacks Consensus Estimate for fourth quarter net sales volume from the United States is pegged at 332 Boe d  indicating an increase of 8 85  from the year ago reported figure Importantly  volume growth is likely to have been achieved on lower costs  During the third quarter  Marathon Oil s U S  production costs were down 23  from the year ago period to  4 75 per Boe  Continued progress on the cost front  primarily on account of portfolio optimization efforts  might have aided the company s bottom line growth in the to be reported quarter despite a weak oil price environment  What Does Our Model Say The proven Zacks model predicts an earnings beat for Marathon Oil this season  The right combination of a positive  and a Zacks Rank  1  Strong Buy   2  Buy  or 3  Hold  increases the odds of a positive surprise  You can uncover the best stocks to buy or sell before they re reported with our  Earnings ESP  Marathon Oil has an Earnings ESP of  3 90  Zacks Rank  Marathon Oil carries a Zacks Rank  2  which increases the predictive power of ESP Highlights of Q3 EarningsMarathon Oildelivered stellar third quarter 2019 results wherein both earnings and revenues surpassed the respective Zacks Consensus Estimate  Better than expected net sales volumes led to this outperformance  Precisely  the same totalled 427 thousand barrels of oil equivalent per day  MBOE d   topping the Zacks Consensus Estimate of 394 MBOE d Its adjusted income from continuing operations came in at 14 cents per share  outpacing the Zacks Consensus Estimate of 4 cents  However  the metric plunged nearly 42  from the year ago earnings of 24 cents  Notably  decreased average price realizations of crude oil and condensate from the International E P segment induced this year over year fall However  quarterly revenues of  1 345 million beat the Zacks Consensus Estimate of  1 264 million  But the top line was 19 3  lower than the prior year figure of  1 667 million Other Stocks to ConsiderHere are some other stocks worth considering from the  space as per our model shows that these too have the perfect combination of elements to beat on earnings this reporting cycle Viper Energy Partners L P    NASDAQ VNOM   has an Earnings ESP of  20 74  and a Zacks Rank  3  The company is slated to report fourth quarter earnings on Feb 11 TC Energy Corporation   TSX TRP   has an Earnings ESP of  0 65  and a Zacks Rank of 2  The company is slated to announce fourth quarter 2019 earnings on Feb 13 Tallgrass Energy GP  L P    NYSE TGE   has an Earnings ESP of  2 06  and is Zacks  2 Ranked  The partnership is slated to release fourth quarter earnings on Feb 12  You can see  Just Released  Zacks  7 Best Stocks for TodayExperts extracted 7 stocks from the list of 220 Zacks Rank  1 Strong Buys that has beaten the market more than 2X over with a stunning average gain of  24 7  per year These 7 were selected because of their superior potential for immediate breakout ,2020-02-06,Zacks Investment Research,https://www.investing.com/analysis/is-a-beat-in-store-for-marathon-oils-mro-q4-earnings-200505652,200505652
217099,438615,MRO,Why Marathon Oil  MRO  Might Surprise This Earnings Season,opinion,Investors are always looking for stocks that are poised to beat at earnings season and Marathon Oil Corporation   NYSE MRO   may be one such company  The firm has earnings coming up pretty soon  and events are shaping up quite nicely for their report That is because Marathon Oil is seeing favorable earnings estimate revision activity as of late  which is generally a precursor to an earnings beat  After all  analysts raising estimates right before earnings   with the most up to date information possible   is a pretty good indicator of some favorable trends underneath the surface for MRO in this report In fact  the Most Accurate Estimate for the current quarter is currently at 9 cents per share for MRO  compared to a broader Zacks Consensus Estimate of 8 cents per share  This suggests that analysts have very recently bumped up their estimates for MRO  giving the stock a Zacks Earnings ESP of  3 90  heading into earnings season Marathon Oil Corporation Price and EPS Surprise   Why is this Important A positive reading for the Zacks Earnings ESP has proven to be very powerful in producing both positive surprises  and outperforming the market  Our recent 10 year backtest shows that stocks that have a positive Earnings ESP and a Zacks Rank  3  Hold  or better show a positive surprise nearly 70  of the time  and have returned over 28  on average in annual returns  see more   Given that MRO has a Zacks Rank  3 and an ESP in positive territory  investors might want to consider this stock ahead of earnings  You can see the complete list of today s Zacks  1 Rank  Strong Buy  stocks here Clearly  recent earnings estimate revisions suggest that good things are ahead for Marathon Oil  and that a beat might be in the cards for the upcoming report Zacks Top 10 Stocks for 2020 In addition to the stocks discussed above  would you like to know about our 10 finest buy and hold tickers for the entirety of 2020 Last year s 2019 Zacks Top 10 Stocks portfolio returned gains as high as  102 7   Now a brand new portfolio has been handpicked from over 4 000 companies covered by the Zacks Rank  Don t miss your chance to get in on these long term buys ,2020-02-10,Zacks Investment Research,https://www.investing.com/analysis/why-marathon-oil-mro-might-surprise-this-earnings-season-200506511,200506511
217100,438616,MRO,Marathon Oil  MRO  Q4 Earnings And Revenues Lag Estimates,opinion,"Marathon Oil  NYSE MRO  came out with quarterly earnings of  0 07 per share  missing the Zacks Consensus Estimate of  0 08 per share  This compares to earnings of  0 15 per share a year ago  These figures are adjusted for non recurring items 
This quarterly report represents an earnings surprise of  12 50   A quarter ago  it was expected that this energy company would post earnings of  0 04 per share when it actually produced earnings of  0 14  delivering a surprise of 250  
Over the last four quarters  the company has surpassed consensus EPS estimates three times 
Marathon Oil  which belongs to the Zacks Oil and Gas   Integrated   United States industry  posted revenues of  1 22 billion for the quarter ended December 2019  missing the Zacks Consensus Estimate by 4 13   This compares to year ago revenues of  1 77 billion  The company has topped consensus revenue estimates two times over the last four quarters 
The sustainability of the stock s immediate price movement based on the recently released numbers and future earnings expectations will mostly depend on management s commentary on the earnings call 
Marathon Oil shares have lost about 14 8  since the beginning of the year versus the S P 500 s gain of 3 9  
What s Next for Marathon Oil 
While Marathon Oil has underperformed the market so far this year  the question that comes to investors  minds is  what s next for the stock 
There are no easy answers to this key question  but one reliable measure that can help investors address this is the company s earnings outlook  Not only does this include current consensus earnings expectations for the coming quarter s   but also how these expectations have changed lately 
Empirical research shows a strong correlation between near term stock movements and trends in earnings estimate revisions  Investors can track such revisions by themselves or rely on a tried and tested rating tool like the Zacks Rank  which has an impressive track record of harnessing the power of earnings estimate revisions 
Ahead of this earnings release  the estimate revisions trend for Marathon Oil was mixed  While the magnitude and direction of estimate revisions could change following the company s just released earnings report  the current status translates into a Zacks Rank  3  Hold  for the stock  So  the shares are expected to perform in line with the market in the near future  You can see the complete list of today s Zacks  1 Rank  Strong Buy  stocks here 
It will be interesting to see how estimates for the coming quarters and current fiscal year change in the days ahead  The current consensus EPS estimate is  0 16 on  1 32 billion in revenues for the coming quarter and  0 52 on  5 31 billion in revenues for the current fiscal year 
Investors should be mindful of the fact that the outlook for the industry can have a material impact on the performance of the stock as well  In terms of the Zacks Industry Rank  Oil and Gas   Integrated   United States is currently in the top 17  of the 250 plus Zacks industries  Our research shows that the top 50  of the Zacks ranked industries outperform the bottom 50  by a factor of more than 2 to 1 ",2020-02-13,Zacks Investment Research,https://www.investing.com/analysis/marathon-oil-mro-q4-earnings-and-revenues-lag-estimates-200507041,200507041
217104,438620,MRO,Go West  Nigerian oil skirts U S  shale boom in journey to California,news,"By Noah Browning and Libby George
LONDON LAGOS  Reuters    Nigeria s oil  displaced by U S  shale  has found an unlikely new outlet this year  the coast of the continental United States that is farthest from the African country s shores 
The shale boom has upended the global market  turning the United States from a keen buyer of Nigerian oil to an aggressive competitor 
But no pipelines easily connect the shale hub at the Permian basin  located in Texas and New Mexico  to the West Coast  driving the latter to look to Nigeria to quench its thirst for crude 
Early this year  Californian refineries began loading up on Nigerian oil   taking cargoes of Qua Iboe  Bonga  Erha  Forcados and others  according to traders and Refinitiv Eikon data 
 Graphic  Nigerian oil to U S  West Coast   
The more than 6 million barrels that the U S  West Coast imported from Nigeria between April and August this year was almost four times higher than the amount for all of 2018 
The route is relatively rare for cargoes that must weather the 20 000 km  12 500 mile   40 day journey from Nigeria s lush coasts  around South America s Tierra del Fuego and up to Los Angeles 
 Graphic  Routes of selected West African oil cargoes discharging in California   
 Marathon Oil   NYSE MRO  at its Long Beach refinery has been the most consistent buyer  with another very large crude carrier  VLCC  full of Forcados oil departing Nigeria on Thursday 
Traders said a combination of market factors   including the difficulty and expense of getting U S  crude oil to the West Coast   made Nigerian grades attractive 
 It makes more cost sense  Even if U S  crude is closer on the map  when you factor in the price and availability of taking in barrels from Louisiana or Nigeria  Nigeria came out cheaper   one seller of West African oil said 
The purchases are a rare glimmer of hope this year for Nigerian oil  which now competes with U S  shale for buyers  including in its top outlet  India 
The United States had historically been a heavy importer of crude oil  but shale production  coupled with the lifting of a four decade export ban  transformed it into a net exporter of oil and fuels by late last year 
 Graphic  U S  Imports from Nigeria of Crude Oil   
Barrels from this U S  oil bonanza sailing to domestic shores face added costs  however  due to a century old law called the Jones Act  which mandates that only U S  flagged vessels can transport it 
The restriction often makes freight within the United States more costly than much longer journeys 
But traders warn the surprise opening of the West Africa West Coast export window  or arb  could be short lived due to the timescales and distance involved 
 The arb may be already shutting  The price factors which made a cargo exporting today look like a good deal would have been happening over a month ago when the deal was made   a major buyer of West African oil said 
 They won t be the same today and certainly won t be the same over a month from now when the cargo arrives  
The need to refine oil into low sulphur shipping fuels in time for stricter environmental rules on Jan  1 may also have lured those cargoes  as West Africa is home to the kinds of crude most suited to such products  This boon could be fleeting too 
 The honeymoon will be over in a year from now   said Ehsan Ul Haq  lead analyst with Refinitiv 
 At present  all refiners are desperate to produce marine gasoil or very low sulphur fuel oil  Once the market reaches equilibrium     there will be less interest  ",2019-09-09,Reuters,https://www.investing.com/news/commodities-news/go-west-nigerian-oil-skirts-us-shale-boom-in-journey-to-california-1973463,1973463
217106,438622,MRO,Phillips 66 Partners  PSXP  Q4 Earnings   Sales Top Estimates   ,opinion,Phillips 66  NYSE PSX  Partners LP s   NYSE PSXP   fourth quarter 2019 earnings per unit came in at  1 06  which beat the Zacks Consensus Estimate of 99 cents owing to increased volumes on the partnership s terminals and a full quarter contribution from the isomerization unit at the Lake Charles Refinery  However  earnings deteriorated from the year ago quarter s figure of  1 09 due to higher expenses Revenues of  432 million rose from  393 million in the year ago quarter and also beat the Zacks Consensus Estimate of  419 million  The upside can be attributed to higher volumes and average realizations Operating InformationThe partnership provides services through Pipelines  Terminals and Storage as well as Processing   Other activities Pipeline  In fourth quarter 2019  the partnership generated revenues of  126 million  up from  118 million in the prior year quarter  The uptick was led by higher average pipeline revenues of 67 cents per barrel compared with 61 cents per barrel in the year ago quarter Terminals  The partnership generated  47 million  up  43 million from the year ago quarter  The upside came on the back of higher throughput volumes of refined petroleum products Storage  Processing   Other activities  Through these activities  the partnership generated revenues of  118 million  up from  109 million in the year ago quarter Operating and Maintenance ExpensesIn the December quarter of 2019  the partnership reported operating and maintenance expenses of  90 million  up from  88 million in the year ago quarter Balance SheetAs of Dec 31  2019  the partnership recorded cash and cash equivalents of  286 million  Also  total debt at the end of the quarter under review was  3 516 million     Phillips 66 Partners LP Price  Consensus and EPS Surprise   Strategic Update   OutlookPhillips 66 Partners has various ongoing projects that are backed by long term volume commitments and expected to deliver typical midstream returns Gray Oak pipeline is operating in sync with expectations and expected to reach full service in the second quarter of 2020  It commenced initial operations on the 900 000 barrels per day  BPD   It will transport crude oil from the Permian and Eagle Ford to Texas Gulf Coast destinations  Phillips 66 Partners has a 42 25  ownership in the pipeline Sweeny to Pasadena capacity expansion project will add 80 000 BPD of pipeline capacity  providing additional naphtha offtake from the Sweeny fractionators  In addition  product storage capacity will increase by 300 000 barrels at the Pasadena Terminal  The project is expected to start by second quarter 2020 South Texas Gateway Terminal  in which Phillips 66 Partners owns a 25  interest  is expected to be completed by third quarter 2020  The marine export terminal will have two deep water docks  with storage capacity of 8 5 million barrels and up to 800 000 BPD of throughput capacity Clemens Caverns storage capacity expansion from 9 million barrels to 16 5 million barrels is expected to be completed in fourth quarter 2020 while C2G Pipeline  which is a 16 inch ethane pipeline that will connect Clemens Caverns to petrochemical facilities in Gregory  Texas  near Corpus Christi  The unit is likely to commence operations by mid 2021 The partnership has earmarked total capex of  867 million for 2020  which includes  734 million for growth projects and  133 million of maintenance capital  It expects to exit 2020 with EBITDA run rate of  1 5 billion Zacks Rank   Stocks to ConsiderPhillips 66 Partners currently carries a Zacks Rank  3  Hold   Few better ranked players in the energy space are California Resources Corporation   NYSE CRC    Suncor Energy   NYSE SU   and Marathon Oil Corporation   NYSE MRO    All the stocks carry a Zacks Rank  2  Buy   You can see  California Resources Corporation has trailing four quarter positive earnings surprise of 711 1   on average  The company s earnings beat the Zacks Consensus Estimate in three of the last four quarters Suncor Energy has trailing four quarter positive earnings surprise of 2 2   on average  The company s earnings beat the consensus mark in two of the last four quarters Marathon Oil Corporation has trailing four quarter positive earnings surprise of 197 8   on average  The company s earnings beat the consensus mark in all of the last four quarters 7 Best Stocks for the Next 30 DaysJust released  Experts distill 7 elite stocks from the current list of 220 Zacks Rank  1 Strong Buys  They deem these tickers  Most Likely for Early Price Pops  Since 1988  the full list has beaten the market more than 2X over with an average gain of  24 7  per year  So be sure to give these hand picked 7 your immediate attention ,2020-02-04,Zacks Investment Research,https://www.investing.com/analysis/phillips-66-partners-psxp-q4-earnings--sales-top-estimates-200504289,200504289
217109,438625,MRO,Norway s Aker BP switching gears from M A to exploration,news,"By Nerijus Adomaitis OSLO  Reuters    Norwegian oil and gas company Aker  BP   LON BP  is switching emphasis from M A towards exploration  taking a potentially riskier path to increase its resources after years when it has relied on acquisitions to add the bulk of its new barrels  The company said the change of tack was prompted by falling exploration costs  partly as a result of new technologies  as well as the rising cost of acquisitions in the energy sector because of stronger oil prices   Back in 2015 2016  we acquired resources for 50 60 70 cents a barrel  which is really hard to drill out on the Norwegian continental shelf   CEO Karl Johnny Hersvik told Reuters in an interview   Now  when the drilling and the  seismic  data acquisition cost have come down  and the acquisition costs of the equivalent contingent resources have gone up  it makes sense  to explore    Aker BP has added three times more barrels in oil and gas resources through acquisitions than it has found itself since the company was born about three years ago  Reuters calculations show   The company said it could still make acquisitions if opportunities arose  but declined to make any projections on how many barrels it could buy   Acquisitions    inorganic growth    contributed more than 500 million barrels of oil equivalent  boe  in resources in 2016 18  according to the calculations based on the company s annual reserve reports and investor presentations  Aker BP s own exploration efforts during that period were far smaller  the firm added 148 million boe from discoveries   83 million in 2016  10 million in 2017 and 55 million last year   It cost  1 1 a barrel after tax to find new resources last year  The company  controlled by Norwegian billionaire Kjell Inge Roekke and 30 percent owned by BP  said in January it was hiking its exploration budget by 40 percent year on year to a record  500 million in 2019 and planned to drill 15 exploration wells  It aims to find around 100 million boe net in 2019 20   Its sharpened focus on exploration is  to some extent  emblematic of a wider industry trend of companies beginning to step up drilling efforts   which were curbed after the 2014 market crash   as a result of technological advances and stronger oil prices  It could however be a riskier path for Aker BP  whose rapid growth driven largely by M A helped it weather the downturn better than many peers and has seen its share price more than triple since 2016   The company  which is solely focused on the Norwegian continental shelf  has had a mixed exploration record  It found a quarter of all new resources on the shelf in 2016  but the following year was disappointing   We have drilled too many dry wells   Aker BP s exploration chief Evy Gloerstad Clark told Reuters   If we want to get to the top we need to get a better exploration processes in place    But Aker BP and other firms  including Sweden s Lundin Petroleum Norway s largest firm Equinor  are facing a similar challenge  discoveries on the Norwegian continental shelf are getting smaller and smaller   INDUSTRY CHANGE Aker BP s strategy during the downturn contrasted with that of its closest rival on the continental shelf  fellow mid tier player Lundin  which stuck to a plan of organic growth via exploration  Lundin added only 21 5 million boe from discoveries in 2016 2018  its investor presentations showed  Lundin s share price growth has lagged Aker BP s   but the stock has still doubled since 2016  bolstered by reserve revisions at the giant Johan Sverdrup field which the firm found in 2010 and is due to start producing this year  Aker BP s exploration push reflects a sector wide change in investor sentiment  according to Teodor Sveen Nilsen at Sparebank 1 Markets    With the upturn in the cycle  investors are more focusing on exploration and reserve replacement than a few years ago  when all the focus was on return on capital and dividends   French oil company Total is launching its biggest exploration drive for years in 2019  for example  while Chinese oil majors are also stepping up drilling  NEW PROSPECTS Aker BP s CEO Hersvik said a lesson from past exploration failures was not to put all bets on one or two areas  and to do better homework to pinpoint the best spots to drill  The company said it would spend about 40 percent of its exploration budget targeting new prospects  while 60 percent will go to drill near its existing hubs  Gloerstad Clark also said Aker BP was working to better visualize its drilling and seismic data using specialized software  but this was taking time   The Norwegian continental shelf is proving an increasingly challenging environment for explorers  In 2011 2017  discoveries averaged under 10 million boe  compared with about 110 million boe in the early years of Norway s oil industry in 1966 1980   Aker BP started out in 2016  when Norwegian oil firm Det norske bought British major BP s Norway business in an all share deal  with BP taking a 30 percent stake  two years after Det norske acquired the Norwegian assets of  Marathon Oil   NYSE MRO   As a result of these and subsequent deals  including the acquisition of Hess  Norwegian assets in 2017  Aker BP s contingent resources   proven resources that could be tapped   tripled to 946 million boe between 2016 and 2018  The company has also amassed a large acreage to explore  with stakes in 156 production licenses   Jefferies analyst Mark Wilson said Aker BP s shift towards exploration was a logical step in the company s development  helped by Norway s favorable tax regime   
 It s a natural evolution that makes sense  but the proof will be in the pudding   he added ",2019-03-01,Reuters,https://www.investing.com/news/commodities-news/norways-aker-bp-switching-gears-from-ma-to-exploration-1795039,1795039
217117,438633,MRO,Can Marathon Oil  MRO  Run Higher On Rising Earnings Estimates ,opinion,"Marathon Oil  MRO  could be a solid choice for investors given the company s remarkably improving earnings outlook  While the stock has been a strong performer lately  this trend might continue since analysts are still raising their earnings estimates for the company 
The upward trend in estimate revisions for this energy company reflects growing optimism of analysts on its earnings prospects  which should get reflected in its stock price  After all  empirical research shows a strong correlation between trends in earnings estimate revisions and near term stock price movements  Our stock rating tool    the Zacks Rank    is principally built on this insight 
The five grade Zacks Rank system  which ranges from a Zacks Rank  1  Strong Buy  to a Zacks Rank  5  Strong Sell   has an impressive externally audited track record of outperformance  with Zacks  1 Ranked stocks generating an average annual return of  25  since 2008 
For Marathon Oil  there has been strong agreement among the covering analysts in raising earnings estimates  which has helped push consensus estimates considerably higher for the next quarter and full year 
The chart below shows the evolution of forward 12 month Zacks Consensus EPS estimate 
12 Month EPS

Current Quarter Estimate Revisions
The company is expected to earn  0 08 per share for the current quarter  which represents a year over year change of  46 67  
The Zacks Consensus Estimate for Marathon Oil has increased 26 67  over the last 30 days  as three estimates have gone higher compared to no negative revisions 
Current Year Estimate Revisions
For the full year  the company is expected to earn  0 71 per share  representing a year over year change of 0  
The revisions trend for the current year also appears quite promising for Marathon Oil  with three estimates moving higher over the past month compared to no negative revisions  The consensus estimate has also received a boost over this time frame  increasing 26 65  
Favorable Zacks Rank
Thanks to promising estimate revisions  Marathon Oil currently carries a Zacks Rank  2  Buy   The Zacks Rank is a tried and tested rating tool that helps investors effectively harness the power of earnings estimate revisions and make the right investment decision  You can see the complete list of today s Zacks  1 Rank  Strong Buy  stocks here 
Our research shows that stocks with Zacks Rank  1  Strong Buy  and 2  Buy  significantly outperform the S P 500 
Bottom Line
Marathon Oil shares have added 9 5  over the past four weeks  suggesting that investors are betting on its impressive estimate revisions  So  you may consider adding it to your portfolio right away to benefit from its earnings growth prospects ",2020-01-08,Zacks Investment Research,https://www.investing.com/analysis/can-marathon-oil-mro-run-higher-on-rising-earnings-estimates-200497367,200497367
217118,438634,MRO,Marathon Oil  MRO  Stock Sinks As Market Gains  What You Should Know,opinion,"In the latest trading session  Marathon Oil  MRO  closed at  13 24  marking a  0 3  move from the previous day  This change lagged the S P 500 s daily gain of 0 19   Meanwhile  the Dow gained 0 31   and the Nasdaq  a tech heavy index  added 0 08  
Coming into today  shares of the energy company had lost 0 67  in the past month  In that same time  the Oils Energy sector gained 4 35   while the S P 500 gained 3 72  
MRO will be looking to display strength as it nears its next earnings release  The company is expected to report EPS of  0 08  down 46 67  from the prior year quarter  Meanwhile  the Zacks Consensus Estimate for revenue is projecting net sales of  1 27 billion  down 28 32  from the year ago period 
It is also important to note the recent changes to analyst estimates for MRO  These revisions help to show the ever changing nature of near term business trends  As such  positive estimate revisions reflect analyst optimism about the company s business and profitability 
Based on our research  we believe these estimate revisions are directly related to near team stock moves  To benefit from this  we have developed the Zacks Rank  a proprietary model which takes these estimate changes into account and provides an actionable rating system 
The Zacks Rank system  which ranges from  1  Strong Buy  to  5  Strong Sell   has an impressive outside audited track record of outperformance  with  1 stocks generating an average annual return of  25  since 1988  Over the past month  the Zacks Consensus EPS estimate has moved 29 57  higher  MRO currently has a Zacks Rank of  2  Buy  
Investors should also note MRO s current valuation metrics  including its Forward P E ratio of 41 66  This valuation marks a premium compared to its industry s average Forward P E of 19 6 
Also  we should mention that MRO has a PEG ratio of 5 36  The PEG ratio is similar to the widely used P E ratio  but this metric also takes the company s expected earnings growth rate into account  The Oil and Gas   Integrated   United States industry currently had an average PEG ratio of 3 24 as of yesterday s close 
The Oil and Gas   Integrated   United States industry is part of the Oils Energy sector  This industry currently has a Zacks Industry Rank of 30  which puts it in the top 12  of all 250  industries 
The Zacks Industry Rank includes is listed in order from best to worst in terms of the average Zacks Rank of the individual companies within each of these sectors  Our research shows that the top 50  rated industries outperform the bottom half by a factor of 2 to 1 
Make sure to utilize Zacks  Com to follow all of these stock moving metrics  and more  in the coming trading sessions ",2020-01-15,Zacks Investment Research,https://www.investing.com/analysis/marathon-oil-mro-stock-sinks-as-market-gains-what-you-should-know-200499111,200499111
