,id,ticker,title,category,content,date,provider,url,article_id
199182,420698,NVDA,NVIDIA Officially Launches Game Streaming Service GeForce Now,news,"Computer hardware company NVIDIA  NASDAQ NVDA  has officially launched its long awaited GeForce Now  bringing the power of high end graphics processors to devices that may lack graphics cards altogether  The end result is an impressive video gaming experience on devices like the iPhone  Android smartphones  and laptops built largely without gamers in mind 
Built to be better
GeForce Now spent roughly two years in beta testing  even as rivals Alphabet  NASDAQ GOOGL   NASDAQ GOOG  and Microsoft  NASDAQ MSFT  launched competing services called Stadia and a beta test of xCloud  respectively  to perfect GeForce Now s underlying technologies  Gamers may ultimately decide it was worth the wait  however  for two reasons 

Chief among them is the concurrent development of the interface with hardware strategically located at data centers  NVIDIA already makes graphics cards found within personal computers  as well as hardware for data centers  Extracting remote performance played into the company s core competency 
The second reason NVIDIA may be able to edge out similar services like xCloud and Stadia is the selection of titles game players will be able to access  Not only can games be purchased through the new app  but gamers will be able to access cloud based games they already own through platforms like Steam or Battle net 
Competitively priced
GeForce Now is presently offered at two price points  the lower of which is free  but with restrictions  The higher priced one costs  4 99 per month  offering unfettered access to Nvidia s data centers that handle the computing load  Even so  NVIDIA says that monthly fee will rise at some point  For comparison  Google s Stadia costs gamers  9 99 per month  although a free version is in the works 
While the definition of  cloud gaming  remains relatively loose as the area expands  Mordor Intelligence says the market was worth  1 15 billion last year ",2020-02-04,The Motley Fool,https://invst.ly/pr2w3,2076127
199183,420699,NVDA,Should You Buy NVIDIA Stock At Its Current Valuation ,news,"NVIDIA  NASDAQ NVDA  stock has regained its mojo of late  gaining nearly 50  in the past six months thanks to a turnaround in its gaming and data center businesses  The graphics specialist gets nearly 80  of its revenue from the two segments  so improving business prospects in these businesses have encouraged investors to buy more shares 
But the problem is that NVIDIA s recent rally has made the stock expensive  The stock is now trading at a rich price to earnings  P E  multiple of 63  This is much higher than the stock s five year average P E ratio of 38 

NVDA Revenue  TTM  data by YCharts
At the same time  the company s recent quarterly results have not been up to the mark  Its top and bottom lines shrank last quarter and the outlook was lighter than anticipated  making NVIDIA stock overvalued at current levels  So  does this mean that investors shouldn t buy NVIDIA stock anymore  Let s find out 
Taking a deeper look at NVIDIA s performance
Though NVIDIA s top and bottom lines have been heading south over the past few quarters  things are about to change for the better  The company s outlook for the current quarter might have been lighter than expectations  but it would mark a return to growth 
NVIDIA expects  2 95 billion in revenue in the fourth quarter of fiscal 2020  which would be a 34  improvement over the prior year period s top line of  2 2 billion  The chipmaker credits this impressive top line growth to strong demand in its gaming and data center businesses  Both these segments delivered impressive sequential growth last quarter  and they look good for more thanks to NVIDIA s product development moves and the end market opportunities 
The gaming business  for instance  is witnessing a nice turnaround  NVIDIA gained five percentage points of market share on a sequential basis in the third quarter of 2019 in the discrete GPU  graphics processing unit  market  according to Jon Peddie Research 

The impressive thing to note here is that NVIDIA s market share increased despite the launch of new graphics cards by archrival Advanced Micro Devices  NVIDIA held nearly 73  of the discrete graphics card market at the end of the third quarter  and it could continue to dominate this space thanks to its next gen cards 
Taipei Times reported last month that NVIDIA s next generation GPUs based on the 7 nanometer  nm  manufacturing process could deliver a 50  jump in graphics performance while reducing power consumption by half  Such a product line could put NVIDIA in a great position to take advantage of the fast growing gaming laptop market 
Gaming laptops are generally more power hungry when compared to regular computers  as they require more computing power to run games  which takes a toll on battery life  If NVIDIA comes out with graphics cards that are capable of reducing power consumption and boosting computing power simultaneously  it could become the go to supplier for gaming laptop OEMs  original equipment manufacturers  
Third party research predicts that the gaming laptop market could clock an annual growth rate of 22  through 2023  The good part is that NVIDIA is already making waves in this market  Gaming laptops were a crucial growth driver for NVIDIA in the third quarter  with the company s partners launching over 130 such models 
So it won t be surprising to see gaming laptops push NVIDIA s gaming business higher this year 
NVIDIA s data center growth could take off
NVIDIA s data center business hit a purple patch last quarter thanks to the increasing demand for artificial intelligence  AI  applications in the cloud  Its data center revenue increased by almost 11  sequentially  and more improvements could be in the cards for a couple of reasons 
First  the hyperscale data center market is expected to clock an attractive compound annual growth rate of 24  through 2024 as per third party estimates  NVIDIA is already benefiting from this fast growth  as shipments of its Tesla GPUs  which are used in data centers  hit a record in the third quarter 
The second reason why NVIDIA s data center revenue could keep growing is that the company is now reportedly taking steps to consolidate its place in the hyperscale data center market  The Next Platform reports that a supercomputer at Indiana University fitted with the next generation of Tesla GPUs is expected to deliver a 70  to 75  improvement in performance 
This is a positive sign of things to come  as more powerful data center GPUs from NVIDIA should help it stay ahead of the curve in the industry and pave the way for long term growth 
NVIDIA s valuation should not be an issue
Given that NVIDIA s two major businesses appear to have bright prospects  the stock s current valuation shouldn t be in the way for anyone looking to buy the stock  We have already seen that NVIDIA is expected to deliver impressive revenue growth this quarter  and the more important thing is that the chipmaker is expected to sustain that momentum 
The company s revenue in the current fiscal year  which has just begun  is expected to jump over 19   according to analyst estimates compiled by Yahoo  Finance  The company s earnings are expected to jump from  5 57 per share in the recently concluded fiscal year to  7 26 per share in the current one  This is why the stock s forward P E ratio of 33 looks more reasonable  and investors looking for a potential growth stock should keep NVIDIA on their radar ",2020-02-06,The Motley Fool,https://invst.ly/pr-h2,2077999
199184,420700,NVDA,NVIDIA s New Cloud Service Could Spell Doom for Google s Stadia,news,"NVIDIA  NASDAQ NVDA  recently ended a three year public beta test for its cloud gaming platform GeForce NOW and formally launched the service for PCs  Macs  Android devices  and SHIELD devices  NVIDIA hosts the games on servers with its high end RTX GPUs  and offers it in free and premium tiers 
The free tier offers an unlimited number of one hour play sessions  After the session expires  gamers need to queue up and wait for the next available session  The paid  Founders  tier costs  4 99 per month and offers on demand streaming without wait times or time limits  The first three months are free 
NVIDIA claims that over 300 000 beta testers streamed more than 70 million hours of gameplay in 30 countries in North America and Europe over the past three years  It also noted that 80  of players  instantly upgraded from systems without GeForce GPUs to the latest PC graphics  via its cloud service 
At first glance  GeForce NOW might just seem like another competitor for Alphabet s  NASDAQ GOOG   NASDAQ GOOGL  Google Stadia  which struggled with with tech issues  a dearth of compelling games  and a confusing business model after its launch last November  But if we take a closer look at GeForce NOW  we ll realize that this new service could spell doom for Google s nascent gaming service 

NVIDIA targets Google s biggest weaknesses
When Google announced Stadia last year  many gamers expected it to mimic Netflix by offering unlimited access to a library of games for a monthly fee 
Yet Google doused those hopes and revealed that Stadia was merely a cloud based locker for purchased games  To play games on Stadia  gamers need to purchase games from its store    even if they previously bought the game from other digital storefronts like Valve s Steam  Ubisoft s Uplay  and Electronic Arts  Origin 
NVIDIA s GeForce Now  however  links with all those major DRM platforms and allows players to stream the games they already own without an additional purchase 
NVIDIA is already letting users stream their own games on the free tier now  while Google currently only offers its paid  Pro  tier for  9 99 per month  In a recent interview with Protocol  Google executive Phil Harrison declared that Stadia s free tier would launch  within the next few months  

GeForce NOW also offers over 30 free to play games for both tiers  as well as support for  hundreds  of purchased titles from over 50 publishers 
Stadia Pro launched with 22 games and currently supports just over 40 titles  but each game needs to be purchased  Google lets Pro subscribers play five of its games without an additional purchase  but its upcoming free tier won t offer any access to those free to play titles 
In short  GeForce NOW s business model is more straightforward and appealing than Stadia s  Gamers can test out the service for free with free to play games or games they already own  then upgrade if they want to play those games for extended sessions  It also costs half as much as Stadia s service and runs more games 
GeForce NOW will weaken Stadia  xCloud could kill it
NVIDIA tested out GeForce NOW for three years before its formal launch  but Google only seemed to test Stadia    formerly known as  Project Stream     for about a year before launching the paid version 
Google s initial vision of Stadia  which teased deep integration with YouTube and the ability to join a live streamed game  has yet to materialize  Its sporadic updates about the platform  the slow trickle of exclusive titles  and the lack of enthusiasm from publishers    which seemed eager to support GeForce NOW    all indicate that Stadia was a half baked project 
To make matters worse  Microsoft  NASDAQ MSFT  plans to launch its own cloud gaming platform  xCloud  later this year  It will likely bundle xCloud with its Xbox Live and Game Pass subscription services  which could gain plenty of gamers as it launches the Xbox Series X over the holidays  Simply put  NVIDIA could weaken Stadia with GeForce NOW  and Microsoft s xCloud could pull away even more gamers 
Would Stadia s decline hurt Google 
Google still generates most of its revenue from ads  so Stadia s success or failure won t impact its near term growth  But if Stadia fails  it will mark a missed opportunity for Google to leverage YouTube  Chromecast  and its Google Play gaming ecosystem to create a next gen gaming platform that isn t tethered to a single hardware device 
Meanwhile  NVIDIA seems to clearly understand what publishers and gamers want from a cloud gaming service  It s still too early to tell if it will succeed  but I suspect that it will steal Stadia s thunder over the next few months ",2020-02-07,The Motley Fool,https://invst.ly/psg2m,2079105
199185,420701,NVDA,Amazon pulls out of major Barcelona telecoms conference over coronavirus,news,"BERLIN MADRID  Reuters    Amazon com Inc  O AMZN  has pulled out of this month s Mobile World Congress because of the coronavirus outbreak  in another blow to one of the telecom industry s biggest gatherings which attracts over 100 000 visitors to Barcelona 
 Due to the outbreak and continued concerns about the new coronavirus  Amazon will withdraw from exhibiting and participating in Mobile World Congress 2020   the company said in a statement on Sunday 
Amazon had planned a significant presence through its cloud computing arm AWS  which was due to host a full day conference track on the first day of the event 
The online retailer is the fourth company to pull out of the annual gathering this week  following South Korea s LG Electronics  KS 066570   Swedish equipment maker Ericsson  ST ERICb  and U S  chipmaker Nvidia  O NVDA  
The Feb  24 27 event will go ahead as planned  the GSMA telecoms industry association  which runs the Congress  confirmed in a statement on Sunday before Amazon said it was pulling out  adding that they would tighten health precautions to guard against the coronavirus outbreak 
No visitors will be allowed to attend from China s Hubei province  where the coronavirus outbreak started  while visitors from China must prove they have been outside the country for two weeks prior to the event  GSMA said 
Some 5 000 6 000 visitors typically come from China to the world s premier telecoms industry gathering  where companies spend millions on stands and hospitality to fill their order books for the year ahead 
Chinese companies Huawei  HWT UL  and ZTE  SZ 000063  have said they will attend  ordering China based staff to self isolate ahead of the event to ensure they are free of the illness  and drafting in European staff to cover for those stranded 
China raised the death toll from the outbreak to 811 on Sunday  passing the number killed globally by the SARS epidemic  while total confirmed cases of the illness reached 37 198 
The virus has spread to at least 27 countries and territories  according to a Reuters count based on official reports  infecting more than 330 people outside China  Two deaths have been reported outside mainland China   both of Chinese nationals 
More then two dozen large trade fairs and industry conferences in China and overseas have been postponed or hit by travel curbs and concerns about the spread of the virus  potentially disrupting billions of dollars worth of deals ",2020-02-09,Reuters,https://www.investing.com/news/technology-news/amazon-pulls-out-of-major-barcelona-telecoms-conference-over-coronavirus-2080109,2080109
199186,420702,NVDA,NVIDIA Stock Rises 3 ,news,"Investing com   NVIDIA  NASDAQ NVDA  Stock rose by 3 02  to trade at  259 25 by 11 48  16 48 GMT  on Monday on the NASDAQ exchange 
The volume of NVIDIA shares traded since the start of the session was 4 85M  NVIDIA has traded in a range of  252 35 to  259 33 on the day 
The stock has traded at  259 3300 at its highest and  234 7500 at its lowest during the past seven days ",2020-02-10,Investing.com,https://www.investing.com/news/stock-market-news/nvidia-stock-rises-3-2080766,2080766
199187,420703,NVDA,Stocks   Wall Street Rebounds From Early Weakness as Tech Shines,news,"By Yasin Ebrahim 
Investing com   Wall Street rebounded from early weakness on Monday  led by a surge in tech stocks  though concerns about the risk to global growth from the coronavirus kept a lid on gains 
The S P 500 rose 0 30   Nasdaq Composite added 0 64  and the Dow Jones Industrial Average gained 0 20  
With the death toll from the coronavirus rising to 909  and new cases of the virus emerging in France and the U K   the World Health Organization warned that a rise in cases outside of China could be the  spark that becomes a bigger fire  
But U S stocks turned positive as investors continued to bet the economy will remain resilient in the wake of the last week s better than expected jobs report 
 We expect the novel coronavirus to have a negative impact on the overall Chinese economy  and  potentially slowing China s GDP growth by 100 to 200 basis points in the first quarter of the year   DA Davidson said 
But  based on the SARS impact in 2003  we believe that economic growth will rebound rapidly  after the nCoV outbreak is contained   the firm added 
The rebound on Wall Street was led by tech stocks  with chip stocks  in particular  racking up sharp gains for the day 
Nvidia  NASDAQ NVDA  surged 4  ahead of its earnings due Thursday  buoyed by a price target boost from RBC to  301 From  258 
 We raise our estimates on NVDA as we think the January quarter will come in a bit ahead of the high end of guide due to better than expected gaming and data center demand   RBC said in a note 
A rise in consumer discretionary  led by Amazon com  NASDAQ AMZN   also supported sentiment on stocks 
Energy stocks  however  kept the broader market advance in check as oil prices continued to fall on concerns about the impact of the coronavirus on oil demand 
Elsewhere  Tesla  NASDAQ TSLA  pared some gains  but was up 1  after the electric automaker reportedly restarted production at its China factory ",2020-02-10,Investing.com,https://www.investing.com/news/stock-market-news/stocks--wall-street-rebounds-from-early-weakness-as-tech-shines-2080863,2080863
199188,420704,NVDA,Nvidia Rallies as Wall Street Touts Optimism Ahead of Earnings,news,"By Yasin Ebrahim 
Investing com   Nvidia surged Monday after receiving a vote of confidence from Wall Street ahead of its earnings due later this week 
RBC raised its price target on Nvidia to a Street high  301 from  251  representing about a 15  upside from current prices  Nvidia  NASDAQ NVDA  rose 4  
 We raise our estimates on Nvidia as we think the Jan quarter will come in a bit ahead of the high end of guide due to better than expected gaming and data center demand  That said  we do not see a change to seasonal patterns for April due to macro concerns   RBC said 
The bank  citing recent checks  is betting that both gaming and data center demand came in better than expected when compared consensus estimates and believes that operating margins will improve to more than 40  by mid year 2020 
RBC raised its revenue estimate on Nvidia s gaming business  which drives the bulk of growth  to  1 56 billion  above current consensus of  1 51 billion and forecasts the data center business to generate  880 million  above the Street s  830 million consensus estimate 
 Overall  our checks suggest the holiday season for Nvidia was better than expected and data center demand is improving   RBC said 
The upbeat note comes amid increasing confidence that the headwinds for the company over the past year  including weaker demand for graphic card sales  following a glut in inventory  and data center products  have faded somewhat 
Both Intel  NASDAQ INTC  and Advanced Micro Devices  NASDAQ AMD  reported strong quarters for their respective data center businesses  suggesting recent optimism over data sales is not without merit 
Nvidia  up 11  for the year so far  reports earnings on Thursday after markets close ",2020-02-10,Investing.com,https://www.investing.com/news/stock-market-news/nvidia-rallies-as-wall-street-touts-optimism-ahead-of-earnings-2080958,2080958
199189,420705,NVDA,Stocks   Wall Street Shrugs off Coronavirus Concerns to Close at Record Highs,news,"By Yasin Ebrahim 
Investing com   The S P and Nasdaq made a positive start to the week on Monday  closing at record highs as strong gains for mega cap tech stocks overshadowed concerns about the coronavirus impact 
The S P 500 rose 0 7   Nasdaq Composite added 1 1  and the Dow Jones Industrial Average gained 0 55  
The World Health Organization s Dr  Sylvia Briand told reporters the coronavirus produces mild cold symptoms in about 80  of the cases seen so far  with just 15  of those infected ending up with pneumonia and 3  to 5  of patients needing intensive care 
The world health watchdog did expressed concerns  however  about new cases of the virus emerging outside mainland China  which it warned could be a  spark that becomes a bigger fire  
Recent economic data  including the better than expected U S  jobs report last week  has underpinned investor hopes that the economy would be able to withstand the fallout from the virus  with some betting that central banks will act in the event of a prolonged outbreak 
 We expect the novel coronavirus to have a negative impact on the overall Chinese economy  and  potentially slowing China s GDP growth by 100 to 200 basis points in the first quarter of the year   DA Davidson said 
But  based on the SARS impact in 2003  we believe that economic growth will rebound rapidly  after the nCoV outbreak is contained   the firm added 
The virus outbreak aside  tech stocks reigned on Wall Street  with Nvidia  in particular  rallying ahead of its earnings due Thursday   
Nvidia  NASDAQ NVDA  jumped 4 5   buoyed by a price upgrade from RBC to  301 From  258 
 We raise our estimates on NVDA as we think the January quarter will come in a bit ahead of the high end of guide due to better than expected gaming and data center demand   RBC said in a note 
A rise in consumer discretionary  led by Amazon  NASDAQ AMZN  and L Brands  NYSE LB   also played a role in a broad based move higher 
L Brands closed more than 2  higher as the company is reportedly nearing a deal to sell Victoria s Secret to private equity company Sycamore Partners 
Elsewhere  Tesla  NASDAQ TSLA  pared some gains  but ended the day 3  higher after the electric automaker restarted production at its China factory after operations were disrupted by the coronavirus outbreak 
Slack Technologies  NYSE WORK  jumped 15 6  on a report that  IBM  is switching to its workplace messaging and communications software  The stock gave back some gains post market after the company downplayed the report  leaving its guidance for the fiscal fourth quarter unchanged 
Slack also clarified that  IBM   NYSE IBM  has been its largest customer for several years and has expanded its usage of the messaging platform over that time  
 
 
Energy stocks proved an exception to the rally not least because oil prices continued to decline on concerns about the impact of the coronavirus on Chinese oil demand ",2020-02-10,Investing.com,https://www.investing.com/news/stock-market-news/stocks--wall-street-shrugs-off-coronavirus-concerns-to-close-at-record-highs-2080996,2080996
199190,420706,NVDA,Cisco  Facebook  Sprint pull out of Barcelona meet over coronavirus fears,news,"By Supantha Mukherjee and Joan Faus  Reuters    Cisco Systems Inc  O CSCO   Sprint Corp  N S  and  Facebook Inc   O FB  on Tuesday became the latest U S  technology companies to pull out of the Mobile World Congress  MWC  in Barcelona due to the coronavirus outbreak  A number of companies ranging from Japan s NTT Docomo  T 9437  and Sony Corp  T 6758  to U S  chipmakers  Intel Corp   O INTC  and Nvidia  O NVDA  have already dropped out of the four day international telecoms conference that draws in more than 100 000 visitors   While we are extremely disappointed that we cannot continue with this event as planned  we believe this is the right decision given the current circumstances   a Cisco spokeswoman said  The virus  which originated in the Chinese city of Wuhan  has spread across the world  prompting many companies to restrict travel to and from the country   It has so far killed more than 1 000 people and infected more than 40 000 people on the Chinese mainland  while spreading to at least 24 countries  MWC  set to kick off on Feb  24  is the telecom industry s biggest annual gathering  with companies spending millions on stands and hospitality to fill their order books  GSMA  the organizer of the event  did not immediately respond to requests for comment  The organizer said on Sunday participants from China s Hubei province  where the coronavirus outbreak began  would not be allowed to attend the event and that visitors from China must prove they have been outside the country for at least two weeks prior to the event   We are more prepared than ever   said Catalan regional health councillor  Alba Verges  to local channel TV3  She added that  from a public health point of view  there is no  objective cause  for the companies to be afraid of attending   The event is important to Barcelona  whose economy got a boost of around 470 million euros   515 million  last year from the conference  according to GSMA  Chinese companies  including Huawei  ZTE  SZ 000063   Oppo and  Xiaomi   HK 1810   are still attending the event  
Amazon com Inc  O AMZN   LG Electronics  KS 066570   Ericsson  ST ERICb  and McAfee have also withdrawn from exhibiting and participating in the conference ",2020-02-12,Reuters,https://www.investing.com/news/stock-market-news/cisco-pulls-out-of-barcelona-conference-as-coronavirus-fears-spread-2081942,2081942
199206,420722,NVDA,Nvidia Climbs as Analyst Sees Continued Growth in Gaming,news,"Investing com   Nvidia  NASDAQ NVDA  climbed on Monday after an analyst upgraded his outlook on chipmaker on signs of ongoing growth in its gaming business 
Needham analyst Ari Shusterman upgraded Nvidia to hold from underperform  sending the chipmaker s shares up 3  
 Gaming is showing signs of positive momentum as attach rates for ray tracing games have accelerated  Hyperscalers have also begun to spend again on AI workloads   Shusterman said 
The upgrade from Shusterman marked a turnaround from a year ago  when he raised concerns that Nvidia would experience slowing sales of consumer graphics cards and hyperscaler spending amid a global economic slowdown 
The then bearish call  however  failed to materialize as Nvidia oversaw an  aggressive  channel refill  the analysts said 
Looking ahead to the first half of the year  the path for Nvidia is somewhat easier as it faces easy year over year comparisons  particularly in graphics and data center  he added 
Needham is not the only one on Wall Street touting growth for Nvidia s gaming business 
Benchmark analyst Ruben Roy recently increased the target price on Nvidia to  275 from  240 on expectations that the chipmaker will benefit from a  reacceleration of data center spending  coupled with an improving demand environment for GPUs in gaming end markets  
 Potential catalysts for Nvidia shares in 2020 include positive bias to estimates on contnued data center demand improvement  visibility into its 7nm product road map  and the closing of the pending Mellanox acquisition   Roy added ",2020-01-13,Investing.com,https://www.investing.com/news/stock-market-news/nvidia-climbs-as-analyst-sees-continued-growth-in-gaming-2058317,2058317
