,id,ticker,title,category,content,date,provider,url,article_id
93417,314932,PBR,Petrobras  Total win pre salt crude supply deals from Brazil,news,Petrobras  NYSE PBR  and Total  NYSE TOT  are awarded crude supply contracts from the Brazilian government  its first successful auction of its share of production from the pre salt offshore play  The auction  held by Pre sal Petroleo  the state company managing contracts for pre salt oil development  was the government s second attempt to sell its share of oil from three fields in the Santos offshore basin after the first attempt in May yielded no bids  PBR wins a three year contract covering 10 6M barrels  of crude from the Mero field  the first commercial discovery in  the Libra block  and a separate 36 month deal for 600K barrels of crude from the Sapinhoa field  PBR owns 40  in a consortium developing Mero that includes Royal Dutch Shell  LON RDSa  and TOT with 20  each  and China s Cnooc and CNPC each holding 10   while PBR has a 40  stake in Sapinhoa while Repsol  MC REP  Sinopec owns 25  and Shell holds 30   TOT wins a 12 month contract for oil from the Lula field in the Santos basin  which should total  1 1M barrels  the field is operated by PBR  which owns a 65  stake  while Shell holds 25  Now read ,2018-08-31,Seeking Alpha,https://www.investing.com/news/stock-market-news/petrobras-total-win-presalt-crude-supply-deals-from-brazil-1594767,1594767
93418,314933,PBR,Glencore  Trafigura  Vitol bribed Petrobras staff  Brazil prosecutors say,news,"Brazil prosecutors allege the  Glencore   LON GLEN   OTCPK GLCNF  OTCPK GLNCY   Trafigura and Vitol trading houses paid more than  30M in bribes to Petrobras  NYSE PBR  employees in return for business  the latest finding of the country s sweeping  Car Wash  investigation 
Prosecutors say the PBR employees offered the trading companies cheaper prices for oil and its derivatives  then pocketed the savings 
Employees involved worked at PBR s trading desk in Houston and at the company s headquarters in Rio de Janeiro  and there is evidence that at least two of the employees still work at the company  the investigators say 
Now read ",2018-12-05,Seeking Alpha,https://www.investing.com/news/stock-market-news/glencore-trafigura-vitol-bribed-petrobras-staff-brazil-prosecutors-say-1711615,1711615
93419,314934,PBR,Total ups stake in Brazil s Lapa field  starts JV with Petrobras for renewables,news,Total  TOT  0 1   says it will increase its stake in Brazil s pre salt Lapa field and separately create a joint venture with  Petrobras  PBR  0 2   to develop more wind and solar projects  as the French company deepens its ties in Brazil TOT says it paid  50M for the additional 10  stake in Lapa   raising its total holding to 45   alongside Royal Dutch Shell  LON RDSa   RDS A  RDS B  with 30  and  Repsol Sinopec  OTCQX REPYF  OTCQX REPYY  SNP  with 25  TOT says the JV will seek to build up to 500 MW of installed capacity over the next five years with plans to increase installed capacity to 3 GW Now read ,2018-12-21,Seeking Alpha,https://www.investing.com/news/stock-market-news/total-ups-stake-in-brazils-lapa-field-starts-jv-with-petrobras-for-renewables-1729164,1729164
93420,314935,PBR,TOTAL  TOT  To Report Q3 Earnings  What s In The Cards ,opinion,TOTAL S A    NYSE TOT   is set to report third quarter earnings on Oct 30  before the opening bell  This integrated oil and gas company delivered a negative earnings surprise of 14 63  in the last reported quarter Let s see how things have shaped up for this earnings season Factors at PlayDuring the third quarter  TOTAL continued to expand LNG operations through acquisitions and the startup of projects  This is likely to have boosted the company s total production During the quarter  TOTAL signed an agreement to divest its interest in the Trapil pipeline network to Pisto SAS and sell some of its non core U K  assets to Petrogas  These developments allowed TOTAL to focus more on profitable core operations during the third quarter During the quarter  the company opened its 1000th solarized service station and continued to work on the strategy of producing more power from renewable sources However  fluctuation in commodity prices during the quarter might have affected earnings  The Zacks Consensus Estimate for third quarter earnings is 99 cents per share  which indicates a decline of 32 65  from the year ago reported figure Why a Likely Positive Surprise Our proven model does not conclusively predict an earnings beat for TOTAL this time around  A stock needs to have both a positive   which represents the difference between the Most Accurate Estimate and the Zacks Consensus Estimate  and a Zacks Rank  1  Strong Buy   2  Buy  or 3  Hold  to surpass estimates  That is not the case here as you will see below  You can see You can uncover the best stocks to buy or sell before they re reported with our TOTAL S A  Price and EPS Surprise   Earnings ESP  The company has an Earnings ESP of 0 00  Zacks Rank  TOTAL currently carries a Zacks Rank  5  Strong Sell  Stocks to ConsiderInvestors can consider the following players from the same sector that have the right combination of elements to post earnings beat in the to be reported quarter Phillips 66   NYSE PSX   is slated to release third quarter 2019 numbers on Oct 25  It has an Earnings ESP of  4 50  and carries a Zacks Rank  3 Petroleo Brasileiro S A  or Petrobras   NYSE PBR   is scheduled to release third quarter 2019 numbers on Nov 5  It has an Earnings ESP of  17 24  and carries a Zacks Rank  3 Occidental Petroleum Corporation   NYSE OXY   is set to release third quarter 2019 numbers on Nov 4  It has an Earnings ESP of  1 99  and carries a Zacks Rank  3 Wall Street s Next Amazon  NASDAQ AMZN Zacks EVP Kevin Matras believes this familiar stock has only just begun its climb to become one of the greatest investments of all time  It s a once in a generation opportunity to invest in pure genius ,2019-10-22,Zacks Investment Research,https://www.investing.com/analysis/total-tot-to-report-q3-earnings-whats-in-the-cards-200476701,200476701
93421,314936,PBR,Petrobras board nominee was once fined for insider trading,news,One of three new board members nominated by Brazil s government to sit on the Petrobras  PBR  1 1   board was fined in 2016 by securities regulator CVM for insider trading  Reuters reports Nominee John Forman  a former director of national oil regulator ANP  was fined 338 500 reais   91 540  by the CVM in 2016 for insider trading  Forman  who is appealing the ruling in federal court  has not paid the fine Separately  PBR says it plans to exercise its preferential rights to operate three blocks in the next pre salt deepwater auction  due later this year  under a production sharing contract scheme PBR says it wants to operate with a 30  stake the Aram  Norte de Brava and Sudoeste de Sagit rio blocks Now read ,2019-01-15,Seeking Alpha,https://www.investing.com/news/stock-market-news/petrobras-board-nominee-was-once-fined-for-insider-trading-1747734,1747734
93422,314937,PBR,Eletrobras  9  as government may dilute stake or sell off the company,news,Eletrobras  EBR  8 9   surges as much as 11  after a Brazilian government official said the utility should be privatized  Plan A  of Pres  Bolsonaro s new administration is to capitalize  the company in order to dilute the government s stake so that it is no  longer the controlling shareholder  with a sale of the company as a potential second step  according to an official at Brazil s Economy Ministry in charge of privatizations The government has said it is considering  20B in privatizations this year  including the sale of subsidiaries of state oil giant Petrobras  PBR  3 7   Now read ,2019-01-29,Seeking Alpha,https://www.investing.com/news/stock-market-news/eletrobras-9-as-government-may-dilute-stake-or-sell-off-the-company-1762040,1762040
93423,314938,PBR,Petrobras  PBR  Q3 Earnings Beat  Revenues Miss  FCF Soars,opinion,Brazil s state run energy giant Petroleo Brasileiro S A   or Petrobras   NYSE PBR   announced third quarter earnings per ADS of 36 cents  beating the Zacks Consensus Estimate of 28 cents and the year ago quarter profit of 26 cents  Adjusted EBITDA rose to  8 209 million from  7 559 million a year ago  The outperformances could be attributed to impressive production growth and lower lifting costs However  the Brazilian state run energy giant s revenues of  19 416 million missed the Zacks Consensus Estimate of  20 307 million and fell from the year earlier sales of  22 547 million  The unfavorable comparisons stem from lower average realized commodity prices and decline in oil product sales Petroleo Brasileiro S A   Petrobras Price  Consensus and EPS Surprise    Let s take a deeper look at the recent performances from the company s two main segments  Upstream  Exploration   Production  and Downstream  or Refining  Transportation and Marketing  Upstream  The Rio de Janeiro headquartered company s total oil and gas production during the third quarter reached 2 878 thousand barrels of oil equivalent per day  MBOE d    79  liquids   up from 2 513 Mbbl d in the same period of 2018 Compared with the third quarter of 2018  Brazilian oil and natural gas production   constituting 97  of the overall output   increased 16 5  to 2 794 MBOE d  The improvement was driven by ramp up of new projects that began operations in 2018 and 2019 In the July to September period  the average sales price of oil in Brazil slumped 17 2  from the year earlier period to  58 10 per barrel  While the falling crude prices reduced upstream segment earnings significantly  it was partly offset by higher production  A tight leash on pre salt lifting costs  which fell 22  from the third quarter of 2018 to a record  5 03 per barrel  also provided some support Overall  the segment s revenues edged down to  12 551 million in the quarter under review from  13 115 million in the year ago period  Moreover  profits fell to  2 979 million from the year ago figure of  3 120 million Downstream  Revenues from the segment totaled  17 124 million  lower than the year ago figure of  19 312 million  Petrobras  downstream earnings tanked to  106 million from the year ago level of  903 million  owing to weaker domestic oil products sales margins and inventory turnover effects CostsDuring the period  Petrobras  sales  general and administrative expenses stood at  1 759 million  2 7  lower than the year ago period  Selling expenses also fell by 3 5  to  1 252 million  Consequently  total operating expenses declined by 8 2  year over year to  4 069 million Financial PositionDuring the three months ended Sep 30  2019  Petrobras  capital investments and expenditures totaled  2 612 million  33 2  lower than the  3 908 million incurred in the year ago period Importantly  the company generated positive free cash flow for the 18th consecutive quarter  with the metric surging to  6 480 million from  2 049 million recorded in last year s corresponding period  This was primarily driven by proceeds from the sale of BR Distribuidora   the company s former fuel distribution segment Meanwhile  adjusted EBITDA rose to  8 209 million from the year ago figure of  7 559 million At the end of the quarter  Petrobras had a net debt of  75 419 million  increasing from  72 888 million a year ago  The company ended the third quarter with cash and cash equivalents of  13 179 million On a positive note  Petrobras managed to trim its net debt to the trailing 12 months EBITDA ratio to 2 40 from 2 62 in the previous year Zacks Rank   Key PicksPetrobras carries a Zacks Rank  3  Hold  Meanwhile  investors interested in the  space could look at some better options like Phillips 66   NYSE PSX    Murphy USA Inc    NYSE MUSA   and SilverBow Resources  Inc    NYSE SBOW   that carry a Zacks Rank  2  Buy  You can see  Breakout Biotech Stocks with Triple Digit Profit PotentialThe biotech sector is projected to surge beyond  775 billion by 2024 as scientists develop treatments for thousands of diseases  They re also finding ways to edit the human genome to literally erase our vulnerability to these diseases Zacks has just released Century of Biology  7 Biotech Stocks to Buy Right Now to help investors profit from 7 stocks poised for outperformance  Our recent biotech recommendations have produced gains of  98    119  and  164  in as little as 1 month  The stocks in this report could perform even better ,2019-11-13,Zacks Investment Research,https://www.investing.com/analysis/petrobras-pbr-q3-earnings-beat-revenues-miss-fcf-soars-200484885,200484885
93424,314939,PBR,Petrobras To Divest 30  Stake In Frade Field To PetroRio,opinion,Of late  Petroleo Brasileiro S A  aka Petrobras   NYSE PBR   entered into an agreement with PetroRio Jaguar Petr leo Ltda wherein the former will sell its 30  stake in Frade concession to the latter The divestment also included the sale of the complete interest owned by Petrobras Frade Inversiones SA  PFISA   a unit of Petrobras  in the company Frade BV  which operates the offshore assets used in developing the Frade field production Proceeds from the sale will be received in part payments  Initially  a tranche of  7 5 million will be earned upon inking the deal  The remaining  92 5 million will be obtained on culminating the transaction  contingent upon certain adjustments due  Further  an amount of  20 million will be secured provided a prospective discovery is made in the field Petrobrasis committed to investing in deepwater and ultra deepwater assets  especially pre salt  which is expected to generate highest pecuniary return  With the Frade field s divestiture  the company will be able to concentrate more on its portfolio Petroleo Brasileiro S A   Petrobras Price   PetroRio Jaguar Petr leo Ltda  a unit of PetroRio SA  currently holds 70  of the Frade s concession  With the closure of the transaction  the Frade field  located in the Campos Basin  north coast of the Rio de Janeiro state in Brazil  will be wholly owned by PetroRio The acquisition is expected to make a significant impression on PetroRio  leading to more optimized production  which will add about 27 million barrels to PetroRio s 2P reserves with increase in the company s daily output by 6 000 barrels The transaction is subject to the receipt of pending approvals from the Administrative Council for Economic Defense  CADE  and the National Agency of Petroleum  Natural Gas and Biofuels  ANP  Headquartered in Rio de Janeiro  Petrobras is one of the largest energy players riding high on the back of its outstanding portfolio  particularly in Brazil s pre salt reservoirs and projects impressive average annual output growth through 2024  However  the company recently reported break even earnings for third quarter 2019 compared with the Zacks Consensus Estimate of 28 cents and the year ago quarterly income of 26 cents  These unfavorable comparisons stem from lower average realized commodity prices and decline in oil product sales  which more than offset excellent production growth and the drop in lifting costs Zacks Rank   Key PicksPetrobras currently carries a Zacks Rank  3  Hold   Some better ranked stocks in the space are World Fuel Services Corporation   NYSE INT    HollyFrontier Corporation   NYSE HFC   and Phillips 66   NYSE PSX    each carrying a Zacks Rank  2  Buy   You can seeFree  Zacks  Single Best Stock Set to DoubleToday you are invited to download our latest Special Report that reveals 5 stocks with the most potential to gain  100  or more in 2020  From those 5  Zacks Director of Research  Sheraz Mian hand picks one to have the most explosive upside of all This pioneering tech ticker had soared to all time highs and then subsided to a price that is irresistible  Now a pending acquisition could super charge the company s drive past competitors in the development of true Artificial Intelligence  The earlier you get in to this stock  the greater your potential gain ,2019-12-01,Zacks Investment Research,https://www.investing.com/analysis/petrobras-to-divest-30-stake-in-frade-field-to-petrorio-200489370,200489370
93425,314940,PBR,Chevron sells majority stake in Brazil s Frade field,news,Chevron   CVX  0 4   agrees to sell its 51 7  operating stake in Brazil s deepwater Frade field to PetroRio for an undisclosed sum CVX and its partners  including Petrobras  NYSE PBR   which owns a 30  stake in Frade  have spent   3B in developing the field Frade started production in 2009 and reached peak output of 79K bbl day in 2011 before a spill halted further exploration  the field will be operational only until  2025 The transaction also includes CVX s 50  operated interest in the deepwater CE M715 Block in the Ceara Basin offshore Brazil Now read ,2019-01-30,Seeking Alpha,https://www.investing.com/news/stock-market-news/chevron-sells-majority-stake-in-brazils-frade-field-1763846,1763846
93426,314941,PBR,The Zacks Analyst Blog Highlights  Danaher  Petrobras  Fiserv  CME And ConocoPhillips,opinion,For Immediate ReleaseChicago  IL  December 16  2019   Zacks com announces the list of stocks featured in the Analyst Blog  Every day the Zacks Equity Research analysts discuss the latest news and events impacting stocks and the financial markets  Stocks recently featured in the blog include  Danaher   NYSE DHR    Petrobras   NYSE PBR    Fiserv   NASDAQ FISV    CME Group   NASDAQ CME   and ConocoPhillips   NYSE COP   Here are highlights from Friday s Analyst Blog Top Stock Reports for Danaher  Petrobras and FiservThe Zacks Research Daily presents the best research output of our analyst team  Today s Research Daily features new research reports on 16 major stocks  including Danaher  Petrobras and Fiserv  These research reports have been hand picked from the roughly 70 reports published by our analyst team today You can see Danaher s shares have outperformed the Zacks Diversified Operations industry year to date  46 8  vs  29 1    The Zacks analyst believes that sturdier demand for innovative products  effective implementation of Danaher Business System and shareholder friendly policies will likely bolster profitability going forward Also  the acquisition of the BioPharma business will complement the company s Life Sciences segment  For fourth quarter 2019  the company expects adjusted earnings of  1 32  1 35 and core sales growth of 4 5   The company will soon dispose of its remaining 80 6  stake in Envista through an exchange offer  Moreover  the company is exposed to forex woes  high debts  rising costs and others  You can  Shares of Petrobras have gained 6 5  in the past three months against the Zacks Emerging Markets Integrated Oil industry s rise of 1 4   The Zacks analyst believes that Petrobras  cost containment efforts and ambitious divestment plans have been helping the firm to improve its credit ratings The company boasts of an impressive portfolio  particularly in Brazil s pre salt reservoirs and projects strong average annual output growth till 2024 Meanwhile  the company has revved up its five year divestment plan of  75 7 billion to streamline portfolio and sharpen focus on other profitable segments for achieving top tier results  However  the fact that Petrobras is still reeling under huge debt burden cannot be overlooked  Years of mismanagement and corruption have also taken their toll  Hence  the company warrants a cautious stance at the moment  You can  Fiserv s shares have gained 29 1  over the past six months against the Zacks Financial Transaction Services industry s rise of 7 8   The Zacks analyst believes that Consistency in rewarding shareholders through share buybacks boosts investors  confidence and positively impact earnings per share The company enjoys a dominant position in the financial and payments solutions business on the back of broad and diverse customer base  and continued technology upgrades  Its diversified product portfolio helps attract a steady flow of customers  Acquisitions help boost its market share and customer base On the flip side  maintaining strong and long term client relationships is a difficult task amid stiff competition  High debt may limit the company s future expansion and worsen its risk profile  Multiple buyouts result in integration risk  You can  Other noteworthy reports we are featuring today include CME Group and ConocoPhillips Breakout Biotech Stocks with Triple Digit Profit PotentialThe biotech sector is projected to surge beyond  775 billion by 2024 as scientists develop treatments for thousands of diseases  They re also finding ways to edit the human genome to literally erase our vulnerability to these diseases Zacks has just released Century of Biology  7 Biotech Stocks to Buy Right Now to help investors profit from 7 stocks poised for outperformance  Our recent biotech recommendations have produced gains of  98    119  and  164  in as little as 1 month  The stocks in this report could perform even better Media ContactZacks Investment Research800 767 3771 ext  9339 Past performance is no guarantee of future results  Inherent in any investment is the potential for loss  This material is being provided for informational purposes only and nothing herein constitutes investment  legal  accounting or tax advice  or a recommendation to buy  sell or hold a security  No recommendation or advice is being given as to whether any investment is suitable for a particular investor  It should not be assumed that any investments in securities  companies  sectors or markets identified and described were or will be profitable  All information is current as of the date of herein and is subject to change without notice  Any views or opinions expressed may not reflect those of the firm as a whole  Zacks Investment Research does not engage in investment banking  market making or asset management activities of any securities  These returns are from hypothetical portfolios consisting of stocks with Zacks Rank   1 that were rebalanced monthly with zero transaction costs  These are not the returns of actual portfolios of stocks  The S P 500 is an unmanaged index  Visit  for information about the performance numbers displayed in this press release ,2019-12-15,Zacks Investment Research,https://www.investing.com/analysis/the-zacks-analyst-blog-highlights-danaher-petrobras-fiserv-cme-and-conocophillips-200492745,200492745
