,id,ticker,title,category,content,date,provider,url,article_id
3121,224636,PME,Company News For Apr 10  2018,opinion,Shares of Pingtan Marine Enterprise Ltd    NASDAQ PME   rose 9 6  after it announced plans of increasing its current production capacityCBS Corporation s   NYSE CBS   shares increased 0 02  after the company nominated Richard Parsons  former Time Warner CEO  as an independent director to its boardShares of Energous Corporation   NASDAQ WATT   rose 5 3  after a FCC certification was given to the company for its near field wireless charging transmitterAveXis  Inc  s   NASDAQ AVXS   shares increased 81 6  Swiss drugmaker Novartis   NYSE NVS   agreed to buy the company for  8 7 billion or  218 per share in cash,2018-04-09,Zacks Investment Research,https://www.investing.com/analysis/company-news-for-apr-10-2018-200304465,200304465
3124,224639,PME,Consumer   Top Gainers   Losers as of 12 00 pm,news,Gainers  REV  16   WPRT  8   FBR  7   ADOM  6  Losers  PME  11   BSET  7   ROX  5   VUZI  5  Now read ,2017-09-28,Seeking Alpha,https://www.investing.com/news/stock-market-news/consumer--top-gainers--losers-as-of-1200-pm-534271,534271
3125,224640,PME,Pingtan Marine declares  0 01 dividend,news,Pingtan Marine   NASDAQ PME  declares  0 01 share quarterly dividend  in line with previous Forward yield 1 27 Payable Dec  15  for shareholders of record Nov  30  ex div Nov  29 Now read ,2017-11-15,Seeking Alpha,https://www.investing.com/news/stock-market-news/pingtan-marine-declares-001-dividend-864012,864012
3126,224641,PME,Consumer   Top Gainers   Losers as of 12 00 pm  2 6 2018 ,news,Gainers  FN  24   LTRPA  15   FOSL  9   TPR  6  Losers  CLW  21   NBEV  7   PME  7   FTFT  7   ADOM  6  Now read ,2018-02-06,Seeking Alpha,https://www.investing.com/news/stock-market-news/consumer--top-gainers--losers-as-of-1200-pm-262018-1204581,1204581
3127,224642,PME,Consumer   Top Gainers   Losers as of 12 00 pm  2 16 2018 ,news,Gainers  FTFT  19   PME  8   ABAC  8   HOME  6   VOXX  6  Losers  VFC  9   WPRT  7  Now read ,2018-02-16,Seeking Alpha,https://www.investing.com/news/stock-market-news/consumer--top-gainers--losers-as-of-1200-pm-2162018-1261657,1261657
3128,224643,PME,Pingtan Marine reports Q4 results,news,Pingtan Marine   NASDAQ PME   Q4 EPS of  0 06Revenue of  16 4M   24 2  Y Y Shares  4 66  Press ReleaseNow read ,2018-03-14,Seeking Alpha,https://www.investing.com/news/stock-market-news/pingtan-marine-reports-q4-results-1342290,1342290
3129,224644,PME,Consumer   Top Gainers   Losers as of 12 00 PM  04 09 2018 ,news,Gainers  KBSF  10   PME  8   FORD  6   RFP  6  Losers  RCKY  6  Now read ,2018-04-09,Seeking Alpha,https://www.investing.com/news/stock-market-news/consumer--top-gainers--losers-as-of-1200-pm-04092018-1385435,1385435
3130,224645,PME,Consumer   Top Gainers   Losers as of 12 00 PM  04 16 2018 ,news,Gainers  NAV  9   CAAS  7  Losers  FN  10   FTFT  8   DF  8   PME  8   PETZ  7  Now read ,2018-04-16,Seeking Alpha,https://www.investing.com/news/stock-market-news/consumer--top-gainers--losers-as-of-1200-pm-04162018-1396895,1396895
3131,224646,PME,Energous leads consumer gainers  Tesla and Cryoport among losers,news,Gainers  Energous  NASDAQ WATT   15    Arcimoto   NASDAQ FUV   12   Kandi Technologies  NASDAQ KNDI   12    China XD Plastics   NASDAQ CXDC   11   Westport Fuel Systems  NASDAQ WPRT   9  Losers   Pingtan Marine  Enterprise  NASDAQ PME   15   Cryoport  NASDAQ CYRX   11   Kewaunee Scientific  NASDAQ KEQU   7   Tesla  NASDAQ TSLA   7  Now read ,2019-01-02,Seeking Alpha,https://www.investing.com/news/stock-market-news/energous-leads-consumer-gainers-tesla-and-cryoport-among-losers-1735244,1735244
3132,224647,PME,Pingtan Marine names Mr  LiMing Yung as CFO,news,"Pingtan Marine  PME  1 1   announces the appointment of Mr  LiMing Yung  Michael   the Company s Senior Vice President as Chief Financial Officer effective December 5  2019 
Mr  Yung will be succeeding Mr  Roy Yu  who tendered his resignation effective December 5  2019 
Mr  Yung has been Pingtan s Senior Vice President since 2015  Prior to joining Pingtan  he was the Vice President of Citicorp Investment  Senior Vice President of UBS Paine Webber and Managing Director of Terra Nova Natural Resources ",2019-12-05,Seeking Alpha,https://invst.ly/oy6wf,2034862
3140,224655,PME,Consumer   Top Gainers   Losers as of 12 00 pm,news,Gainers  JAKK  7   REV  5   FTFT  5  Losers  CLXT  8   PME  6   NTZ  6  Now read ,2017-09-27,Seeking Alpha,https://www.investing.com/news/stock-market-news/consumer--top-gainers--losers-as-of-1200-pm-533564,533564
3145,224660,PME,Pingtan Marine Enterprise dives after negative report,news,Pingtan Marine  Enterprise  PME  22 6   trades lower after being called a fraud on the Aurelius Value website  Shares of Pingtan are down 22 99  on volume already 4X normal activity  Trading on Pingtan has ranged from  0 84 to  5 18 over the last 52 weeks  Now read ,2017-05-10,Seeking Alpha,https://www.investing.com/news/stock-market-news/pingtan-marine-enterprise-dives-after-negative-report-482537,482537
3146,224661,PME,Consumer   Top Gainers   Losers as of 12 00 pm,news,Gainers  CROX  19   COTY  14   WWW  8   STKL  8   SUMR  8  Losers  PME  38   FOSL  22   PRMW  12   KNDI  11   KODK  9  Now read ,2017-05-10,Seeking Alpha,https://www.investing.com/news/stock-market-news/consumer---top-gainers---losers-as-of-12:00-pm-482576,482576
