,id,ticker,title,category,content,date,provider,url,article_id
3921,225436,STC,Notable earnings before Thursday s open,news,ABB  ABT  ADS  BBT  BK  BX  CHKP  DHR  DOV  EWBC  FNB  GATX  GPC  HOMB  KEY  MNRO  MTG  NUE  OMC  PII  PM  POOL  PPG  RCI  SAP  SASR  SCHL  SHW  SNA  SON  STBA  STC  SYNT  TRV  UNP  WBC  WNS Now read ,2017-07-19,Seeking Alpha,https://www.investing.com/news/stock-market-news/notable-earnings-before-thursday’s-open-507584,507584
21148,242663,STC,Is Stewart Information  STC  A Good Pick For Value Investors ,opinion,Value investing is easily one of the most popular ways to find great stocks in any market environment  After all  who wouldn t want to find stocks that are either flying under the radar and are compelling buys  or offer up tantalizing discounts when compared to fair value One way to find these companies is by looking at several key metrics and financial ratios  many of which are crucial in the value stock selection process  Let s put Stewart Information Services Corporation   NYSE STC   stock into this equation and find out if it is a good choice for value oriented investors right now  or if investors subscribing to this methodology should look elsewhere for top picks PE RatioA key metric that value investors always look at is the Price to Earnings Ratio  or PE for short  This shows us how much investors are willing to pay for each dollar of earnings in a given stock  and is easily one of the most popular financial ratios in the world  The best use of the PE ratio is to compare the stock s current PE ratio with  a  where this ratio has been in the past  b  how it compares to the average for the industry sector  and c  how it compares to the market as a whole On this front  Stewart Information has a trailing twelve months PE ratio of 17 04  as you can see in the chart below This level actually compares quite favorably with the market at large  as the PE for the S P 500 stands at about 19 54  Also  if we focus on the long term PE trend  Stewart Information s current PE level puts it much below its midpoint of 20 03 over the past five years The stock s PE however compares unfavorably with the Finance Market s trailing twelve months PE ratio  which stands at 14 59  This indicates that the stock is overvalued right now  compared to its peers Meanwhile Stewart Information has a forward PE ratio  price relative to this year s earnings  of 14 95  which is much lower than the current level  So  so it is fair to say that a more value oriented path is ahead of the stock in the near term P S RatioAnother key metric to note is the Price Sales ratio  This approach compares a given stock s price to its total sales  where a lower reading is generally considered better  Some people like this metric more than other value focused ones because it looks at sales  something that is far harder to manipulate with accounting tricks than earnings Right now  Stewart Information has a P S ratio of 0 54  This is quite lower than the S P 500 average  which comes in at 3 38x right now  Also  as we can see in the chart below  this is much below the highs for this stock in particular over the past few years Broad Value OutlookIn aggregate  Stewart Information currently has a Value Score of A  putting it into the top 20  of all stocks we cover from this look  This makes Stewart Information a solid choice for value investors What About the Stock Overall Though Stewart Information might be a good choice for value investors  there are plenty of other factors to consider before investing in this name  In particular  it is worth noting that the company has a Growth Score of A and a Momentum Score of A  This gives STC a Zacks VGM score   or its overarching fundamental grade   of A   You can read more about the Zacks Style Scores   Meanwhile  the company s recent earnings estimates have been mixed at best  While the current year estimate has seen one upward and no downward movements  the next year estimate has seen no upward and one downward movement over the past two months This has had a mixed effect on the consensus estimate  While the current year consensus has shot up 9 2  over the past two months  the next year estimate has plunged16   You can see the consensus estimate trend and recent price action for the stock in the chart below Stewart Information Services Corporation Price and Consensus   Such mixed analyst sentiments is the reason the stock has a Zacks Rank  3  Hold  and it is the reason why we are looking for in line performance from the company in the near term Bottom LineStewart Information is an inspired choice for value investors  as it is hard to beat its incredible lineup of statistics on this front  Besides a sluggish industry rank  among Bottom 42  of more than 250 industries   with a Zacks Rank  3  it is hard to get too excited about the stock Also  over the past two years  the broader industry has clearly underperformed the market at large  as you can see below So  value investors might want to wait for Zacks rank  industry rank  past industry performance and analyst sentiments to turn around in this name first  but once that happens  this stock could be a compelling pick Free  Zacks  Single Best Stock Set to DoubleToday you are invited to download our latest Special Report that reveals 5 stocks with the most potential to gain  100  or more in 2020  From those 5  Zacks Director of Research  Sheraz Mian hand picks one to have the most explosive upside of all This pioneering tech ticker had soared to all time highs and then subsided to a price that is irresistible  Now a pending acquisition could super charge the company s drive past competitors in the development of true Artificial Intelligence  The earlier you get in to this stock  the greater your potential gain ,2019-12-01,Zacks Investment Research,https://www.investing.com/analysis/is-stewart-information-stc-a-good-pick-for-value-investors-200489307,200489307
21158,242673,STC,P C Insurers Q2 Earnings To Watch On Jul 21  TRV  STC  FAF,opinion,The second quarter earnings season is in full swing  with 92 members of the S P 500 index due to report their financial results this week  Earnings of the 36 index members that have reported already as per the  report declined 3 9  on 0 1  lower revenues  However  the beat ratio is 66 7  for the bottom line and 41 7  for the top line About 7 8  of the companies in the Finance sector have already reported their results  Total earnings are down 5 4   though revenues managed a 0 4  improvement  The beat ratio is 57 1  for earnings and 42 9  for revenues The property and casualty  P C  insurance industry is part of the broader finance sector  Let s see how the second quarter has turned up for insurers so far  This quarter witnessed varied catastrophes  including a wildfire in Canada  flooding in Europe  earthquakes in Japan and Ecuador and hailstorms in Texas  The industry is estimated to incur an expected loss of  15 billion to over  20 billion due to 25 weather events that occurred in the quarter  These have weighed on the underwriting results of insurers  and hurt their underwriting income and combined ratio However  prudent underwriting approaches have likely limited capital erosion   To the disappointment of the sector  the interest rate remains unchanged as the Federal Reserve stayed away from raising the same due to weak employment data and Brexit induced uncertainties  Therefore  investment income  which forms a major component of insurers  revenues  remained under pressure  But a broader invested asset base and alternative asset classes bring some respite Nonetheless  insurers in this well capitalized industry remain well poised on the back of their expanded and diversified product and service portfolio  which is driving premiums higher  Effective capital deployment involving share buybacks should boost the bottom line INSURANCE PROP CAS TITLE Industry Price IndexAs many as 299 companies are due to report their quarterly results this week  Among these  let s see what s in store for three P C insurers that are slated to come up with their numbers on Jul 21 before the opening bell The Travelers Companies  Inc    NYSE TRV   provides a wide variety of property and casualty insurance and surety products and services to businesses  organizations and individuals in the U S  and select international markets  The company delivered a 9 34  negative earnings surprise last quarter  Travelers Companies has an  of  2 82  and a Zacks Rank  4  Sell   The Zacks Consensus Estimate for the quarter is pegged at  2 13 Travelers  underwriting results may have deteriorated to higher catastrophe losses  Investment income is likely to remain low  mainly due to low reinvestment rates and lesser returns in the non fixed income portfolio  However  Travelers is likely to witness a rise in new business written in the to be reported quarter   Moreover  the company s  Personal Insurance business may come up with robust numbers  with strong retention in both Agency Auto and Agency Homeowners  Continued share buyback should boost the bottom line   Read more   With respect to the surprise trend  Travelers Companies surpassed expectations in three of the last four quarters  with an average beat of 12 28   TRAVELERS COS Price and EPS Surprise   Stewart Information Services Corporation   NYSE STC   is primarily involved in title insurance  The company delivered a 16 00  negative earnings surprise last quarter  For the second quarter of 2016  Stewart Information Services has an Earnings ESP of 0 00   It currently carries a Zacks Rank  4  The Zacks Consensus Estimate for the quarter is pegged at 86 cents With respect to the surprise trend  Stewart Information Services surpassed expectations in two of the last four quarters  with an average beat of 10 32  STEWART INFO SV Price and EPS Surprise   First American Financial Corporation   NYSE FAF   is a leading provider of title insurance  settlement services and risk solutions for real estate transactions  First American Financial delivered a 13 89  positive earnings surprise last quarter  First American Financial has an Earnings ESP of  3 70  and a Zacks Rank  2  Buy   The Zacks Consensus Estimate for the quarter is pegged at 81 cents With respect to the surprise trend  First American Financial surpassed expectations in three of the last four quarters  with an average miss of 14 26  FIRST AMER FINL Price and EPS Surprise   Keep an eye on our full earnings articles to see how these companies finally fared ,2016-07-19,Zacks Investment Research,"https://www.investing.com/analysis/p-c-insurers-q2-earnings-to-watch-on-jul-21:-trv,-stc,-faf-200143021",200143021
21159,242674,STC,Stewart Information  STC  Q2 Earnings Miss Estimates,opinion,Stewart Information Services Corporation s   NYSE STC   second quarter 2016 earnings of 49 cents per share missed the Zacks Consensus Estimate by 43   The bottom line also plunged 31 9  year over year   The underperformance is attributable to lower revenues that offset the impact of lower expenses in the quarter Performance in DetailOperating revenues of Stewart Information Services totaled  483 6 million  down 8 2  year over year   Total revenue declined 8  to  489 4 million  lagging the Zacks Consensus Estimate of  600 million  The decline was largely attributable to a 6 1  fall in title insurance revenues and a 38  decrease in ancillary services revenues  A 2 5  dip in revenues from direct operations and a 9 7  decline in agency operations in turn resulted in the reduced title insurance revenues             Employee costs decreased 10 9  year over year   As a percentage of total operating revenues  employee costs decreased 96 basis points to 31 5  in the reported quarter Pre tax earnings of Stewart Information Services surged nearly 35 2  year over year to  41 9 million due to continued benefit from cost management program Title Segment s pre tax income of  51 7 million was up 11  from  48 5 million in second quarter 2015   The company s cost control measures and an improvement in title policy loss experience drove the upside Financial UpdateCash and cash equivalents were worth  137 2 million at quarter end  down 23 3  from year end 2015 Notes payable were  127 7 million as of Jun 30  2016  up 24 7  from year end 2015 Cash from operations totaled  50 3 million  up 55 2  year over year Dividend PayoutIn the quarter  Stewart Information Services paid a dividend of  0 30 per common share Zacks RankStewart Information Services presently carries a Zacks Rank  5  Strong Sell   The stock is currently trading at  42 89  We wait to see how the stock fares in the trading session following the earnings announcement STEWART INFO SV Price  Consensus and EPS Surprise   Results of Other InsurersAmong the other players in the insurance industry that have reported their earnings so far  the bottom line at Brown   Brown Inc    NYSE BRO   and MGIC Investment Corp    NYSE MTG   beat their respective Zacks Consensus Estimate  while Progressive Corp  s   NYSE PGR   earnings missed the same ,2016-07-21,Zacks Investment Research,https://www.investing.com/analysis/stewart-information-(stc)-q2-earnings-miss-estimates-200143628,200143628
21160,242675,STC,Sangoma Drops  But Investors Should Proceed With Caution,opinion,As the market advances  it becomes more difficult to find value  Individual stocks are rising  offering investors opportunities to cash out  One stock bucking this trend is Sangoma  STC   a profitable net net which has lost one third of its value since November  Trading for  9 million  Sangoma has current assets of  13 million  including  4 5 million in cash  versus liabilities of under  2 million  At the same time  the company has earned about  600 thousand in the last 12 months  There is no shortage of information about what Sangoma is up to  Management  touting the company s latest products  awards and business  wins   It is very clear from the company s filings that the intent is to grow by adding more products to the company s portfolio  expenses have been ramped up to meet this goal  This can be a good thing  If some of the company s new products take off  the company could see sales rise without a commensurate increase in costs  as the company is already incurring increased costs associated with the new products   But at the same time  there is a risk of failure here that is more than meets the eye  You see  the company has been capitalizing  rather than expensing  a great deal of its development costs  Over the last year  these capitalized development costs have risen some  300 thousand  equal to about half of the company s reported profit over the same time period  This capitalized account now stands at some  2 3 million  which could be a write down waiting to happen  Unfortunately  write downs are nothing new to this company  Over the last two years  the company has recorded about  5 5 million in one time expenses  including accelerated amortization of patents  impairment of Goodwill  and legal fees  Of course  none of these intangibles exist as current assets  As a buyer of a net net  you may not care about such sunk costs and intangibles  But recall that as an investor you don t get to decide what happens to the cash that  is  on the balance sheet  If the past is any guide  this cash may yet be converted into another risky intangible  rather than be returned to you   Sangoma is cheap  At the same time  it remains risky because intent and past actions forebode losses in the future  As such  this one could go either way  Good luck Disclosure  No position,2013-01-19,Saj Karsan,"https://www.investing.com/analysis/sangoma-drops,-but-investors-should-proceed-with-caution-151508",151508
21161,242676,STC,Insurance Stock Q3 Earnings On Oct 20  TRV  STC  BRO  FAF,opinion,With the onset of the Q3 earnings season we have seen 6 8  of the S P 500 Index reporting financial results so far  Earnings of these 34 index members  accounting for 8 9  of the index s total market capitalization  have inched up 1 3  on 2 9  higher revenues as per the latest Zacks  report  While 79 4  of these companies delivered positive earnings surprises  64 7  managed to beat revenue estimates The Finance sector has started the Q3 earnings season on a strong note  In fact  the financial performance of the companies from this sector that have already reported their results  5 6   reflect 1 3  earnings growth and a 2 9  increase in revenues  Moreover  the beat ratios  100 0  for both earnings and revenues  compare favorably with the S P 500 The Finance sector  one of the 16 Zacks sectors  is highly diversified and includes several industries like insurance  banks  financial transaction services  to name a few  Of these  the insurance industry is poised to display an impressive performance owing to the absence of any significant catastrophe losses in Q3  Hence  we expect insurers to witness better underwriting results alongside considerable improvement in underwriting income and combined ratio Despite headwinds like the growing uncertainty regarding the Fed rate hike and persistently low interest rates  the insurance companies are cushioned by their broader invested asset base  Another positive is their well diversified product and service portfolios  which should drive premiums higher  Favorable pricing is another tailwind With as many as 244 companies due to report their quarterly results this week  including 80 S P 500 members  we expect a clearer insight into the performance of the sector  Meanwhile  let s take a look at how these four insurers might fare when they report their quarterly numbers on Oct 20 The Travelers Companies  Inc    NYSE TRV   is an industry leading property and casualty  P C  insurer that provides a wide range of commercial property liability insurance and asset management services to businesses  government organizations  and individuals in the United States and internationally  The company delivered a 3 77  positive surprise last quarter  According to our quantitative model  a company needs the right combination of two key ingredients   a positive  and a Zacks Rank  1  Strong Buy   2  Buy  or at least 3  Hold    to increase its odds of an earnings surprise  Travelers has an Earnings ESP of  5 17  as the Most Accurate estimate of  2 44 is pegged higher than the Zacks Consensus Estimate of  2 32  Moreover  the company carries a Zacks Rank  3  You can see  Travelers has likely witnessed a rise in new business written  primarily driven by Optima  the company s new strategic Personal Lines Auto product in Canada  Also  the company is likely to report robust results at its Personal Insurance business  Continued share buyback should have aided the bottom line  However  the company might have experienced a decline in investment income  Read   With respect to the earnings trend  the company delivered positive surprises in three of the last four quarters  with an average beat of 8 51  TRAVELERS COS Price and EPS Surprise    Stewart Information Services Corporation   NYSE STC   provides title insurance and real estate transaction related services worldwide  The company delivered a negative surprise of 43 02  in the last quarter  For Q3  Stewart Information Services has an Earnings ESP of 0 00  as both the Most Accurate estimate and Zacks Consensus Estimate stand at 97 cents  It currently holds a Zacks Rank  2 With respect to the surprise trend  Stewart Information Services lagged expectations in three of the last four quarters  with an average miss of 7 02  STEWART INFO SV Price and EPS Surprise    Brown   Brown Inc    NYSE BRO   and its subsidiaries provide a wide range of insurance and reinsurance products and services  The company also offers risk management  third party administration  managed health care  and Medicare set aside services and programs  Brown   Brown delivered a positive surprise of 11 36  in the last quarter  For Q3  it has an Earnings ESP of 0 00  as both the Most Accurate estimate and Zacks Consensus Estimate stand at 49 cents  It currently carries a Zacks Rank  3  Read   With respect to the surprise trend  the company delivered positive surprises in three of the last four quarters  with an average beat of 7 50  BROWN   BROWN Price and EPS Surprise    First American Financial Corporation   NYSE FAF   offers financial services through its Title Insurance and Services segment and its Specialty Insurance segment  The company delivered a positive surprise of 13 58  in the last quarter  For Q3  First American Financial has an Earnings ESP of 0 00  as both the Most Accurate estimate and Zacks Consensus Estimate stand at 86 cents  It currently carries a Zacks Rank  3 With respect to the surprise trend  First American Financial delivered positive surprises in three of the last four quarters  with an average beat of 10 73  FIRST AMER FINL Price and EPS Surprise   Confidential from ZacksBeyond this Analyst Blog  would you like to see Zacks  best recommendations that are not available to the public  Our Executive VP  Steve Reitmeister  knows when key trades are about to be triggered and which of our experts has the hottest hand ,2016-10-18,Zacks Investment Research,"https://www.investing.com/analysis/insurance-stock-q3-earnings-on-oct-20:-trv,-stc,-bro,-faf-200159576",200159576
21162,242677,STC,Arthur J  Gallagher Boosts Inorganic Growth With Buyout ,opinion,Arthur J  Gallagher   Co    NYSE AJG   has purchased McGregor   Associates to strengthen its risk management potential in the southern region of California  This move in turn will likely fortify the company s already robust inorganic growth portfolio  However  financial details of the transaction have been kept under wraps Details of the TransactionEstablished in 1993  McGregor   Associates operates as a health benefits administrator and offers services to both private and public sector clients across the Californian state  Over a considerable period of time  the acquired company has built a name for itself  cashing in on its laudable public entity expertise  The company has a diverse clientele including educational institutions  public agencies  construction organizations as well as retiree medical trusts  Post completion of the buyout  the company will continue to operate from its current office location The team at McGregor   Associates displays prowess in health benefits administration plus boasts a stellar client service delivery as well as a brilliant reputation in the public entity marketplace  These in turn  are anticipated to further solidify and extend Arthur J  Gallagher s capabilities in the public entity space Arthur J  Gallagher s prudent M A activity bears testimony to its inorganic growth strategy  The insurance broker remains optimistic about its capability to attract acquisition partners in its typical small tuck in size at fair prices Banking on such strategic endeavors  Arthur J  Gallagher s top line has been improving over a significant period of time  registering a five year CAGR  2012 2017  at 19 6  Therefore  the company s impressive growth has been mainly fueled by rising revenues as well as judicious buyouts and mergers  It has put the steam behind its acquisition activity in the retail employee benefits brokerage and wholesale brokerage areas  Arthur J  Gallagher s merger and acquisition pipeline remains strong with about  300 million of revenues Zacks Rank and Share Price MovementThe company carries a Zacks Rank  3  Hold   You can see       The insurance broker s shares have gained 8 6  year to date  outperforming the  s rise of 4   We expect top line increase  astute acquisitions and a sturdy capital position to drive the stock in the near term  Notably  the company s long term earnings growth is pegged at 11 7   better than the industry s 11 1   Other Acquisitions in the Insurance SpaceFollowing are a few noteworthy consolidations that need special mention  one being the decision taken by AXA Group on Mar 5  2018 to acquire 100  of XL Group Ltd   NYSE XL   for  15 3 billion and creating the leading global property and casualty  P C  Commercial lines insurer based on gross written premiums Another such buyout refers to Fidelity National Financial  Inc  s agreement   NYSE FNF   to integrate Stewart Information Services Corporation   NYSE STC   into its portfolio for  1 2 billion via a cash stock deal on Mar 19  2018  The transaction is expected to culminate in the first or second quarter of 2019  subject to closing conditions Can Hackers Put Money INTO Your Portfolio Earlier this year  credit bureau Equifax  NYSE EFX  announced a massive data breach affecting 2 out of every 3 Americans  The cybersecurity industry is expanding quickly in response to this and similar events  But some stocks are better investments than others Zacks has just released Cybersecurity  An Investor s Guide to help Zacks com readers make the most of the  170 billion per year investment opportunity created by hackers and other threats  It reveals 4 stocks worth looking into right away ,2018-04-01,Zacks Investment Research,https://www.investing.com/analysis/arthur-j-gallagher-boosts-inorganic-growth-with-buyout-200302408,200302408
21163,242678,STC,White Mountains To Own Bulk Stake In NSM Insurance For  388M,opinion,White Mountains Insurance Group  Ltd    NYSE WTM   has agreed to acquire a majority equity stake in NSM Insurance Group for  388 million  The transaction is expected to culminate by the second quarter of 2018  subject to closing conditions Rationale Behind the TransactionNSM Insurance Group  a leading specialty insurance program administrator  placing in excess of  500 million in premiums  The company covers a wide range of specialty insurance sectors such as collector cars  non profit organizations  sports   wellness centers  specialty real estate and pet insurance  By virtue of its expertise  the company acts as an intermediary in the specialty insurance market Addition of NSM Insurance Group to its portfolio will thus help White Mountains add capabilities to the same as well as enhance the company s operations Moreover  NSM Insurance Group will leverage the acquirer  strengths with long term capital base to better serve the latter s insurance carrier partners Notably  White Mountains intends to fund the acquisition through a combination of cash in hand and new debt issued by NSM Insurance Group The P C insurer has been effecting strategic buyouts to fortify its business  Last October  the company announced to buy 50  equity stake in DavidShield to emerge as a global leader in the accident and health market Shares of White Mountains have underperformed the  in a year  The Zacks Rank  5  Strong Sell  stock has lost 6 8  versus the industry s 17 3  rally   You can see  Insurers Following SuitAdhering to the organic path  operational profile enhancement seems a sagacious strategy adopted by insurers as acquisitions make waves in the insurance sphere  While in March  AXA Group inked a deal to buy XL Group Ltd   NYSE XL   for  15 3 billion in cash  Fidelity National Financial  Inc    NYSE FNF   agreed to purchase Stewart Information Services Corporation   NYSE STC   for a  1 2 billion cash stock deal The Hottest Tech Mega Trend of AllLast year  it generated  8 billion in global revenues  By 2020  it s predicted to blast through the roof to  47 billion  Famed investor Mark Cuban says it will produce  the world s first trillionaires   but that should still leave plenty of money for regular investors who make the right trades early ,2018-04-02,Zacks Investment Research,https://www.investing.com/analysis/white-mountains-to-own-bulk-stake-in-nsm-insurance-for-388m-200302672,200302672
21164,242679,STC,Arthur J  Gallagher s Buyout Adds Capabilities To Portfolio,opinion,Arthur J  Gallagher   Co    NYSE AJG   has purchased Integrity Transportation Insurance Agency  LLC to solidify its foothold in the South Central region of the United States with regard to transportation business  However  financial details of the transaction have been kept under wraps Details of the TransactionHouston  TX based Integrity Transportation operates as a retail property casualty broker  catering to Texas based transportation clients  mainly long haul truckers  The company s coverage includes auto liability  cargo and general liability to name a few  Historically  the acquired entity has built a reputation for itself by providing highly innovative solutions to its clients  which have increased their business efficiency level  Post completion of the buyout  the company will continue to operate from its current office location The team at Integrity Transportation displays prowess in the transportation industry plus boasts a stellar client service delivery as well as a brilliant goodwill in the similar industry  The buyout will help Arthur J  Gallagher expand the transportation business and simultaneously  offer other ways to extend reverse flow options coming in from Mexico The latest buyout will allow the insurance broker improve the risk management solutions  currently offered to the transportation industry  Arthur J  Gallagher s solid expertise in this space will further get a boost  aiding the insurance broker to serve its clients more efficiently and effectively It is important to mention here that Arthur J  Gallagher s prudent M A activity bears testimony to its inorganic growth strategy  The insurance broker remains optimistic about its capability to attract acquisition partners in its typical small tuck in size at fair prices Banking on such strategic endeavors  Arthur J  Gallagher s top line has been improving over a significant period of time  witnessing a five year CAGR  2012 2017  at 19 6  The company s bottom line has nearly doubled over the last seven years  fueled by rising revenues as well as judicious buyouts and mergers  It has put the steam behind its acquisition activity in the retail employee benefits brokerage and wholesale brokerage areas  Arthur J  Gallagher s merger and acquisition pipeline remains strong with about  300 million of revenues Zacks Rank and Share Price MovementThe company carries a Zacks Rank  3  Hold   You can see       The insurance broker s shares have gained 6 5  year to date  outperforming the  s rise of 1 6   We expect top line increase  astute acquisitions and a sturdy capital position to drive the stock in the near term Notably  the company s long term earnings growth is pegged at 11 7   better than the industry s 11 4  Other Acquisitions in the Insurance SpaceFollowing are a few noteworthy consolidations deserving special mention  one is AXA Group s decision taken on Mar 5  2018 to acquire 100  of XL Group Ltd   NYSE XL   for  15 3 billion and creating a leading global property and casualty  P C  Commercial lines insurer based on gross written premiums Another such buyout refers to Fidelity National Financial  Inc  s agreement   NYSE FNF   on Mar 19  2018 to integrate Stewart Information Services Corporation   NYSE STC   into its portfolio for a  1 2  billion cash stock deal  This transaction is expected to culminate in the first or second quarter of 2019  subject to closing conditions Looking for Stocks with Skyrocketing Upside Zacks has just released a Special Report on the booming investment opportunities of legal marijuana Ignited by new referendums and legislation  this industry is expected to blast from an already robust  6 7 billion to  20 2 billion in 2021  Early investors stand to make a killing  but you have to be ready to act and know just where to look ,2018-04-09,Zacks Investment Research,https://www.investing.com/analysis/arthur-j-gallaghers-buyout-adds-capabilities-to-portfolio-200304409,200304409
21165,242680,STC,Stewart Information   Fidelity National s Merger Falls Apart,opinion,Stewart Information Services Corporation   NYSE STC   and Fidelity National Financial s   NYSE FNF   proposed merger falls apart  as the necessary approval by the U S  Federal Trade Commission was not received  Markedly  Fidelity National agreed to acquire Stewart Information in a  1 2 billion cash stock deal in March 2018 As agreed upon  Fidelity National will pay a reverse break up fee of  50 million to Stewart Information  as the acquisition failed to materialize  In 2017  Stewart Information announced to review strategic alternatives and agreed to be acquired by Fidelity National While shares of Stewart Information gained 2 2  yesterday  that of Fidelity National lost 1 6  Notably  Stewart Information   a global real estate services company   has carved a niche for itself in the title insurance industry and announced that it will focus on growth of the company on a standalone basis  leveraging its strong brand and financial position  To that end  the company has announced several leadership changes  present director Frederick Eppinger will become Chief Executive Officer  Chief Executive Officer Matthew Morris will step into the position of President and President John Killea will take up the role of General Counsel and Chief Legal Officer  effective immediately Stewart Information has been witnessing declining revenues over the past three years  The company expects such strategic changes to boost top line growth and pre tax margin improvement  enable it to capitalize on growth opportunities and create value for its shareholders going forward Shares of Stewart Information have lost 16 6  year to date against the  s 5 5  growth  Nevertheless  a stable real estate market  favorable buyer demographics and interest rate cuts should help the stock to bounce back  Both Stewart Information Services and Fidelity National carry a Zacks Rank  3  Hold  Stocks to ConsiderSome better ranked stocks from the property and casualty insurance industry are Hallmark Financial Services   NASDAQ HALL   and Alleghany   NYSE Y    each sporting Zacks Rank  1  Strong Buy   You can see  Hallmark Financial underwrites  markets  distributes  and services property casualty insurance products to businesses and individuals in the United States The company delivered positive surprise of 20 00  in the last reported quarter   Alleghany provides property and casualty reinsurance and insurance products in the United States and internationally  The company delivered positive surprise of 30 80  in the last reported quarter   Looking for Stocks with Skyrocketing Upside Zacks has just released a Special Report on the booming investment opportunities of legal marijuana Ignited by new referendums and legislation  this industry is expected to blast from an already robust  6 7 billion to  20 2 billion in 2021  Early investors stand to make a killing  but you have to be ready to act and know just where to look ,2019-09-10,Zacks Investment Research,https://www.investing.com/analysis/stewart-information--fidelity-nationals-merger-falls-apart-200463774,200463774
