,id,ticker,title,category,content,date,provider,url,article_id
187177,408693,TECK,Canada stocks lower at close of trade  S P TSX Composite down 0 18 ,news,"Investing com   Canada stocks were lower after the close on Friday  as losses in the Materials  Consumer Discretionary and Energy sectors led shares lower 
At the close in Toronto  the S P TSX Composite declined 0 18  
The best performers of the session on the S P TSX Composite were  Aphria Inc   TO APHA   which rose 9 67  or 1 110 points to trade at 12 590 at the close  Meanwhile  Eldorado Gold Corp  TO ELD  added 6 10  or 0 30 points to end at 5 22 and Cronos Group Inc  TO CRON  was up 6 06  or 1 5600 points to 27 3100 in late trade 
The worst performers of the session were  Celestica  Inc   TO CLS   which fell 18 99  or 2 48 points to trade at 10 58 at the close   Imperial Oil Ltd   TO IMO  declined 4 67  or 1 74 points to end at 35 54 and  Teck Resources Ltd  B  TO TECKb  was down 3 78  or 1 21 points to 30 79 
Rising stocks outnumbered declining ones on the Toronto Stock Exchange by 611 to 477 and 134 ended unchanged 
Shares in Celestica Inc   TO CLS  fell to 3 years lows  losing 18 99  or 2 48 to 10 58  Shares in Cronos Group Inc  TO CRON  rose to all time highs  gaining 6 06  or 1 5600 to 27 3100  
The S P TSX 60 VIX  which measures the implied volatility of S P TSX Composite options  was down 2 38  to 15 97 a new 1 month low 
Gold Futures for April delivery was down 0 20  or 2 65 to  1322 55 a troy ounce  Elsewhere in commodities trading  Crude oil for delivery in March rose 2 92  or 1 57 to hit  55 36 a barrel  while the April Brent oil contract rose 3 34  or 2 03 to trade at  62 87 a barrel 
CAD USD was up 0 26  to 0 7640  while CAD EUR rose 0 16  to 0 6666 
The US Dollar Index Futures was down 0 00  at 95 300 ",2019-02-01,Investing.com,https://www.investing.com/news/stock-market-news/canada-stocks-lower-at-close-of-trade-sptsx-composite-down-018-1767137,1767137
187179,408695,TECK,Canada stocks lower at close of trade  S P TSX Composite down 0 08 ,news,"Investing com   Canada stocks were lower after the close on Wednesday  as losses in the IT  Materials and Consumer Staples sectors led shares lower 
At the close in Toronto  the S P TSX Composite lost 0 08  
The best performers of the session on the S P TSX Composite were  TORC Oil   Gas  Ltd   TO TOG   which rose 7 54  or 0 31 points to trade at 4 42 at the close  Meanwhile   Crescent Point Energy Corp    TO CPG  added 6 09  or 0 21 points to end at 3 66 and  Cenovus Energy  Inc  TO CVE  was up 5 85  or 0 61 points to 11 04 in late trade 
The worst performers of the session were  Computer Modelling Group Ltd    TO CMG   which fell 6 14  or 0 45 points to trade at 6 88 at the close   Teck Resources Ltd  B  TO TECKb  declined 5 41  or 1 63 points to end at 28 52 and  New Gold Inc   TO NGD  was down 4 68  or 0 080 points to 1 630 
Falling stocks outnumbered advancing ones on the Toronto Stock Exchange by 626 to 454 and 128 ended unchanged 
The S P TSX 60 VIX  which measures the implied volatility of S P TSX Composite options  was down 1 94  to 15 71 
Gold Futures for April delivery was down 0 43  or 5 65 to  1308 35 a troy ounce  Elsewhere in commodities trading  Crude oil for delivery in March rose 1 73  or 0 92 to hit  54 02 a barrel  while the April Brent oil contract rose 2 05  or 1 28 to trade at  63 70 a barrel 
CAD USD was down 0 09  to 0 7546  while CAD EUR rose 0 41  to 0 6696 
The US Dollar Index Futures was up 0 49  at 96 975 ",2019-02-13,Investing.com,https://www.investing.com/news/stock-market-news/canada-stocks-lower-at-close-of-trade-sptsx-composite-down-008-1778864,1778864
187180,408696,TECK,Will Higher Volumes Aid Cleveland Cliffs   CLF  Q4 Earnings ,opinion,Cleveland Cliffs Inc    NYSE CLF   is scheduled to release fourth quarter 2018 results on Feb 8  before the opening bell In the last reported quarter  the company delivered a negative earnings surprise of 3  by posting adjusted earnings of 64 cents per share that missed the Zacks Consensus Estimate of 66 cents Consolidated revenues rose roughly 24 3  year over year to  741 8 million in the third quarter  beating the Zacks Consensus Estimate of  722 5 million Notably  Cleveland Cliffs beat the Zacks Consensus Estimate for earnings in three of the trailing four quarters  with average positive surprise of 42  The stock has surged 54 9  in the past year  against the  s 4 4  decline Will the company surprise investors this time or is it heading for a possible pullback again  Let s see how things are shaping up for this announcement Earnings WhispersOur proven model shows that Cleveland Cliffs is likely to beat estimates in the fourth quarter  That is because a stock needs to have a positive  and a Zacks Rank  1  Strong Buy   2  Buy  or 3  Hold  for this to happen  This is the case here as you will see below Earnings ESP  Earnings ESP for Cleveland Cliffs is  1 84   This is because the Most Accurate Estimate and the Zacks Consensus Estimate are currently pegged at 58 cents and 57 cents  respectively  You can uncover the best stocks to buy or sell before they re reported with our  Zacks Rank  Cleveland Cliffs currently carries a Zacks Rank  3  which when combined with a positive ESP  make us reasonably confident of an earnings beat  You can see Note that we caution against Sell rated stocks   4 or 5  going into the earnings announcement  especially when the company is seeing negative estimate revisions Factors at Play in Q4In October 2018  Cleveland Cliffs stated that it expects to realize U S  Iron Ore revenue rates in the range of  105 to  110 per long ton  The projections assume that steel prices  pellet premiums and iron ore prices will be at their respective year to date averages for the rest of 2018 For 2018  Cleveland Cliffs maintained U S  Iron Ore sales and production volume expectations to 21 million long tons and 20 million tons  respectively  Cash cost of goods sold and operating expense expectation are unchanged at  58  63 per long ton The company has also provided an update on 2018 capital expenditure budget  The capital spending expectation for the Toledo HBI Project has been reduced by  25 million to  175 million due to further development and refined timing of the project spending plan   The Zacks Consensus Estimate for consolidated revenues for Cleveland Cliffs for the fourth quarter is currently pegged at  714 million  reflecting an expected increase of around 18 8  year over year and a 3 8  decline sequentially U S  Iron Ore sales volumes are projected to increase 21  year over year as the Zacks Consensus Estimate for the fourth quarter is currently pegged at 6 52 million long tons  The company is witnessing higher demand for pellets  Notably  sales volume jumped roughly 10  year over year in the last reported quarter mainly driven by increased customer demand Realized revenues per ton for the fourth quarter is projected to increase 22 9  year over year  as the Zacks Consensus Estimate is currently pegged at  102  In the last reported quarter  revenues per ton improved 17  year over year  The upside was primarily driven by higher steel pricing and pellet premiums  resulting from favorable contract structures  However  the increase was partly offset by higher freight rates Moreover  the company s results are likely to gain from debt reduction actions  It expects net debt to be below  1 billion by the end of 2018  Efforts to lower debt will reduce the company s annualized interest expenses   Cleveland Cliffs Inc  Price and EPS Surprise    Other Stocks Poised to Beat EstimatesHere are some other companies in the same space you may want to consider as our model shows that they also have the right combination of elements to post an earnings beat this quarter New Gold Inc   NYSE NGD   has an Earnings ESP of  166 67  and carries a Zacks Rank  2 Franco Nevada Corporation   TO FNV   has an Earnings ESP of  3 05  and carries a Zacks Rank  3 Teck Resources Ltd   NYSE TECK   has an Earnings ESP of  4 82  and carries a Zacks Rank  3 Will You Make a Fortune on the Shift to Electric Cars Here s another stock idea to consider  Much like petroleum 150 years ago  lithium power may soon shake the world  creating millionaires and reshaping geo politics  Soon electric vehicles  EVs  may be cheaper than gas guzzlers  Some are already reaching 265 miles on a single charge With battery prices plummeting and charging stations set to multiply  one company stands out as the  1 stock to buy according to Zacks research It s not the one you think ,2019-02-05,Zacks Investment Research,https://www.investing.com/analysis/will-higher-volumes-aid-clevelandcliffs-clf-q4-earnings-200384307,200384307
187182,408698,TECK,Canada stocks higher at close of trade  S P TSX Composite up 0 59 ,news,"Investing com   Canada stocks were higher after the close on Wednesday  as gains in the Materials  Financials and Industrials sectors led shares higher 
At the close in Toronto  the S P TSX Composite rose 0 59  to hit a new 3 months high 
The best performers of the session on the S P TSX Composite were  Semafo Inc    TO SMF   which rose 6 85  or 0 23 points to trade at 3 59 at the close  Meanwhile   Teck Resources Ltd  B  TO TECKb  added 4 96  or 1 44 points to end at 30 50 and  Aphria Inc   TO APHA  was up 4 93  or 0 630 points to 13 400 in late trade 
The worst performers of the session were  Uni Select Inc    TO UNS   which fell 22 68  or 4 37 points to trade at 14 90 at the close   Fortuna Silver Mines  Inc  TO FVI  declined 7 90  or 0 43 points to end at 5 01 and  Aritzia Inc   TO ATZ  was down 7 86  or 1 41 points to 16 52 
Rising stocks outnumbered declining ones on the Toronto Stock Exchange by 716 to 389 and 110 ended unchanged 
Shares in Uni Select Inc   TO UNS  fell to 3 years lows  down 22 68  or 4 37 to 14 90  
The S P TSX 60 VIX  which measures the implied volatility of S P TSX Composite options  was down 6 03  to 13 25 a new 3 months low 
Gold Futures for April delivery was down 0 26  or 3 55 to  1341 25 a troy ounce  Elsewhere in commodities trading  Crude oil for delivery in April rose 1 42  or 0 80 to hit  57 25 a barrel  while the April Brent oil contract rose 0 06  or 0 04 to trade at  67 16 a barrel 
CAD USD was up 0 04  to 0 7591  while CAD EUR unchanged 0 00  to 0 6692 
The US Dollar Index Futures was up 0 05  at 96 395 ",2019-02-20,Investing.com,https://www.investing.com/news/stock-market-news/canada-stocks-higher-at-close-of-trade-sptsx-composite-up-059-1785481,1785481
187183,408699,TECK,4 Mining Stocks Poised To Outshine Q4 Earnings Estimates,opinion,"The mining industry is housed within the broader Zacks  sector  Earnings growth for the Basic Materials sector in Q3 was second only to the energy sector  Overall earnings for the sector climbed 42  while revenues spiked 16 5  However  the earnings picture for Q4 looks lackluster  The Basic Materials sector is expected to lose momentum in Q4 as earnings for the sector are projected to decline 1 4  on 2 2  higher revenues  per the latest   In fact  the sector is among the four Zacks sectors that are expected to see lower year over year earnings in Q4 The mining industry had a turbulent 2018  weighed down by a slump in metals prices  Metal prices remained subdued last year due to the trade tussle between the United States and China  Further  concerns over a possible slowdown in China  the biggest metal consumer  also weighed on prices Gold and silver prices dropped in 2018 primarily owing to global trade tensions and a stronger dollar  The trade friction between the United States and China compelled investors to dump emerging market currencies and seek safe haven in dollar  Upbeat U S  economic data also caused the greenback to rally  Notably  a stronger dollar makes dollar priced gold costlier for non U S  investors  Another factor that worked against the precious metals last year is the U S  Federal Reserve s interest rate hikes  Higher U S  rates normally weigh on gold and silver Nevertheless  prices of precious metals have gained some lost ground of late  In particular  gold prices have broken above the psychologically important  1 300 an ounce threshold  Prices have found support from the Federal Reserve s dovish turn  geopolitical worries and global growth concerns  The Fed left interest rates unchanged at its recently concluded meeting and pledged to adopt a measured approach to further rate hikes considering the prevailing economic situation Meanwhile  the gold mining industry is currently witnessing a consolidation wave  The big players in this space are taking the consolidation route to boost their production as well as growth profile amid weakness in prices and depleting gold reserves  The recently completed merger of Barrick Gold Corporation   NYSE GOLD   and Randgold Resources  LON RRS   and the proposed  10 billion mega merger between Newmont Mining Corporation   NYSE NEM   and Goldcorp Inc    NYSE GG   bear huge testimony to these strategic moves The gold mining industry is facing serious supply problems  Gold production is likely to drop eventually  as new discoveries remain scarce  existing resources are dwindling and grades are declining  These factors will likely compel more miners to resort to adding reserves through acquisitions than digging for new ones which are inherently risky and capital intensive  With risks of dwindling supply looming large on the gold mining industry  there is a likelihood of more mergers and acquisitions in the space Copper also had a rough 2018 with prices of the red metal falling around 20  for the year  also down by double digits in Q4   Prices of this major industrial metal slumped to their lowest level in more than a year in December amid concerns over demand for the metal due to U S  China trade tensions and a weakening Chinese economy  Tepid economic data from China   the world s biggest consumer of copper   has raised concerns of potential weaker demand for the commodity  However  copper prices got a boost recently from the Federal Reserve s dovish shift Amid a challenging environment  miners remain focused to whittle down operational costs and capital spending  improve operating efficiency within existing mines  pay down debt  eliminate non core assets and concentrate on their highest ore grade assets  Some of these companies have also taken steps to bring down their all in sustaining costs   the most important cost metric of miners  These actions are expected to support their margins in Q4  However  lower metal prices and weak productions will likely be a drag for miners How to Pick the Winners Given the large number of players operating in the mining space  picking the right stocks is apparently not an easy task  But our proprietary methodology makes it fairly simple  One can trim down the list with the combination of a favorable Zacks Rank   Zacks Rank  1  Strong Buy   2  Buy  or 3  Hold    and a positive Zacks   You can uncover the best stocks to buy or sell before they report with our  Earnings ESP   the percentage difference between the Most Accurate Estimate and the Zacks Consensus Estimate   is our proprietary methodology for determining stocks that have high chances of delivering earnings surprises in their next announcements  Our research shows that for stocks with this combination  the chance of a positive earnings surprise is as much as 70  Our Choices Below we list four mining stocks that have the right combination of elements to pull off positive surprises this earnings season New Gold Inc    NYSE NGD   is an intermediate gold mining company with assets in Canada and Mexico  It is scheduled to release Q4 results on Feb 14  The stock has an Earnings ESP of  166 7  and carries a Zacks Rank  2  The company delivered a positive earnings surprise of 66 7  in the last reported quarter  You can see  New Gold Inc  Price and EPS Surprise
    Osisko Gold Royalties Ltd   TO OR   is a mining company  which is engaged in exploration and mining for gold and other precious metals  The company is scheduled to release Q4 results on Feb 20  The stock has an Earnings ESP of  60  and a Zacks Rank  3  The company delivered a positive earnings surprise of 200  in the last reported quarter Osisko Gold Royalties Ltd Price and EPS Surprise
    Hudbay Minerals Inc    TO HBM   is a mining company and engages in the discovery  production and marketing of base and precious metals in North and Central America  It is slated to release Q4 results on Feb 19  This Zacks Rank  3 stock has an Earnings ESP of  100   The company delivered a positive earnings surprise of 350  in the last reported quarter HudBay Minerals Inc Price and EPS Surprise
    Teck Resources Limited   NYSE TECK   is a diversified resource company committed to responsible mining and mineral development with major business units focused on copper  steelmaking coal  zinc and energy  The company is scheduled to report Q4 results on Feb 13  The stock has an Earnings ESP of  4 81  and carries a Zacks Rank  3  The Zacks Consensus Estimate for Q4 earnings has been revised 3 7  upward over the last 60 days Teck Resources Ltd Price and EPS Surprise
    Will You Make a Fortune on the Shift to Electric Cars                                                                                                                                Here s another stock idea to consider  Much like petroleum 150 years ago  lithium power may soon shake the world  creating millionaires and reshaping geo politics  Soon electric vehicles  EVs  may be cheaper than gas guzzlers  Some are already reaching 265 miles on a single charge With battery prices plummeting and charging stations set to multiply  one company stands out as the  1 stock to buy according to Zacks research It s not the one you think ",2019-02-06,Zacks Investment Research,https://www.investing.com/analysis/4-mining-stocks-poised-to-outshine-q4-earnings-estimates-200384221,200384221
187184,408700,TECK,Workers at Teck Resources  Chile mine to go on strike,news," Reuters    Canadian miner  Teck Resources Ltd   TO TECKb  said on Sunday that a union representing 473 workers at its Chile mine will start a strike on Oct  14 
The strike at Teck Carmen de Andacollo Operations  CdA  in Chile from the Teck Carmen de Andacollo Workers Union will lead to operations at the mine being suspended 
The mine  located in central Chile about 350 kilometers north of Santiago  produced about 15 000 tonnes of copper in the quarter ended June 30 
Teck owns a 90  interest in the mine  according to its website
The company and the union could not arrive at an agreement at the end of a five day mediation process  which concluded on Oct  11  the Canadian miner said in a statement ",2019-10-13,Reuters,https://www.investing.com/news/stock-market-news/workers-at-teck-resources-chile-mine-to-go-on-strike-1995656,1995656
187185,408701,TECK,Teck Resources  TECK  Looks Good  Stock Adds 5 1  In Session,opinion,Teck Resources Limited   NYSE TECK   was a big mover last session  as the company saw its shares rise more than 5  on the day  The move came on solid volume too with far more shares changing hands than in a normal session  This stock  which remained volatile and traded within the range of  21 53  24 36 in the past one month time frame  witnessed a sharp increase yesterday The company has seen two negative estimate revisions in the past few weeks  while its Zacks Consensus Estimate for the current quarter has also moved lower over the past few weeks  suggesting there may be trouble down the road  So make sure to keep an eye on this stock going forward  to see if this recent move higher can last Teck Resources currently has a Zacks Rank  3  Hold  while its  is negative Teck Resources Ltd Price   Investors interested in the Mining   Miscellaneous industry may consider a better ranked stock like Materion Corporation   NYSE MTRN    which carries a Zacks Rank  1  Strong Buy   You can see   Is TECK going up  Or down  Predict to see what others think Up or DownToday s Best Stocks from ZacksWould you like to see the updated picks from our best market beating strategies  From 2017 through 2018  while the S P 500 gained  15 8   five of our screens returned  38 0    61 3    61 6    68 1   and  98 3  This outperformance has not just been a recent phenomenon  From 2000   2018  while the S P averaged  4 8  per year  our top strategies averaged up to  56 2  per year ,2019-02-20,Zacks Investment Research,https://www.investing.com/analysis/teck-resources-teck-looks-good-stock-adds-51-in-session-200390778,200390778
187186,408702,TECK,Low TECK Stock Pick,opinion,"I wanted to highlight one of my shorts in particular on this quiet morning  Tech Resources  NYSE TECK   As you can see  the long term chart illustrates two prior massive tops  both of which were followed by a hearty plunge  The most recent reversal  which is not tinted  has good prospects as well for falling more  even though it has already lost quite a bit of value from its peak 





A closer look at the recent action shows the well formed symmetric price triangle as well as the recent price gap  I ve tightened up my stop to 17 35 on this one  with an eye toward much lower prices ",2019-09-23,Tim Knight,https://www.investing.com/analysis/low-teck-stock-pick-200467177,200467177
187189,408705,TECK,Teck Resources  TECK  Looks Good  Stock Adds 5 7  In Session,opinion,Teck Resources Limited   NYSE TECK   was a big mover last session  as the company saw its shares rise nearly 6  on the day  The move came on solid volume too with far more shares changing hands than in a normal session  This reverses the recent trend for the company as the stock is now down 12 3  in the past one month time frame The company has seen eight negative estimate revisions in the past few weeks  while its Zacks Consensus Estimate for the current quarter has also moved lower over the past few weeks  suggesting there may be trouble down the road  So make sure to keep an eye on this stock going forward  to see if this recent move higher can last Teck Resources currently has a Zacks Rank  3  Hold  while its  is negative   Teck Resources Ltd Price   Investors interested in the Mining   Miscellaneous industry may consider Silvercorp Metals Inc    TSX SVM    which has a Zacks Rank  1  Strong Buy   You can seeIs TECK going up  Or down  Predict to see what others think Up or DownBreakout Biotech Stocks with Triple Digit Profit PotentialThe biotech sector is projected to surge beyond  775 billion by 2024 as scientists develop treatments for thousands of diseases  They re also finding ways to edit the human genome to literally erase our vulnerability to these diseases  Zacks has just released Century of Biology  7 Biotech Stocks to Buy Right Now to help investors profit from 7 stocks poised for outperformance  Our recent biotech recommendations have produced gains of  98    119  and  164  in as little as 1 month  The stocks in this report could perform even better ,2019-10-13,Zacks Investment Research,https://www.investing.com/analysis/teck-resources-teck-looks-good-stock-adds-57-in-session-200473164,200473164
187199,408715,TECK,Canada stocks higher at close of trade  S P TSX Composite up 0 23 ,news,"Investing com   Canada stocks were higher after the close on Friday  as gains in the Clean Technology  Consumer Staples and Industrials sectors led shares higher 
At the close in Toronto  the S P TSX Composite gained 0 23  
The best performers of the session on the S P TSX Composite were  Ivanhoe Mines Ltd    TO IVN   which rose 6 04  or 0 180 points to trade at 3 160 at the close  Meanwhile   Dorel Industries Inc   TO DIIb  added 5 70  or 1 74 points to end at 32 28 and  Pretium Resources  Inc   TO PVG  was up 5 44  or 0 46 points to 8 91 in late trade 
The worst performers of the session were  Teck Resources Ltd  B  TO TECKb   which fell 7 11  or 2 59 points to trade at 33 83 at the close   Yamana Gold Inc   TO YRI  declined 5 60  or 0 20 points to end at 3 37 and Westshore Terminals Investment Corp  TO WTE  was down 4 24  or 0 92 points to 20 79 
Rising stocks outnumbered declining ones on the Toronto Stock Exchange by 687 to 414 and 145 ended unchanged 
The S P TSX 60 VIX  which measures the implied volatility of S P TSX Composite options  was down 1 91  to 14 38 a new 1 month low 
Gold Futures for April delivery was up 0 16  or 2 10 to  1323 80 a troy ounce  Elsewhere in commodities trading  Crude oil for delivery in April rose 3 28  or 1 97 to hit  62 09 a barrel  while the May Brent oil contract rose 3 08  or 1 96 to trade at  65 57 a barrel 
CAD USD was up 0 67  to 0 7806  while CAD EUR rose 0 64  to 0 6338 
The US Dollar Index Futures was down 0 01  at 90 10 ",2018-03-09,Investing.com,https://www.investing.com/news/stock-market-news/canada-stocks-higher-at-close-of-trade-sptsx-composite-up-023-1334992,1334992
