,id,ticker,title,category,content,date,provider,url,article_id
114018,335533,THC,Hospitals shut at a rate of 30 annually,news,U S  hospitals have been closing at a rate of about 30 a year  according to the American Hospital Association  and patients living far from major cities may be left with even fewer hospital choices as insurers push them toward online providers like Teladoc  NYSE TDOC  and clinics such as CVS s MinuteClinic  NYSE CVS  The next year to 18 months could further see an increase in shutdowns  with the risks coming following years of mergers and acquisitions Related tickers  CYH  THC  LPNT  UHS  QHC  SEM  HUM  HCA  EVHC  LPNT  KND  SSYNow read ,2018-08-22,Seeking Alpha,https://www.investing.com/news/stock-market-news/hospitals-shut-at-a-rate-of-30-annually-1582608,1582608
114019,335534,THC,Movers after hours  Mosaic  Etsy  Range Resources  Tenet Health  Hertz,news,"Investing com   Stocks on the move after Monday s trading include 
Mosaic  NYSE MOS   up 3 8  in after hours trading  The fertilizer company reported 77 cents in fourth quarter earnings  beating estimates compiled by Investing com by 20 cents  Revenue of  2 5 billion beat the estimate of  2 37 billion 
Shares of craft marketplace site Etsy  NASDAQ ETSY  jumped 6 5  after hours after fourth quarter earnings  and sales beat estimated compiled by Investing com  Etsy earned 32 cents a share  compared with the estimate of 20 cents  Revenue grew 46 8  to  200 million  compared with an estimate of  194 9 million 
Natural gas producer Range Resources  NYSE RRC  shares rose 4  after hours  The company reported fourth quarter adjusted earnings of 31 cents a share  down from 22 cents a year ago  However  the estimate of analysts polled by Investing com was 14 cents 
Shares of hospital operator  Tenet Healthcare   NYSE THC  shot up more than 11  after hours  The company reported fourth quarter earnings of 51 cents a share  down from  1 40 a year ago  But the estimate of analysts compiled by Investing com was 28 cents  Revenue of  4 6 billion beat the estimate of  4 51 billion but was down 7 6  from a year ago 
Shares of car rental company Hertz Hertz Global Holdings  NYSE HTZ  rose 15  after hours after reporting an adjusted fourth quarter loss  of 55 cents a share  compared with the Investing com estimate of a loss of 94 cents  Revenue grew 10  to  2 3 billion from  2 09 billion  The Investing com estimate was  2 15 billion ",2019-02-25,Investing.com,https://www.investing.com/news/stock-market-news/movers-after-hours-mosaic-etsy-range-resources-tenet-health-hertz-1790057,1790057
114020,335535,THC,Hedge Fund Glenview Used  Medicare for All  Rout to Build Up Health Stakes,news," Bloomberg     U S  health care investor Glenview Capital Management LLC boosted its positions in health insurers and hospitals as the sectors came under pressure from political headlines in the first few months of the year 
Glenview Capital added to its holdings of  Cigna Corp   NYSE CI   Anthem  NYSE ANTM  Inc  and  Humana Inc   NYSE HUM    while taking new stakes in  Centene   NYSE CNC  Corp  and Wellcare Health Plans Inc   which announced plans to merge at the end of March  Among hospitals  the New York based hedge fund bought more shares of  Tenet Healthcare  Corp  NYSE THC   and  Universal Health Services  Inc  NYSE UHS    its latest 13 F filings show  Glenview remains Tenet s largest shareholder 
Managed care and hospital shares have been roiled by Washington policy debates centered on offering  Medicare for All   Stocks began to slide in late February and fell to their lowest level since late 2017 at one point in April  While they ve recovered over the past month  the S P 500 Managed Care Index remains down for the year  while a Bloomberg Intelligence hospitals benchmark is up 2 6   significantly underperforming the broader market 
In a Bloomberg interview last week  Glenview founder Larry Robbins said investors were wrong to be fearful of Democrats  single payer proposals as they have little chance of becoming reality  He also repeated his bullish call on managed care and hospitals while cautioning against pharmaceutical stocks that may come under pressure due to drug pricing risks 
The hedge fund managed about  7 7 billion as of March 1  down from  10 billion in June of last year ",2019-05-16,Bloomberg,https://www.investing.com/news/stock-market-news/hedge-fund-glenview-used-medicareforall-rout-to-build-up-health-stakes-1870667,1870667
114023,335538,THC,HCA Q4 beat buoys hospital chains,news,"Hospital operators are in the green after HCA reported better than expected Q4 results 
Selected tickers  Universal Health Services  UHS  1 3    Surgery Partners  SGRY  0 7    Select Medical Holdings  SEM  2 8    Tenet Healthcare  THC  4 8    Community Health Systems  CYH  3 4    Humana  HUM  2  ",2020-01-28,Seeking Alpha,https://invst.ly/pnzsi,2069609
114024,335539,THC,Researchers Discover Cannabis Compound That May Be 30 Times More Potent Than THC,news,"New research out of Italy suggests there could be a much more potent cannabis compound than tetrahydrocannabinol  THC   Scientists have found a new psychoactive substance in the plant called tetrahydrocannabiphorol  THCP   which they believe could be more than 30 times stronger  Researchers measured the impact of THCP in a lab and found that like THC  the compounded attached to cannabinoid receptors in the body but bonded to them 33 times more strongly  indicating it s possible for THCP to disrupt mental and physical functions even more than THC  
Dr  Cinzia Citti  who is the study s lead author  believes this helps explain why some strains behave differently than one would expect based solely on their THC levels  Citti said   In cannabis varieties where THC is present in very low concentrations  then we can think that the presence of another  more active cannabinoid can explain those effects  
While this discovery of THCP suggests the potential for creating marijuana products that give users a more intense high  the researchers are also optimistic about the possibility of uncovering health benefits related to THCP 

Research a key focus for marijuana companies
There s a big need for more cannabis research to be done  and industry leaders Canopy Growth  NYSE CGC  and Aurora Cannabis  NYSE ACB  have played significant roles in trying to learn more about the potential benefits of using cannabis 
Last year  Aurora partnered with the UFC  Ultimate Fighting Championship     the two plan to jointly study and develop hemp derived cannabidiol  CBD  products that could help treat athletes with injuries  Canopy Growth  meanwhile  has partnered with ex athletes from the National Hockey League to determine if cannabis be useful in helping to treat post concussion diseases  including post traumatic stress disorder and depression 
Over the past 12 months  those two marijuana companies alone have spent more than 50 million Canadian dollars combined on research and development ",2020-02-03,The Motley Fool,https://invst.ly/pqktc,2074858
114032,335547,THC,Community Health Lags Industry YTD  Will It Reverse In 2020 ,opinion,Community Health Systems  Inc    NYSE CYH   is poised for growth in 2020 on the back of declining expenses and hospital divestitures Year to date  this Zacks Rank  3  Hold  stock has dipped 0 7  versus its  s growth of 21 7   This share price depreciation looks grave in the light of other players  performances  such as Tenet Healthcare Corporation   NYSE THC    HCA Healthcare  Inc    NYSE HCA   and Universal Health Services  Inc    NYSE UHS    which have surged 127   19 1  and 22 6   respectively  over the same time frame Its earnings managed to surpass the Zacks Consensus Estimate in three of the trailing four quarters  the average beat being 16  Reasons for Its UnderperformanceThe company suffered volatility substantially due to high debt level  Moreover  its cash flow from operations has been declining over the past few years  In the first nine months of 2019  the metric tumbled 57  year over year Community Health s revenues started falling since 2016 on lower admissions caused by a decreasing number of hospitals  In the first nine months of 2019  the company s revenues were down 7 3  year over year  mainly due to weak admissions  However  the company is taking initiatives to improve its admissions Following third quarter results  the company revised its outlook for 2019  Loss per share from continuing operations is now estimated between  1 75 and  1 85 compared with the previous guidance of  1 65  2  Moreover  revenues are projected between  12 9 billion and  13 2 billion  the mid point being 2  below the 2018 reported figure  Adjusted EBITDA is estimated in the band of 1 6  1 65 billion  indicating 1  slip from the prior year reported number  Same store adjusted admission is likely to inch up 1 5 2   Capital expenditure is predicted within  420  475 million compared with the earlier guidance of  450  550 million Will It Bounce Back in 2020 Although the stock has suffered for some time  we expect it to rebound going forward  Its long term growth rate stands at 15 3   above the industry s average of 12 1  Over the years  acquisitions have played a key role in building Community Health s growth trajectory  The company plans to take over about two to four facilities every year  It continues to acquire hospitals to expand its number of licensed beds  This  in turn  bodes well for the company Community Health s restructuring initiatives curbed its costs to a great extent  Going forward  the company s expenses are expected to improve owing to its planned business rejig Management is also addressing its challenges through operational efficiency and additional divestitures  Shedding small assets helps it focus on its core business that comprises large hospitals  which in turn  promises higher returns  The company anticipates to complete its divestiture plan by mid 2020  Given its divestitures  it expects cash flow to improve Surgery volumes are expected to expand in 2020  Focus on core business would likely streamline its profile further  thereby generating growth If the company is successful in its efforts to drive admissions  ramp up productivity and control costs  EBITDA would also increase significantly The Zacks Consensus Estimate for 2020 earnings suggests 7 3  growth from the year earlier reported figure You can see Looking for Stocks with Skyrocketing Upside Zacks has just released a Special Report on the booming investment opportunities of legal marijuana Ignited by new referendums and legislation  this industry is expected to blast from an already robust  6 7 billion to  20 2 billion in 2021  Early investors stand to make a killing  but you have to be ready to act and know just where to look ,2019-12-27,Zacks Investment Research,https://www.investing.com/analysis/community-health-lags-industry-ytd-will-it-reverse-in-2020-200495221,200495221
114033,335548,THC,Will Select Medical s Solid Run In 2019 Sustain In 2020 ,opinion,"Select Medical Holdings Corporation s   NYSE SEM   stock showed an impressive run in 2019  soaring 50 6  compared with its industry s rally of 22 4   The company s consistently strong operating performance  backed by rising revenues and accretive acquisitions aided the stock Select Medical s performance looks all the more encouraging when compared with the stock price gain of other companies in the same space  such as Encompass Health Corp    NYSE EHC   and HCA Healthcare  Inc    NYSE HCA   that have jumped 13 1  and 19 9   respectively  over the same time frame  Tenet Healthcare Corp    NYSE THC    however  outperformed the industry and Encompass Health by skyrocketing 123 2  2019 
The stock has a Zacks Rank  1  Strong Buy  and an impressive Value Score of A  Our research shows that stocks with a Value Style Score of A or B when combined with a Zacks Rank of 1 or 2 offer the best opportunities in the value investing space  You can see  The stock has seen the Zacks Consensus Estimate for current year and next year earnings being revised 6 7  and 8  upward over the past 60 days Select Medical came online in 1997 and has grown to be one of the largest operators of critical illness recovery hospitals  outpatient rehabilitation clinics and occupational health centers in the United States based on the number of facilities The company s payor mix includes medicare and non medicare  Over the years  the company has reduced its revenue dependence on Medicare from 45  in 2014 to 27  in 2018  This  in turn  reduces the company s dependence reliance on the stream of revenues that is subject to government reimbursement  driven by regulation The company is a leading provider of rehabilitation services and its network has strengthened on the back of a number of new joint ventures and partnerships forged formed built with other healthcare entities over the past many years Its revenue base has been increasing over the years  witnessing a CAGR of 13 5   2014 2018  and climbing up 7  in the first nine months of 2019  This growth rate was achieved owing to the company s leadership position and reputation as a high quality  cost effective healthcare provider in each of its business segments  which allows it to attract patients and employees  aids in marketing efforts to referral sources and helps negotiate payor contracts  For 2019  the company expects net revenues in the range of  5 375  5 475 billion  indicating 6 7  growth from the year ago reported figure  calculated at the mid point  Numerous acquisitions made by the company over the years have contributed to its inorganic growth  the most notable ones being U S Health Works  Physiotherapy Associates and Concentra  Select Medical is well positioned to capitalize on the consolidation opportunities within each of its business segments  which operate in a highly fragmented market and augment its internal growth  With its geographically diversified portfolio of facilities in the United States  the company s footprint provides a wide ranging perspective on multiple acquisition prospects Select Medical s Concentra segment is poised to grow from the acquisition of U S  HealthWorks in 2018  led by increased visits  decreased patient turnaround times and enhanced staffing efficiencies  Concentra is the nation s largest provider of occupational health services  This segment s expanded national presence coupled with its focus on quality care and patient client satisfaction gives the company a distinct competitive edge and will fuel growth opportunities going forward Breakout Biotech Stocks with Triple Digit Profit PotentialThe biotech sector is projected to surge beyond  775 billion by 2024 as scientists develop treatments for thousands of diseases  They re also finding ways to edit the human genome to literally erase our vulnerability to these diseases Zacks has just released Century of Biology  7 Biotech Stocks to Buy Right Now to help investors profit from 7 stocks poised for outperformance  Our recent biotech recommendations have produced gains of  98    119  and  164  in as little as 1 month  The stocks in this report could perform even better ",2019-12-30,Zacks Investment Research,https://www.investing.com/analysis/will-select-medicals-solid-run-in-2019-sustain-in-2020-200495524,200495524
114034,335549,THC,Is Tenet Healthcare  THC  Stock Undervalued Right Now ,opinion,"The proven Zacks Rank system focuses on earnings estimates and estimate revisions to find winning stocks  Nevertheless  we know that our readers all have their own perspectives  so we are always looking at the latest trends in value  growth  and momentum to find strong picks 
Of these  value investing is easily one of the most popular ways to find great stocks in any market environment  Value investors rely on traditional forms of analysis on key valuation metrics to find stocks that they believe are undervalued  leaving room for profits 
In addition to the Zacks Rank  investors looking for stocks with specific traits can utilize our Style Scores system  Of course  value investors will be most interested in the system s  Value  category  Stocks with  A  grades for Value and high Zacks Ranks are among the best value stocks available at any given moment 
One company value investors might notice is Tenet Healthcare  THC   THC is currently sporting a Zacks Rank of  2  Buy  and an A for Value  The stock is trading with P E ratio of 13 51 right now  For comparison  its industry sports an average P E of 14 85  THC s Forward P E has been as high as 14 79 and as low as 7 03  with a median of 9 55  all within the past year 
Investors will also notice that THC has a PEG ratio of 0 72  This popular figure is similar to the widely used P E ratio  but the PEG ratio also considers a company s expected EPS growth rate  THC s PEG compares to its industry s average PEG of 1 23  Over the last 12 months  THC s PEG has been as high as 0 88 and as low as 0 32  with a median of 0 54 
These are just a handful of the figures considered in Tenet Healthcare s great Value grade  Still  they help show that the stock is likely being undervalued at the moment  Add this to the strength of its earnings outlook  and we can clearly see that THC is an impressive value stock right now ",2019-12-31,Zacks Investment Research,https://www.investing.com/analysis/is-tenet-healthcare-thc-stock-undervalued-right-now-200495811,200495811
114035,335550,THC,Community Health Divests Hospitals To Reduce Debt Level,opinion,Community Health Systems  Inc    NYSE CYH   has completed the previously announced divestiture of three Virginia hospitals   300 bed Southside Regional Medical Center in Petersburg  105 bed Southampton Memorial Hospital in Franklin and 80 bed Southern  NYSE SO  Virginia Regional Medical Center in Emporia   and their associated assets to subsidiaries of Bon Secours Mercy Health  Inc  The deal was effective Jan 1  2020 The move is in line with Community Health s strategy to focus on its core businesses that comprise large hospitals  Notably  in 2017 and 2018  the company sold hospitals worth  1 7 billion and  405 million  respectively  Continuing the trend  Community Health sold 11 hospitals in the first nine months of 2019  These transactions are likely to boost the same store metrics and cash flow of the company  while lowering debt and reducing leverage ratios Debt WoesCommunity Health is burdened with debt and has therefore taken the portfolio rationalization strategy  All these sell offs are part of the company s massive debt restructuring initiative to help its highly leveraged balance sheet Although the company s debt level reduced from  16 6 billion in 2014 to  13 5 in 2018  the level is still very high  Additionally  doubts surrounding its ability to cover interest expenses persist  The times interest earned ratio for the company  which measures its interest paying ability  stands at 0 3   comparing unfavorably with the industry s average of 2 9  Investors lost confidence in the company  which resulted in the free fall in its share price and a 95  decline in market capitalization from  6 2 billion recorded in 2014 to  0 3 billion now One of its peers  Tenet Healthcare Corp     NYSE THC   has also been shedding some of its non core and unprofitable facilities from its business portfolio to repay debt and maintain financial liquidity In a year  the Zacks Rank  3  Hold  company has lost 7 7  against its  s growth of 25 4   This performance looks pale when compared to the price performance of its peers  HCA Healthcare  Inc    NYSE HCA   and Universal Health Services  Inc    NYSE UHS    which have returned 21 4  and 22 2  over the same time frame You can see  7 Best Stocks for the Next 30 DaysJust released  Experts distill 7 elite stocks from the current list of 220 Zacks Rank  1 Strong Buys  They deem these tickers  Most Likely for Early Price Pops  Since 1988  the full list has beaten the market more than 2X over with an average gain of  24 6  per year  So be sure to give these hand picked 7 your immediate attention ,2020-01-01,Zacks Investment Research,https://www.investing.com/analysis/community-health-divests-hospitals-to-reduce-debt-level-200495996,200495996
114037,335552,THC,MEDNAX Expands Further In Florida With Radiology Affiliation,opinion,MEDNAX  Inc    NYSE MD   has been affiliated to Boca Radiology Group  P A   a private radiology physician group based in Boca Raton  FL  This new practice will combine with Radiology Associates of South Florida  LLC  RASF   a MEDNAX affiliated physician practice in Miami catering to all of South Florida  This this all cash transaction is expected to be immediately accretive to earnings  However  other terms of the deal were not disclosed This move is in line with the company s strategy to expand its radiology practices  thereby cementing its position as one of the leading players in the nation  Notably  MEDNAX reads 11 8 million studies per year through its chain of more than 825 board certified or eligible radiologists Meanwhile  Boca Radiology Group has been providing state of the art radiology services throughout Palm Beach County for above 50 years  which makes it one of the largest private radiology practices in Southeast Florida  With this unique partnership  Boca Radiology Group would be able to provide better value based care to people  extend its reach and withstand the evolving healthcare environment With the help of RASF  MEDNAX s radiology solutions now offer imaging services to the Baptist Health South Florida  BHSF  network Other Acquisitions in the Same LineMEDNAX has been constantly focusing on fortifying its radiology organization through a strong inorganic growth profile  The company purchased five radiology practices in 2018  such as Boynton Beach  a Florida based Bethesda Radiology unit  and Las Vegas based Radiology Specialists  LTD  a private radiology physician group  etc   which helped it bolster this business line Revenue Contribution From This LineThis Radiology service line contributed 8  and 12  to the company s total revenues in 2017 and 2018  respectively Shares of this Zacks Rank  3  Hold  company have lost 22 8  in a year s time versus its  s rally of 15 8   This looks paler in comparison to its peers  namely HCA Healthcare  Inc   NYSE HCA    Tenet Healthcare Corporation   NYSE THC   and Universal Health Services  Inc    NYSE UHS   which have returned 15 6   75 5  and 14 6  in the same time frame  You can see However  all these initiatives would likely boost MEDNAX s revenues  which in turn  might accelerate its share price appreciation The Hottest Tech Mega Trend of AllLast year  it generated  24 billion in global revenues  By 2020  it s predicted to blast through the roof to  77 6 billion  Famed investor Mark Cuban says it will produce  the world s first trillionaires   but that should still leave plenty of money for regular investors who make the right trades early ,2020-01-07,Zacks Investment Research,https://www.investing.com/analysis/mednax-expands-further-in-florida-with-radiology-affiliation-200497290,200497290
