,id,ticker,title,category,content,date,provider,url,article_id
10861,232376,WYND,Choice Hotels  Cambria Brand To Expand In Texas   New York ,opinion,Choice Hotels International  Inc    NYSE CHH   is leaving on stone unturned to expand footprint globally  With regard to this  the company has inked franchisee agreements with two famous developers to launch Cambria Hotel Austin Airport in Texas and Cambria Hotel Niagara Falls in New York  Cambria  being one of the top hotel brands expanding in North America  has nearly 80 hotels in its pipeline Notably  the 127 roomed Cambria Hotel Austin Airport will be located at 7800 E  Ben White Blvd  and developed by W2 SF Airport Hospitality Business LP  The new property is expected to open its doors in 2021  It will be in close proximity to the Austin Bergstrom International Airport  downtown Austin  Silicon Hills  Circuit of the Americas raceway and the Texas State Capitol The company is confident about the success of the properties  The Lone Star State already has six Cambria branded hotels and 10 more in its pipeline in Dallas  downtown Austin  The Domain in Austin  Irving and Waco The 120 roomed Cambria Hotel Niagara Falls will be situated at Rainbow Blvd  in downtown Niagara Falls and developed by Plati Niagara Inc  The property is slated to open in 2022  Cambria Hotel Niagara Falls will offer guests an access to the city s popular attractions like Maid of the Mist boat tour Moreover  tourists can get closer to the Falls by descending into the Niagara Gorge at the Cave of the Winds  The property is just two blocks away from the world famous Niagara Falls State Park that attracts 9 million guests annually  The Niagara Falls hotel will be its first in the upstate location that will join four Cambria branded properties in New York s metropolitan areas Janis Cannon  senior vice president of upscale brands for Choice Hotels  said  As we close out a record year in which we opened 11 Cambria hotels   together representing 1 700 upscale rooms   these new franchise agreements are a sign that Choice will continue to bring the Cambria brand to even more top markets around the country  Strategic Expansion to Drive GrowthRecently  the company strengthened its upscale brand presence with the opening of the Cambria Hotel Downtown Phoenix Convention Center in Phoenix Metropolitan area Markedly  Choice Hotels strengthened mid scale presence with the launch of Clarion Pointe  Expansion of the brand is expected to be carried out through 21 Clarion Pointe franchise agreements Alongside domestic growth  Choice Hotels continues to expand international footprint  Its key international operating markets include Spain  Colombia  Panama  the Caribbean and Canada Notably  the Cambria brand has been doing solid business  In the first nine months of 2019  Cambria s RevPAR increased 0 4   The company stated that in third quarter 2019  Cambria s business travel revenues increased 17  year over year  Moreover  in the third quarter  the Cambria pipeline expanded to 79 hotels  There are more than 125 Cambria properties in the brand s pipeline that are slated to open across the United States  with 50 currently operational Backed by solid expansion strategies and a strong brand presence  shares of Choice Hotels have gained 42 3  so far this year compared with the s 34 1  rally  Choice Hotels  which shares space with Hilton Worldwide Holdings Inc    NYSE HLT    currently carries a Zacks Rank  3  Hold  Stocks to ConsiderSome better ranked stocks in the same space include Civeo Corporation   NYSE CVEO   and Wyndham destinations  Inc    NYSE WYND    each carrying a Zacks Rank  2  Buy   You can see Civeo reported better than expected earnings in three of the trailing four quarters  with the average being 42 5  Wyndham reported better than expected earnings surpassing in all of the trailing four quarters  with average being 7 2  Biggest Tech Breakthrough in a GenerationBe among the early investors in the new type of device that experts say could impact society as much as the discovery of electricity  Current technology will soon be outdated and replaced by these new devices  In the process  it s expected to create 22 million jobs and generate  12 3 trillion in activity A select few stocks could skyrocket the most as rollout accelerates for this new tech  Early investors could see gains similar to buying Microsoft  NASDAQ MSFT  in the 1990s  Zacks  just released special report reveals 8 stocks to watch  The report is only available for a limited time ,2019-12-18,Zacks Investment Research,https://www.investing.com/analysis/choice-hotels-cambria-brand-to-expand-in-texas--new-york-200493770,200493770
10877,232392,WYND,Will Soft North America Sales Hurt Mattel  MAT  Q3 Earnings ,opinion,Mattel  Inc    NASDAQ MAT   is scheduled to report third quarter 2019 results on Oct 29  after the closing bell  In the last reported quarter  the company s earnings surpassed the Zacks Consensus Estimate by 28 6  Which Way Are Estimates Moving The Zacks Consensus Estimate for third quarter earnings is pegged at 8 cents  lower than the year ago quarter figure of 18 cents  Over the past 30 days  the company s earnings estimates have moved south by 11 1   For quarterly revenues  the consensus mark stands at  1 421 million  suggesting a decline of 1 2  from prior year quarter reported figure Let s delve deeper and analyze the factors likely to shape the company s third quarter results Factors at PlayMattel third quarter results are likely to have been hurt by dismal Power Brands and North America revenues  The company has been focusing on advertising  marketing and promotional activities to improve POS momentum and drive sales  Despite growing pipeline of tech enabled products that capitalize on new play patterns  the company might have failed to revive sales in the third quarter Per the Zacks Consensus Estimate  Power Brands total revenues are likely to decline nearly 7  to  1 008 million  Moreover  North America gross revenues are expected to decrease 4 8  to  886 3 million However  robust Barbie sales across all regions are likely to have positively impacted the company s third quarter results  In the second quarter of 2019  gross Barbie sales were up 13  in constant currency  This marked the seventh consecutive quarter of year over year growth for Barbie Mattel  Inc  Price and EPS Surprise     What Does the Zacks Model Say Our proven model does not conclusively predict an earnings beat for Mattel this time around  The combination of a positive  and a Zacks Rank  1  Strong Buy   2  Buy  or 3  Hold  increases the odds of an earnings beat  But that s not the case here You can uncover the best stocks to buy or sell before they re reported with our  Although Mattel has a Zacks Rank  3  its Earnings ESP of 0 00  makes surprise prediction difficult Stocks Poised to Beat Earnings EstimatesHere are some stocks from the Zacks  space that investors may consider  as our model shows that these have the right combination of elements to deliver an earnings beat in third quarter 2019 Deckers Outdoor Corporation   NYSE DECK   has an Earnings ESP of  3 17  and a Zacks Rank  1  You can see Fox Corporation   NASDAQ FOXA   has an Earnings ESP of  2 90  and a Zacks Rank  3 Wyndham Destinations  Inc    NYSE WYND   has an Earnings ESP of  0 14  and a Zacks Rank  3  Today s Best Stocks from ZacksWould you like to see the updated picks from our best market beating strategies  From 2017 through 2018  while the S P 500 gained  15 8   five of our screens returned  38 0    61 3    61 6    68 1   and  98 3  This outperformance has not just been a recent phenomenon  From 2000   2018  while the S P averaged  4 8  per year  our top strategies averaged up to  56 2  per year ,2019-10-23,Zacks Investment Research,https://www.investing.com/analysis/will-soft-north-america-sales-hurt-mattel-mat-q3-earnings-200477583,200477583
10884,232399,WYND,Marriott s  MAR  Brand Debuts In Oman  Opens W Muscat Hotel,opinion,Marriott International  Inc    NASDAQ MAR   announced that its W Hotels brand makes a debut in Shatti Al Qurum  Oman  with the launch of W Muscat   Notably  this 279 roomed hotel marks the brand s second property in the Middle East this year  W Muscat features its newest beachfront W Escape This W Hotels brand s playful luxury hotel spiritualizes Omani design and cultural traditions to give its traditional charm and natural beauty a whole new definition Apart from highlighting Marriott s relentless expansion strategies  the opening of W Muscat mirrors the hotelier s way of countering intense competition from the likes of Hyatt   NYSE H    Hilton   NYSE H   and Wyndham   NYSE WYND   We believe the company s expansion strategy will also help revive revenues  In second quarter 2019  the company s revenues declined 2  year over year  The top line has also missed the consensus estimate in the trailing five quarters Expansion Strategy   Solid Brand Position to Drive RevenuesMarriott banks on its hotel expansion strategy  The company keeps on investing in new locations for its various brands to meet the emerging demand for hotels in domestic as well as international markets  Moreover  its solid brand presence  which is encouraging In April 2019  the company opened its 7000 property   the 27 storey St  Regis Hong Kong  At the second quarter 2019 end  the company s worldwide development pipeline totaled nearly 2 900 rooms and more than 487 000 rooms  of these nearly 213 000 rooms were already under construction   For 2019  Marriott anticipates 5 5 5  net room growth  which is likely to continue building economics  scale  and consumer preference for its brands By 2020  the company aims to lead in the luxury and full service segments in the region served  intends to have the largest portfolio in the upscale division and also win over millennials in the affordable lifestyle group Backed by solid expansion strategies and a strong brand presence  shares of Marriott have gained 16 3  so far this year compared with the  s 15 3  rally  Notably  the addition of W Muscat is likely to help Marriott boost its overall revenues and witness increased revenue per available room  RevPAR  for its worldwide comparable system wide properties In the second quarter  RevPAR for worldwide comparable system wide properties increased 1 2  in constant dollars and 0 3  in actual dollars  driven by a 1 1  improvement in average daily rate  ADR   Higher leisure transient demand in Europe  the Caribbean and South America  and the Asia Pacific regions helped it to deliver impressive results Particularly in North America  the said metric grew 0 7  in constant dollars  up 0 4  in actual dollars  and 2 8  internationally  down 2 4  in actual dollars  Zacks RankMarriott currently carries a Zacks Rank  3  Hold   You can see  More Stock News  This Is Bigger than the iPhone It could become the mother of all technological revolutions  Apple  NASDAQ AAPL  sold a mere 1 billion iPhones in 10 years but a new breakthrough is expected to generate more than 27 billion devices in just 3 years  creating a  1 7 trillion market Zacks has just released a Special Report that spotlights this fast emerging phenomenon and 6 tickers for taking advantage of it  If you don t buy now  you may kick yourself in 2020 ,2019-08-26,Zacks Investment Research,https://www.investing.com/analysis/marriotts-mar-brand-debuts-in-oman-opens-w-muscat-hotel-200459020,200459020
10885,232400,WYND,Hilton Expands Presence Of All Suites Brands  Eyes Growth,opinion,Hilton Worldwide Holdings Inc    NYSE H   recently announced the expansion of its All Suits Brands that includes Embassy Suites by Hilton  Homewood Suites by Hilton and Home2 Suites in the airport and urban locations Currently  Hilton s brands have nearly 1 075 open properties  where the company opened 33 properties in second quarter 2019  comprising nine in key airport and downtown areas  two dual brands  and two Canadian openings  Notably  the All Suites Brands by Hilton have nearly 600 properties in the pipeline Expansion Strategy   Solid Brand Position to Drive RevenuesAll Suites Brands is consistently trying to expand its presence domestically as well as internationally  The category collectively opened 54 properties in the first half of the year  Overall  in a bid to maintain its position as the fastest growing global hospitality company  Hilton is continuing to drive unit growth  During the second quarter of 2019  Hilton opened 123 new hotels  It also achieved net unit growth of 15 700 rooms  marking roughly 7  increase from the prior year quarter As of Jun 30  2019  Hilton s development pipeline comprised nearly 2 490 hotels  with roughly 373 000 rooms across 109 countries and territories including 37 countries and territories  For 2019  the company anticipates net unit growth of 6 5  Backed by solid expansion strategies and a strong brand presence  shares of Hilton have gained 28 9  year to date compared with the  s 16 5  rally  Notably  the expansion of All Suites category is likely to help Hilton boost its overall revenues and witness increased revenue per available room  RevPAR  for its worldwide comparable system wide properties In the second quarter  RevPAR for worldwide comparable system wide properties increased 1 4   driven by a 7  improvement in average daily rate  ADR   In third quarter 2019  the company anticipates its system wide RevPAR to witness a year over year improvement of 1 2  on a comparable and currency neutral basis  Aggressive expansion strategies  industry leading loyalty program coupled with an asset light business model helped it to deliver impressive results Zacks Rank   Stocks to ConsiderCurrently  Hilton  which shares space with Hyatt Hotels Corporation   NYSE H   and Choice Hotels International  Inc    NYSE H   in the Zacks  industry  carries a Zacks Rank  3  Hold   Another better ranked stock from the same space is Wyndham Destinations  Inc    NYSE WYND   carrying a Zacks Rank  2  Buy   You can  Hyatt and Choice Hotels have an impressive long term earnings growth of 8  and 10   respectively Wyndham Destinations earnings have surpassed the Zacks Consensus Estimate in the trailing four quarters  with average beat being 6 5  Today s Best Stocks from ZacksWould you like to see the updated picks from our best market beating strategies  From 2017 through 2018  while the S P 500 gained  15 8   five of our screens returned  38 0    61 3    61 6    68 1   and  98 3  This outperformance has not just been a recent phenomenon  From 2000   2018  while the S P averaged  4 8  per year  our top strategies averaged up to  56 2  per year ,2019-08-29,Zacks Investment Research,https://www.investing.com/analysis/hilton-expands-presence-of-all-suites-brands-eyes-growth-200460369,200460369
10886,232401,WYND,5 Top Stocks To Buy For The Labor Day Weekend,opinion,This Labor Day weekend  the final summer holiday trip before another busy school season  is likely to see heavy traffic People are willing to travel long distances via cars or planes  thanks to increased financial confidence on a healthy labor market  This definitely calls for investing in the travel space around this time Expect Busy Skies   Roads on Labor DayThis Labor Day weekend is likely to be very busy  The Airlines for America  A4A  has projected a record 17 5 million passengers on U S  carriers across the globe  reflecting a 4  increase from last year This will result in around 2 51 million passengers travelling on U S  airplanes each day  a significant increase from last year  Aug 30 is expected to be the busiest  with an estimated 2 98 million flyers  In fact  during the Labor Day  Sep 2   a healthy 2 71 million passengers are expected to take to the skies In order to meet the spike in holiday travel  U S  airlines have added nearly 109 000 seats per day to accommodate the additional 95 000 daily passengers expected during the Labor Day weekend  Lest we forget  U S  airlines will be able to add such staggering number of seats despite the grounding of the Boeing  NYSE BA  737 MAX Airlines have already provided inflation adjusted fares this year  making traveling more affordable  Their on time arrivals as well as departures  proper baggage handling and lesser number of complaints are encouraging more passengers to fly compared to last year Roads will be packed as well  According to the American Automobile Association  AAA   more number of travelers will be on the road compared to last year  while TripAdvisor claims that almost 61  will be driving  and another 27  flying What s Driving Travel This Labor Day Holiday Season Consumers are pretty confident about their well being and not afraid to spend this Labor Day weekend  According to the Conference Board  the consumer confidence index came in at 135 1 in August  and was way more than analysts  expectations of 127 8  There was a big gain in the index for present economic conditions as well  The index for current economic conditions rose to 177 2 from 170 9  Such positive readings  undoubtedly  show that consumers have confidence in the economy despite the ongoing U S  China trade tussle Household optimism was largely driven labor market health  The United States added a heartening 164 000 jobs in July  almost in line with analysts  expectations  per the Labor Department  Meanwhile  the jobless rate remained near a 50 year low of 3 7  last month  The real unemployment rate  including those who are underemployed and discouraged  also known as the U6 rate  slipped to 7  from 7 2  a year ago At the same time  another broader gauge of unemployment which shows people who can t find a full time job dropped just below 4 million for the first time since 2006  By the way  Fed Chair Jerome Powell said lately that  people who live and work in low  and middle income communities tell us that in who have struggled to find work are now getting opportunities to add new and better chapters to their lives  Top 5 GainersNeedless to say  a late summer surge in travel will benefit U S  airlines companies  Spike in travel also bodes well for leisure and recreational service providers  Another investment area is hotels and motels  More travel will lead to increased hotel occupancy and in turn higher revenue per available room We have  thus  selected five stocks from such areas that flaunt a Zacks Rank  1  Strong Buy  or 2  Buy  Delta Air Lines  Inc    NYSE DAL   provides scheduled air transportation for passengers and cargo in the United States and internationally  Currently  the company has a Zacks Rank  2  The Zacks Consensus Estimate for its current year earnings has moved nearly 6  north in the last 60 days  The company s expected earnings growth rate for the current quarter and year is 25 6  and 25 1   respectively SkyWest  Inc    NASDAQ SKYW   operates a regional airline in the United States  Currently  the company has a Zacks Rank  2  The Zacks Consensus Estimate for its current year earnings has increased 1 5  in the last 60 days  The company s expected earnings growth rate for the current quarter and year is 10 2  and 16 6   respectively SeaWorld Entertainment  Inc    NYSE SEAS   operates as a theme park and entertainment company in the United States  Currently  the company has a Zacks Rank  2  The Zacks Consensus Estimate for its current year earnings has moved up 12 6  in the last 60 days  The company s expected earnings growth rate for the current quarter and year is 25 7  and 209 6   respectively  You can see  Wyndham Destinations  Inc    NYSE WYND   operates as a vacation ownership and exchange company  Currently  the company has a Zacks Rank  2  The Zacks Consensus Estimate for its current year earnings has advanced 3 4  in the last 60 days  The company s expected earnings growth rate for the next quarter and current year are 20 5  and 17 7   respectively Allegiant Travel Company   NASDAQ ALGT    a leisure travel company  provides travel services and products to residents of under served cities in the United States  Currently  the company has a Zacks Rank  2  The Zacks Consensus Estimate for its current year earnings has advanced 2 2  in the last 60 days  The company s expected earnings growth rate for the current quarter and year are 137 2  and 36 7   respectively In fact  shares of Delta Air Lines  SkyWest  SeaWorld Entertainment  Wyndham Destinations and Allegiant Travel have gained 16   28 4   29 8   23  and 41 2  respectively  so far this year  Take a look   Today s Best Stocks from ZacksWould you like to see the updated picks from our best market beating strategies  From 2017 through 2018  while the S P 500 gained  15 8   five of our screens returned  38 0    61 3    61 6    68 1   and  98 3  This outperformance has not just been a recent phenomenon  From 2000   2018  while the S P averaged  4 8  per year  our top strategies averaged up to  56 2  per year ,2019-08-30,Zacks Investment Research,https://www.investing.com/analysis/5-top-stocks-to-buy-for-the-labor-day-weekend-200460233,200460233
10887,232402,WYND,Hilton  HLT  Expands Presence In Canada With Two New Brands,opinion,Hilton Worldwide Holdings Inc    NYSE HLT   continues to expand its footprint in Canada  While the company has announced plans to introduce Canopy by Hilton and Tapestry Collection by Hilton therein  it intends to expand Tru by Hilton in the same region    Going forward  Tapestry Collection by Hilton anticipates opening hotels in Moncton  Mississauga and Calgary  The Canvas Moncton is slated to open before 2019 end With 10 additional hotels in its pipeline  Tru by Hilton expects to open a few more hotels primarily in Ontario by the end of 2021  Notably  it opened the first hotel   Tru by Hilton Edmonton Windermere   outside the United States  early this year Canopy by Hilton  which is set to debut in Canada with Canopy by Hilton Toronto   Yorkville  is slated to open in 2022  The property will be in close proximity to several neighborhoods known for high end retail and vibrant culture  offering unique experiences to its guests Hilton s All Suites brands  Embassy Suites by Hilton  Homewood Suites by Hilton and Home2 Suites by Hilton also announced its 30th Canadian hotel opening with Homewood Suites by Hilton Ottawa Downtown  earlier this year Notably  Hilton s Full and Focused Service categories has seen steady growth over the last three years  The categories aims at future in market development that include DoubleTree by Hilton  Hilton Garden Inn and Hampton by Hilton with 15  25 and 58 hotels and nearly 10  more than five and ten in its pipeline Notably  the hotelier believes that Canada has seen impressive growth in tourism  Per National Tourism Indicator  tourism economy grew nearly 4  in the first quarter of 2019 Strategic Expansion to Drive GrowthIn a bid to maintain its position as the fastest growing global hospitality company  Hilton is continuing to drive unit growth  To this end  the company opened 123 new hotels during the second quarter of 2019  It also achieved net unit growth of 15 700 rooms  marking roughly 7  increase from the prior year quarter As of Jun 30  2019  Hilton s development pipeline comprised nearly 2 490 hotels  with roughly 373 000 rooms throughout 109 countries and territories including 37 countries and territories  where it has not opened any hotels  For 2019  the company anticipates net unit growth of 6 5  Backed by solid expansion strategies and a strong brand presence  shares of Hilton have gained 29 2  year to date compared with the industry s 15 8  rally  Notably  the expansion of Conrad Hotels   Resorts is likely to help Hilton boost its overall revenues and witness increased revenue per available room  RevPAR  for its worldwide comparable system wide properties  In the second quarter 2019  RevPAR for worldwide comparable system wide properties increased 1 4   driven by a 7  improvement in average daily rate  ADR   The company anticipates its system wide RevPAR to witness a year over year improvement of 1 2  on a comparable and currency neutral basis Zacks Rank   Stocks to ConsiderHilton has a Zacks Rank  4  Sell    A better ranked stock in the same space is Wyndham Destinations  Inc    NYSE WYND    which carries a Zacks Rank  2  Buy   You can Wyndham delivered an average four quarter positive earnings surprise of 6 5    Looking for Stocks with Skyrocketing Upside Zacks has just released a Special Report on the booming investment opportunities of legal marijuana       Ignited by new referendums and legislation  this industry is expected to blast from an already robust  6 7 billion to  20 2 billion in 2021  Early investors stand to make a killing  but you have to be ready to act and know just where to look ,2019-09-26,Zacks Investment Research,https://www.investing.com/analysis/hilton-hlt-expands-presence-in-canada-with-two-new-brands-200468427,200468427
10888,232403,WYND,Hurricane Dorian Likely To Hurt Marriott Vacations  Q3 Results,opinion,Marriott Vacations Worldwide Corporation   NYSE VAC   issued an update on the anticipated impact of Hurricane Dorian on its operations  The company further stated that all of the resorts that were impacted by the hurricane were re opened Hurricane Dorian had minimal impact on the company s resorts and sales centers  However  shutting down of resorts and sales center at different locations  flight disruptions as well as cancellation of reservations have hurt Marriott Vacations  sales In the third quarter of 2019  the company anticipates contract sales to be negatively impacted by nearly  6  8 million  Adjusted EBITDA in the same quarter is also expected to be affected by roughly  3  5 million  The company s Vacation Ownership rental and ancillary operations  and its Exchange and Third Party Management business are also likely to be hurt However  the company s top line growth is likely to continue despite the impact of Hurricane Dorian  In second quarter 2019  its revenues increased 79 5   following an 85 6  gain in the preceding quarter  The upside can be attributed to revenue growth across Marriott Vacations  segments  Also  consolidated Vacation Ownership contract sales  rental  financing  and resort management and other services  revenues grew 66   90 5   91 7  and 71 8   respectively  in the quarter  Strong revenue building capacities  digital innovations and synergies from ILG acquisition too bode well These apart  Marriott Vacations has been focusing on digital expansion and innovation of latest techniques  The company has been remodeling the business framework  It turned into a more point based and capital efficient system  with less dependence on the securitization market  In the past three months  shares of Marriott Vacations have surged 10 7  against  the  s 5 6  decline Zacks Rank   A Key PickMarriott Vacations  which shares space with Choice Hotels International  Inc    NYSE CHH   and InterContinental Hotels Group PLC   NYSE IHG    has a Zacks Rank  3  Hold   A better ranked stock worth considering in the same space is Wyndham Destinations  Inc    NYSE WYND    carrying a Zacks Rank  2  Buy   You can  Wyndham Destinations reported better than expected earnings in each of the trailing four quarters  the average being 6 5  Looking for Stocks with Skyrocketing Upside Zacks has just released a Special Report on the booming investment opportunities of legal marijuana Ignited by new referendums and legislation  this industry is expected to blast from an already robust  6 7 billion to  20 2 billion in 2021  Early investors stand to make a killing  but you have to be ready to act and know just where to look ,2019-09-26,Zacks Investment Research,https://www.investing.com/analysis/hurricane-dorian-likely-to-hurt-marriott-vacations-q3-results-200468426,200468426
10889,232404,WYND,Gambling Stock Roundup  CNTY Mountaineer Casino Update Deal  CZR WYND Extend Tie Up,opinion,Performance of gaming stocks was disappointing over the past week with the declining 2 3  and the S P 500 Index losing 1   The trade war between Beijing and Washington is the primary reason behind the lacklustre performance  Moreover  the flagging China property price has adversely impacted the high end VIP segment Recap of Last Week s Most Important StoriesCentury Casinos Receives Go Ahead for Mountaineer Casino AcquisitionCentury Casinos  Inc    NASDAQ CNTY   has received green signal from the West Virginia Lottery Commission for the acquisition of Mountaineer Casino  Racetrack and Resort   Mountaineer   from Eldorado Resorts  Inc  Th deal  which is likely to be sealed in early 2020  is yet to receive approval from Missouri Gaming Commission In June  Century Casinos had entered into an agreement with Eldorado Resorts to acquire the operations of operations of Isle Casino Cape Girardeau   Cape Girardeau    Lady Luck Caruthersville   Caruthersville   and Mountaineer Casino  Racetrack and Resort   Mountaineer   for nearly  107 million Century Casinos has a Zacks Rank  5  Strong Sell  Caesars Entertainment   Wyndham Destinations Extend Marketing PartnershipCaesars Entertainment Corporation   NASDAQ CZR   and Wyndham Destinations  Inc    NYSE WYND   have extended their marketing partnership to 2030  Per the agreement  Wyndham Destinations can use Caesars Entertainment s larger customer base to market its market vacation ownership  Moreover  Wyndham Destinations will purchase room nights and other products from Caesars Entertainment for its customers Executive vice president and chief marketing officer for Caesars Entertainment  Chris Holdren  said  This partnership further exudes our desire and commitment to elevate our guest experience through new and exciting offerings  while expanding our global footprint through meaningful brand and licensing opportunities  Caesars Entertainment carries a Zacks Rank  3  Hold  International Game Technology Continues to Expand IGT PlaySports FootprintInternational Game Technology PLC s   NYSE IGT   IGT PlaySports solution has been deployed in nine U S  states in more than 30 sports betting venues  The company s sports betting footprint covers Indiana  Iowa  New York  Pennsylvania  West Virginia  Mississippi  Rhode Island  New Jersey and Nevada The company said that it has also accomplished sports betting agreements with customers in Oregon  Arkansas and Illinois  Currently  sports betting has been legalized in 13 states  Legalization outside Nevada has given the industry a new lease of life  The Supreme Court overturned the Professional and Amateur Sports Protection Act that banned sports betting outside Nevada  The scope for casino operators will grow as illegally  the activity is valued at billions of dollars annually in the United States International Game Technology holds a Zacks Rank  3 Penn National Gaming CFO to Step DownPenn National Gaming  Inc    NASDAQ PENN   announced that the company s executive vice president and chief financial officer  CFO   William J    BJ   Fair will step down after Mar 31  2020  when his employment contract term ends Fair joined the company in 2014 as senior vice president and chief development officer before taking the position of CFO in 2017 Penn National carries a Zacks Rank  2  Buy   You can see  Price PerformanceThe following table shows the price movement of the major gambling stocks in the last week and the last six months  In the past five trading sessions  shares of PlayAGS  Inc    NYSE AGS    Penn National Gaming  Inc  and Red Rock Resorts  Inc    NASDAQ RRR   have lost the most However  shares of Caesars Entertainment Corporation have gained the highest in the past six months Today s Best Stocks from ZacksWould you like to see the updated picks from our best market beating strategies  From 2017 through 2018  while the S P 500 gained  15 8   five of our screens returned  38 0    61 3    61 6    68 1   and  98 3  This outperformance has not just been a recent phenomenon  From 2000   2018  while the S P averaged  4 8  per year  our top strategies averaged up to  56 2  per year ,2019-09-30,Zacks Investment Research,https://www.investing.com/analysis/gambling-stock-roundup-cntymountaineer-casino-update-deal-czrwynd-extend-tie-up-200469151,200469151
10894,232409,WYND,Choice Hotels On Expansion Spree  Opens Hotel In Milwaukee,opinion,"Choice Hotels International  Inc    NYSE CHH   continues to expand through franchise agreements  To this end  the company recently announced the opening of Cambria Hotel Milwaukee Downtown  an upscale brand under its Cambria brand  Notably  the four story  132 roomed hotel is the third location in Wisconsin and the first in the city  Notably  the hotel will be managed by Concord Hospitality The company is confident about the success of this hotel as it offers easy access to the region s top business and entertainment destinations The hotel is in close proximity to the city s attractions like Lake Michigan  the Milwaukee RiverWalk and Wisconsin Avenue  Janis Cannon  senior vice president of upscale brands stated  We re thrilled to continue the Cambria brand s busy summer openings pace in this vibrant city  The Cambria brand has been doing solid business  In second quarter 2019  Cambria s RevPAR increased 2 2   which outpaced the industry and the upscale chain scale by 110 and 260 basis points  respectively Moreover  in the second quarter  the Cambria pipeline expanded to 82 hotels  The addition of these hotels will increase upscale room count by 11 000  The year 2019 is turning out to be an exceptional one for Cambria and the brand is on the verge of opening 50 hotels in top tier markets Share Price PerformanceChoice Hotels has gained 22 7  so far this year  comparing favorably with its  17 9  growth and the S P 500 s rally of 14 3   That said  the hotel opening will drive revenues  Moreover  the company s revenues have improved over the past few quarters  In second quarter 2019  total revenues came in at  317 7 million  up 8  from the year ago quarter and topped the consensus mark of  303 million by 4 8  
Zacks Rank   Other Key PicksCurrently  Choice Hotels carries a Zacks Rank  2  Buy   A few other top ranked stocks from the same space are Huazhu Group Limited   NASDAQ HTHT    Peak Resorts  Inc    NASDAQ SKIS   and Wyndham Destinations  Inc    NYSE WYND    each carrying a Zacks Rank  2  You can Huazhu Group have an impressive long term earnings growth of 12 71  Peak Resorts and Wyndham Destinations  trailing four quarter average earnings surprise is 15 86  and 6 53   respectively It s Illegal in 42 States  But Investors Will Make Billions LegallyIn addition to the companies you read about above  today you get details on the newly legalized industry that s tapping into a  habit  that Americans spend an estimated  150 billion on every year 
That s twice as much as they spend on marijuana  legally or otherwise 
Zacks special report revealing how investors can profit from this new opportunity  As more states legalize this activity  the industry could expand by as much as 15X  Zacks  has just released a Special Report revealing 5 top stocks to watch in this space ",2019-08-21,Zacks Investment Research,https://www.investing.com/analysis/choice-hotels-on-expansion-spree-opens-hotel-in-milwaukee-200457626,200457626
10896,232411,WYND,Hilton Expands Curio Collection Brand  Eyes Top Line Growth,opinion,Hilton Worldwide Holdings Inc    NYSE HLT   announced that its Curio Collection by the Hilton brand is adding five hotels in Washington  New Mexico  California and Utah  Since the western part of the United States is sought out by the majority of travelers and tourists  this upper upscale collection brand is expanding presence in the area This move not only suggests Hilton s efforts to expand its upper upscale portfolio but also shows how it relies on overall expansion to drive top line growth and counter competition from the likes of Marriott   NASDAQ MAR   and Hyatt   NYSE H   As it is  Hilton s scale  size  commercial platform and industry leading brands helped it preserve its brand image  The company s shares have gained 38 1  so far this year  outperforming the  s 25 8  rally   Expansion   Major Growth DriverIn a bid to maintain position as the fastest growing global hospitality company  Hilton is continuing to drive unit growth   During the first quarter of 2019  the company opened 85 hotels  It also achieved net unit growth of 10 000 rooms  indicating roughly 41  increase from the prior year quarter  During 2018  Hilton launched over 450 hotels  taking its room count to more than 66 000  and achieved net unit growth of nearly 57 000 rooms  marking an increase of 10  from the same period of 2017 As of Mar 31  2019  Hilton s development pipeline comprised more than 2 480 hotels  with more than 371 000 rooms throughout 108 countries and territories   including 37 countries and territories  where Hilton currently does not have any running hotels  Moreover  200 000 rooms in the development pipeline were located outside the United States and 193 000 rooms were under construction Hilton s broad geographic diversity lowers the effect of volatility in individual markets  More than half of the company s pipeline is located outside the United States  More than 30  of the pipeline is located in the Asia Pacific region  where demand has been high  Also  a growing middle class population in China is creating demand for hospitality services  Further  Europe s RevPAR trends are being supported by favorable exchange rates as well as strength in regions   including Spain  the U K   Germany  Turkey and more  Notably  the company continues to make great progress in its luxury development strategy  anticipating double digit luxury growth in the next several years Our TakeWe believe that the addition of the latest hotels in Hilton s Curio Collection will help it witness further top line growth  In the first quarter of 2019  the company s revenues increased 6 3  from the year ago quarter on higher comparable revenue per available room  RevPAR   System wide comparable RevPAR increased 1 8   driven by growth in ADR as well as occupancy rate Hilton  which also shares the same space with Wyndham Destinations   NYSE WYND    currently carries a Zacks Rank  3  Hold   You can see  More Stock News  This Is Bigger than the iPhone It could become the mother of all technological revolutions  Apple  NASDAQ AAPL  sold a mere 1 billion iPhones in 10 years but a new breakthrough is expected to generate more than 27 billion devices in just 3 years  creating a  1 7 trillion market Zacks has just released a Special Report that spotlights this fast emerging phenomenon and 6 tickers for taking advantage of it  If you don t buy now  you may kick yourself in 2020 ,2019-07-11,Zacks Investment Research,https://www.investing.com/analysis/hilton-expands-curio-collection-brand-eyes-topline-growth-200438801,200438801
