ticker,date,title,provider,neg,neu,pos,compound
CAT,2008-10-21,GLOBAL MARKETS Stocks  commodities slip on global recession fear,Reuters,0.462,0.538,0.0,-0.7184
CAT,2008-10-21,GLOBAL MARKETS Stocks  commodities fall on global recession fear,Reuters,0.462,0.538,0.0,-0.7184
CAT,2008-12-23,GLOBAL MARKETS Econ worries weigh on oil  yields  stocks up,Reuters,0.237,0.763,0.0,-0.4215
CAT,2009-02-06,FACTBOX Obama names economic advisory panel,Reuters,0.0,1.0,0.0,0.0
CAT,2009-02-11,WRAPUP 6 Stimulus bill cleared for House  Senate votes,Reuters,0.0,0.833,0.167,0.1027
CAT,2009-03-02,GLOBAL MARKETS Global stocks in rout after AIG loss  dollar up,Reuters,0.187,0.813,0.0,-0.3182
CAT,2009-05-20,UPDATE 2 Obama warns U S  may face long term joblessness,Reuters,0.167,0.833,0.0,-0.1027
CAT,2009-06-15,US STOCKS Wall St sees worst day in a month on resources  data,Reuters,0.272,0.728,0.0,-0.6249
CAT,2009-06-17,COLUMN Bet on small firms to lead China global foray   Wei Gu,Reuters,0.0,1.0,0.0,0.0
CAT,2009-06-18,US STOCKS Upbeat data  financials buoy Wall St,Reuters,0.0,1.0,0.0,0.0
CAT,2009-06-18,US STOCKS Dow  S P end 3 day drop on data  financials,Reuters,0.208,0.792,0.0,-0.2732
CAT,2009-06-18,US STOCKS Dow  S P break 3 day slump on data  financials,Reuters,0.0,1.0,0.0,0.0
CAT,2009-06-30,US STOCKS Market drops on confidence data  but quarter shines,Reuters,0.0,0.807,0.193,0.2846
CAT,2009-06-30,US STOCKS Wall St brakes on confidence data  but has upbeat Q2,Reuters,0.0,0.837,0.163,0.2846
CAT,2009-06-30,RPT US STOCKS Market sags on confidence data  but quarter shines,Reuters,0.0,0.823,0.177,0.2846
CAT,2009-06-30,US STOCKS Market drops as sentiment data spurs caution,Reuters,0.0,1.0,0.0,0.0
CAT,2009-07-21,FOREX U S  dollar index falls to fresh six week low,Reuters,0.184,0.614,0.202,0.0516
CAT,2009-07-21,US STOCKS Wall St set to rise on strong quarterly earnings,Reuters,0.0,0.752,0.248,0.5106
CAT,2009-07-21,FOREX Dollar rebounds from six week low vs euro,Reuters,0.208,0.792,0.0,-0.2732
CAT,2009-07-21,FOREX U S  dollar rallies from six week lows vs euro,Reuters,0.184,0.816,0.0,-0.2023
CAT,2009-07-21,FOREX Dollar rises from six week low vs euro on Bernanke,Reuters,0.174,0.826,0.0,-0.2732
CAT,2009-07-21,US STOCKS SNAPSHOT Wall St rises on strong quarterly earnings,Reuters,0.0,0.732,0.268,0.5106
CAT,2009-07-21,US STOCKS SNAPSHOT Wall St rises on Caterpillar  gains limited,Reuters,0.154,0.65,0.195,0.128
CAT,2009-07-21,US STOCKS SNAPSHOT Nasdaq  S P 500 flat  Caterpillar lifts Dow,Reuters,0.0,1.0,0.0,0.0
CAT,2009-07-21,European shares rise for 7th day  led by miners,Reuters,0.0,0.784,0.216,0.296
CAT,2009-07-21,FOREX U S  dollar extends losses vs yen after Bernanke,Reuters,0.265,0.588,0.147,-0.296
CAT,2009-07-21,European shares up for 7th day  led by oil  miners,Reuters,0.0,0.804,0.196,0.296
CAT,2009-07-21,US STOCKS Wall St loses ground on Caterpillar s comments,Reuters,0.223,0.777,0.0,-0.3182
CAT,2009-07-21,US STOCKS Futures flat ahead of busy earnings day,Reuters,0.0,1.0,0.0,0.0
CAT,2009-07-21,US STOCKS Earnings drive markets higher  Caterpillar soars,Reuters,0.0,1.0,0.0,0.0
CAT,2009-07-22,GLOBAL MARKETS World stocks slip back from 9 month highs,Reuters,0.0,1.0,0.0,0.0
CAT,2009-07-22,Europe stocks halt winning run  miners  banks drop,Reuters,0.183,0.522,0.296,0.3182
CAT,2009-07-28,Komatsu Q1 profit plummets  FY09 forecast unchanged,Reuters,0.0,0.674,0.326,0.4404
CAT,2009-07-28,UPDATE 1 Komatsu Q1 profit down   09 10 outlook unchanged,Reuters,0.0,0.734,0.266,0.4404
CAT,2009-08-11,WRAPUP 2 U S  productivity surges  inventories are lean,Reuters,0.0,1.0,0.0,0.0
CAT,2009-08-31,GLOBAL MARKETS Global stocks  oil tumble on China s big slide,Reuters,0.0,1.0,0.0,0.0
CAT,2009-09-24,US STOCKS Housing data  stimulus worry knock Wall Street,Reuters,0.266,0.734,0.0,-0.4404
CAT,2009-09-24,US STOCKS Wall St drops on housing  stimulus worries,Reuters,0.259,0.741,0.0,-0.4215
CAT,2009-09-24,US STOCKS Wall St falls on housing data  stimulus jitters,Reuters,0.0,1.0,0.0,0.0
CAT,2009-10-01,US STOCKS Market falls sharply after factory  jobs data,Reuters,0.0,1.0,0.0,0.0
CAT,2009-10-19,US STOCKS SNAPSHOT Dow rises 1 pct  led by Caterpillar,Reuters,0.0,1.0,0.0,0.0
CAT,2009-10-20,US STOCKS Wall St retreats on weak data  profit taking,Reuters,0.21,0.58,0.21,0.0
CAT,2009-10-20,European shares fall  Barc Tlays leads banks lower,Reuters,0.212,0.577,0.212,0.0
CAT,2009-10-20,GLOBAL MARKETS World stocks hit 12 mth high  dlr beaten lower,Reuters,0.357,0.643,0.0,-0.6124
CAT,2009-10-20,GLOBAL MARKETS Global shares  oil fall on U S  housing data,Reuters,0.0,0.784,0.216,0.296
CAT,2009-10-20,Fall in banks drags FTSE 0 7 percent lower at close,Reuters,0.358,0.642,0.0,-0.4404
CAT,2009-10-20,US STOCKS Wall St to open slightly up as data offsets earnings,Reuters,0.0,1.0,0.0,0.0
CAT,2009-10-20,European shares gain after Caterpillar results,Reuters,0.0,0.417,0.583,0.6808
CAT,2009-10-21,FOREX Dollar steadies as profits booked on high yielders,Reuters,0.0,0.734,0.266,0.4404
CAT,2010-04-26,U S  stocks mixed after Caterpillar results  Dow Jones up 0 26 ,Investing.com,0.0,1.0,0.0,0.0
CAT,2010-07-22,Europe stocks rally on strong euro zone data  DAX up 1 42 ,Investing.com,0.0,0.752,0.248,0.5106
CAT,2010-08-25,U S  stocks decline on downbeat U S  data  Dow Jones down 0 55 ,Investing.com,0.0,1.0,0.0,0.0
CAT,2010-09-01,U S  stocks soar as growth fears ease  Dow Jones up 2 33 ,Investing.com,0.188,0.47,0.342,0.3182
CAT,2010-10-21,European stocks advance after the open  DAX up 0 59 ,Investing.com,0.0,1.0,0.0,0.0
CAT,2011-01-27,Euro stocks broadly lower after S P cuts Japan rating  DAX up 0 09 ,Investing.com,0.328,0.672,0.0,-0.5267
CAT,2011-04-27,UPDATE 2 Komatsu profits jump  sees more gains on China demand,Reuters,0.106,0.497,0.397,0.624
CAT,2011-04-27,Komatsu posts profit jump  sees more gains on China demand,Reuters,0.106,0.497,0.397,0.624
CAT,2011-04-29,Caterpillar profit may triple  but forecast is key,Reuters,0.0,0.782,0.218,0.2382
CAT,2011-04-29,US STOCKS Dow eyes best month since Dec  Caterpillar rallies,Reuters,0.0,0.682,0.318,0.6369
CAT,2011-04-29,RPT GLOBAL MARKETS Dow eyes best month since Dec  dollar falls,Reuters,0.0,0.704,0.296,0.6369
CAT,2011-04-29,US STOCKS Dow on track for 2011 s best month  Caterpillar up,Reuters,0.0,0.704,0.296,0.6369
CAT,2011-04-29,US STOCKS SNAPSHOT Wall St ends up  Dow s best month since Dec,Reuters,0.0,0.724,0.276,0.6369
CAT,2011-04-29,METALS Copper ends lower as techncials  econ woes bite,Reuters,0.421,0.579,0.0,-0.6249
CAT,2011-05-17,GLOBAL MARKETS Stocks at 1 month low  euro edges up,Reuters,0.208,0.792,0.0,-0.2732
CAT,2011-05-25,GLOBAL MARKETS Stocks  oil rise  euro slips on Greek worries,Reuters,0.237,0.763,0.0,-0.4215
CAT,2011-05-25,CORRECTED   GLOBAL MARKETS U S  stocks up  euro falls on debt jitters,Reuters,0.217,0.783,0.0,-0.3612
CAT,2011-05-25,GLOBAL MARKETS U S  stocks flat  euro falls on debt jitters,Reuters,0.238,0.762,0.0,-0.3612
