ticker,date,title,provider,neg,neu,pos,compound
MSFT,2008-10-15,GLOBAL MARKETS U S  stocks  oil slide on global recession fears,Reuters,0.444,0.556,0.0,-0.6808
MSFT,2008-10-15,GLOBAL MARKETS U S  stocks retreat on recession fears  oil falls,Reuters,0.418,0.448,0.134,-0.5859
MSFT,2008-12-08,INTERVIEW UPDATE 2 Nintendo Wii  DS sales strong,Reuters,0.0,0.645,0.355,0.5106
MSFT,2008-12-24,UPDATE 1 Nintendo  Dentsu to offer video on Wii,Reuters,0.0,1.0,0.0,0.0
MSFT,2008-12-24,Nintendo  Dentsu to distribute video on Wii  Nikkei,Reuters,0.0,1.0,0.0,0.0
MSFT,2009-01-15,COLUMN What Apple loses without Steve  Eric Auchard,Reuters,0.247,0.753,0.0,-0.3182
MSFT,2009-01-19,INTERVIEW Namco Bandai aims to double game profit in 3 yrs,Reuters,0.0,0.756,0.244,0.4404
MSFT,2009-01-23,WRAPUP 3 Qimonda  Samsung hit by chip market crash,Reuters,0.278,0.722,0.0,-0.4019
MSFT,2009-02-12,UPDATE 2 Microsoft to open own stores  take on Apple,Reuters,0.0,1.0,0.0,0.0
MSFT,2009-03-25,ANALYSIS Video gaming could be bargain buy of UK equities,Reuters,0.0,0.833,0.167,0.2023
MSFT,2009-03-29,Skype announces service for iPhone  BlackBerry,Reuters,0.0,1.0,0.0,0.0
MSFT,2009-04-01,UPDATE 1 RIM opens software store for BlackBerry,Reuters,0.0,1.0,0.0,0.0
MSFT,2009-06-03,Verizon offers pay as you go hosting service,Reuters,0.167,0.833,0.0,-0.1027
MSFT,2009-06-08,US STOCKS Wall St slides on McDonald s  rate fears,Reuters,0.259,0.741,0.0,-0.4215
MSFT,2009-06-19,US STOCKS Bets on improving economy lifts Wall St futures,Reuters,0.0,0.763,0.237,0.4215
MSFT,2009-06-19,US STOCKS Bets on improving economy lift futures,Reuters,0.0,0.714,0.286,0.4215
MSFT,2009-06-19,REFILE US STOCKS Bets on improving economy lift futures,Reuters,0.0,0.741,0.259,0.4215
MSFT,2009-06-19,US STOCKS Microsoft lifts Nasdaq  Dow  S P pressured by energy,Reuters,0.173,0.636,0.191,0.0516
MSFT,2009-06-19,US STOCKS Wall St rises on bets that economy is improving,Reuters,0.0,0.781,0.219,0.4215
MSFT,2009-06-22,FUND VIEW Goldman Sachs likes quality US stocks  top pick JJ,Reuters,0.0,0.522,0.478,0.7456
MSFT,2009-06-29,US STOCKS Wall St buoyed by oil sector  end of quarter buys,Reuters,0.0,1.0,0.0,0.0
MSFT,2009-06-29,US STOCKS Wall St buoyed by oil sector  window dressing,Reuters,0.0,1.0,0.0,0.0
MSFT,2009-06-29,US STOCKS Wall St gains on oil  bets on economy,Reuters,0.0,0.789,0.211,0.34
MSFT,2009-06-29,US STOCKS Wall St seen higher as data awaited  oil boosts,Reuters,0.089,0.726,0.185,0.296
MSFT,2009-06-29,US STOCKS Wall St climbs with oil sector  end of quarter buys,Reuters,0.0,1.0,0.0,0.0
MSFT,2009-06-29,US STOCKS Wall St seen higher as data awaited later in week,Reuters,0.091,0.909,0.0,-0.0258
MSFT,2009-07-08,US STOCKS Wall St drops as earnings loom  energy weighs,Reuters,0.158,0.667,0.175,0.0516
MSFT,2009-07-08,US STOCKS SNAPSHOT Wall St falls as Microsoft weighs,Reuters,0.0,1.0,0.0,0.0
MSFT,2009-07-08,US STOCKS Wall St rises on bargain hunting  Alcoa Q2 awaited,Reuters,0.092,0.756,0.151,0.1779
MSFT,2009-07-08,US STOCKS Futures point slightly higher after selloff,Reuters,0.0,1.0,0.0,0.0
MSFT,2009-07-08,US STOCKS Market falls on recovery concerns  ahead of earnings,Reuters,0.0,1.0,0.0,0.0
MSFT,2009-07-23,US STOCKS Dow tops 9 000 as earnings  data fuel rally,Reuters,0.0,0.732,0.268,0.5106
MSFT,2009-07-23,US STOCKS Wall St jumps on strong earnings  housing data,Reuters,0.0,0.732,0.268,0.5106
MSFT,2009-07-23,US STOCKS Dow back above 9 000 on strong profits  home sales,Reuters,0.0,0.592,0.408,0.7351
MSFT,2009-07-23,FOREX Dollar  euro advance vs yen on recovery optimism,Reuters,0.0,0.696,0.304,0.5423
MSFT,2009-07-23,Nikkei up 1 2 pct on upbeat U S  earnings,Reuters,0.0,1.0,0.0,0.0
MSFT,2009-07-23,Nikkei up 1 5 pct on economic hopes  Panasonic jumps,Reuters,0.0,0.714,0.286,0.4215
MSFT,2009-07-23,GLOBAL MARKETS Asia stocks run higher on upbeat data  earnings,Reuters,0.0,1.0,0.0,0.0
MSFT,2009-07-23,RPT GLOBAL MARKETS Asia stocks higher on upbeat data  earnings,Reuters,0.0,1.0,0.0,0.0
MSFT,2009-07-24,FOREX Dollar falls vs euro  data  earnings spur optimism,Reuters,0.0,0.696,0.304,0.5423
MSFT,2009-07-24,FOREX Dollar down vs euro on data  improving risk appetite,Reuters,0.163,0.62,0.217,0.1779
MSFT,2009-07-24,FOREX Yen loses grip on early gains  euro  Aussie off lows,Reuters,0.283,0.552,0.166,-0.1779
MSFT,2009-07-24,CORRECTED   CORRECTED Nikkei rises for 8th straight day  hits 3 wk high,Reuters,0.0,0.84,0.16,0.2263
MSFT,2009-07-24,GLOBAL MARKETS World stocks push higher  euro zone data helps,Reuters,0.0,0.776,0.224,0.3818
MSFT,2009-07-24,US STOCKS Nasdaq halts 12 day winning streak as Microsoft drags,Reuters,0.121,0.638,0.241,0.4019
MSFT,2009-07-24,US STOCKS SNAPSHOT Futures drop as results weigh,Reuters,0.231,0.769,0.0,-0.2732
MSFT,2009-07-24,US STOCKS SNAPSHOT Wall St opens lower,Reuters,0.268,0.732,0.0,-0.296
MSFT,2009-07-24,US STOCKS SNAPSHOT Market adds losses after sentiment data,Reuters,0.252,0.748,0.0,-0.4019
MSFT,2009-07-24,FOREX Yen gains some ground after previous day s selling,Reuters,0.0,0.769,0.231,0.34
MSFT,2009-07-24,Nikkei up 1 pct  Panasonic and Fujitsu surge,Reuters,0.0,1.0,0.0,0.0
MSFT,2009-07-24,FOREX Euro gains on better eurozone PMI  German Ifo data,Reuters,0.0,0.602,0.398,0.6486
MSFT,2009-08-18,Nikkei almost flat after Wall St rise  Sony slips,Reuters,0.0,1.0,0.0,0.0
MSFT,2009-08-21,US STOCKS Wall St ends at new highs for the year,Reuters,0.0,1.0,0.0,0.0
MSFT,2009-08-25,COLUMN Forget Microsoft  Yahoo s value is overseas  Eric Auchard,Reuters,0.168,0.619,0.212,0.128
MSFT,2009-09-16,UPDATE 3 EU in informal talks on Microsoft  Yahoo deal source,Reuters,0.0,1.0,0.0,0.0
MSFT,2009-09-24,Nikkei likely to slip  but falls limited,Reuters,0.281,0.719,0.0,-0.3291
MSFT,2009-09-24,US STOCKS Wall St set to rise on claims data  housing eyed,Reuters,0.0,1.0,0.0,0.0
MSFT,2009-09-24,US STOCKS Futures flat as housing  jobless claims data ahead,Reuters,0.0,1.0,0.0,0.0
MSFT,2009-09-24,US STOCKS Futures flat as G20  data on housing and jobs eyed,Reuters,0.0,1.0,0.0,0.0
MSFT,2009-10-01,US STOCKS SNAPSHOT Nasdaq falls 2 pct as selloff accelerates,Reuters,0.0,1.0,0.0,0.0
MSFT,2009-10-22,US STOCKS Futures mixed ahead of data  earnings,Reuters,0.0,1.0,0.0,0.0
MSFT,2009-10-22,US STOCKS Futures slightly lower ahead of data,Reuters,0.214,0.786,0.0,-0.228
MSFT,2009-10-23,GLOBAL MARKETS Stocks  oil slide on recovery worries,Reuters,0.286,0.714,0.0,-0.4215
MSFT,2009-10-23,GLOBAL MARKETS Oil  global stocks fall on recovery concerns,Reuters,0.0,1.0,0.0,0.0
MSFT,2009-10-23,US STOCKS SNAPSHOT Chipmakers weigh down Nasdaq,Reuters,0.0,1.0,0.0,0.0
MSFT,2009-10-23,US STOCKS SNAPSHOT Nasdaq up on Microsoft  Dow and S P flat,Reuters,0.0,1.0,0.0,0.0
MSFT,2009-10-23,US STOCKS SNAPSHOT Futures rise after Microsoft results,Reuters,0.0,1.0,0.0,0.0
MSFT,2009-10-23,US STOCKS Wall St slips as energy  industrials eclipse tech,Reuters,0.0,0.811,0.189,0.2732
MSFT,2009-10-26,US STOCKS SNAPSHOT Wall St slides as dollar rises,Reuters,0.0,1.0,0.0,0.0
MSFT,2009-10-26,US STOCKS Wall St gains on tech  energy shares,Reuters,0.0,0.472,0.528,0.6908
MSFT,2009-10-28,US STOCKS Wall St falls on data  lowered Goldman forecast,Reuters,0.143,0.857,0.0,-0.128
MSFT,2010-01-24,Forex weekly outlook  Jan  25 29,Investing.com,0.0,1.0,0.0,0.0
MSFT,2011-03-30,Microsoft co founder Allen blasts Gates in book,Reuters,0.0,1.0,0.0,0.0
MSFT,2011-03-31,GLOBAL MARKETS World stocks see 3rd quarterly rise  euro up,Reuters,0.0,1.0,0.0,0.0
MSFT,2011-03-31,GLOBAL MARKETS Stocks head for 4 pct quarterly rise  euro up,Reuters,0.0,1.0,0.0,0.0
MSFT,2011-03-31,US STOCKS Futures suggest slightly lower open after data,Reuters,0.192,0.808,0.0,-0.228
MSFT,2011-03-31,US STOCKS Futures flat before jobless claims data,Reuters,0.0,1.0,0.0,0.0
MSFT,2011-03-31,GLOBAL MARKETS World stocks see 3rd quarterly rise  euro up,Reuters,0.0,1.0,0.0,0.0
MSFT,2011-04-04,Google could be target of FTC antitrust probe report,Reuters,0.0,1.0,0.0,0.0
MSFT,2011-04-05,US STOCKS China rate hike  Apple weigh on futures,Reuters,0.0,1.0,0.0,0.0
MSFT,2011-04-05,US STOCKS Futures fall after Apple s weighting in index is cut,Reuters,0.174,0.826,0.0,-0.2732
MSFT,2011-04-05,US STOCKS SNAPSHOT Wall St edges lower at open on China  tech,Reuters,0.167,0.833,0.0,-0.296
MSFT,2011-04-05,US STOCKS Wall St flat as deal news offsets China rate hike,Reuters,0.0,1.0,0.0,0.0
MSFT,2011-04-05,US STOCKS Wall St to fall at open on China rate hike  Apple,Reuters,0.0,1.0,0.0,0.0
MSFT,2011-04-05,US STOCKS S P hovers near resistance  but volume still weak,Reuters,0.325,0.675,0.0,-0.5927
MSFT,2011-04-06,US STOCKS S P500 index edges higher on light volume,Reuters,0.0,1.0,0.0,0.0
MSFT,2011-04-15,UPDATE 1 S Korean portals file competition complaint against Google,Reuters,0.239,0.761,0.0,-0.296
MSFT,2011-04-15,S Korean portals file competition complaint against Google,Reuters,0.268,0.732,0.0,-0.296
MSFT,2011-04-25,US STOCKS Wall St down as Kimberly Clark cuts outlook,Reuters,0.196,0.804,0.0,-0.296
MSFT,2011-04-25,US STOCKS Wall St slips on concerns about inflation,Reuters,0.0,1.0,0.0,0.0
MSFT,2011-04-25,REFILE US STOCKS Wall St slips on concerns about inflation,Reuters,0.0,1.0,0.0,0.0
MSFT,2011-04-28,US STOCKS Dow transports hit record  lifting Wall St,Reuters,0.0,1.0,0.0,0.0
MSFT,2011-04-28,Microsoft profit expected to rise  stock may not,Reuters,0.0,0.707,0.293,0.4404
MSFT,2011-04-29,US STOCKS Dow posts best month in 2011 but Microsoft drags,Reuters,0.15,0.659,0.19,0.1406
MSFT,2011-04-29,US STOCKS Dow  Nasdaq eye best month since December,Reuters,0.0,0.656,0.344,0.6369
MSFT,2011-04-29,US STOCKS Futures up  Dow  Nasdaq eye best month since Dec,Reuters,0.0,0.704,0.296,0.6369
MSFT,2011-05-02,US STOCKS Futures advance as U S  says bin Laden killed,Reuters,0.36,0.64,0.0,-0.6705
MSFT,2011-05-10,US STOCKS Utilities lift Wall Street as leadership shifts,Reuters,0.0,1.0,0.0,0.0
MSFT,2011-06-28,US STOCKS Futures flat as investors await Greece vote  data,Reuters,0.0,0.865,0.135,0.1027
MSFT,2011-07-20,US STOCKS Wall St flat as US debt worries offsets earnings,Reuters,0.371,0.629,0.0,-0.6486
MSFT,2011-07-20,GLOBAL MARKETS Euro up before EU summit  China data hurts stocks,Reuters,0.237,0.763,0.0,-0.4767
MSFT,2011-07-22,US STOCKS Earnings  hope for US debt deal brighten Wall St,Reuters,0.153,0.491,0.356,0.5106
MSFT,2011-07-22,US STOCKS Markets flat on mixed earnings  Caterpillar slumps,Reuters,0.0,1.0,0.0,0.0
MSFT,2011-09-28,US STOCKS Wall St slides on weakness in commodities,Reuters,0.259,0.741,0.0,-0.4215
MSFT,2011-09-28,US STOCKS Wall St drops  led by commodities on economic fear,Reuters,0.242,0.758,0.0,-0.4939
MSFT,2011-10-06,US STOCKS Wall St rises for 3rd day on ECB liquidity move,Reuters,0.0,1.0,0.0,0.0
MSFT,2011-10-06,US STOCKS Wall St rises for 3rd day as Europe plans advance,Reuters,0.0,1.0,0.0,0.0
MSFT,2011-10-06,U S  futures rise on ECB statement  Dow Jones up 0 42 ,Investing.com,0.0,1.0,0.0,0.0
MSFT,2011-10-31,Silicon Valley and The Green Energy Ark,Andrew MacKillop,0.0,0.741,0.259,0.2732
MSFT,2012-04-10,Closing Update  Stocks Cut Losses Late But Market Gauges All Fall  Tech  Energy Aid Rebound,Midnight Trader,0.188,0.665,0.147,0.0644
MSFT,2012-04-20,US Stock Futures Up  GE Earnings In Focus  April 22  2012,Benzinga ,0.0,1.0,0.0,0.0
MSFT,2012-04-24,Qualcomm  Much To Like Behind The Numbers,Elliott Gue,0.0,0.706,0.294,0.3612
MSFT,2012-05-18,Facebook Alternatives  Techs That Perform,Dividend Yield,0.0,1.0,0.0,0.0
MSFT,2012-05-23,Microsoft Launches New Social Network  Facebook Drop Continues,Jim Makos,0.231,0.769,0.0,-0.2732
MSFT,2012-06-11,Is Priceline a Deal ,George Liu,0.0,1.0,0.0,0.0
MSFT,2012-06-26,Stocks Fall  Markets Slide As Little Help Seen From Eurozone Meeting,Midnight Trader,0.0,0.806,0.194,0.3415
MSFT,2012-07-03,Strong U S  Data Ahead Of Half Day Trading,Benzinga ,0.0,0.645,0.355,0.5106
MSFT,2012-07-19,Microsoft Earnings Preview  Overcoming Self Inflicted Wounds,David Dyer,0.0,1.0,0.0,0.0
MSFT,2012-07-22,Microsoft Earnings Review  EPS Suffers From  6 2 Billion Bungled Vision,David Dyer,0.256,0.579,0.165,-0.2732
MSFT,2012-07-22,What The Market Wants  Market Faces A Trying Week,David Brown,0.0,1.0,0.0,0.0
